'bicentennial man' is a family film without any external motive with the exception of providing the minimum dose of entertainment . 	Translation	Positive	Negative	EmotionRationale
chris columbus , the director who gave you " mrs . doubtfire " , plays on sentimental strings and mushy dialogue to make his point . 	chris columbus , the director who gave you " mrs .<br> doubtfire " , plays on sentimental strings and mushy dialogue to make his point .	3	-2	 chris[0] columbus[0] the[0] director[0] who[0] gave[0] you[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] doubtfire[-1] plays[1] on[0] sentimental[2] strings[0] and[0] mushy[0] dialogue[0] to[0] make[0] his[0] point[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
based on the short story by isaac asimov , it is supposed to be a science fiction story about a robot who wants to be human , which as you can imagine is very difficult . 	based on the short story by isac asimov , it is supposed to be a science fiction story about a robot who wants to be human , which as you can imagine is very difficult .	1	-3	 based[0] on[0] the[0] short[0] story[0] by[0] isaac/isac[0] asimov[0] it[0] is[0] supposed[0] to[0] be[0] a[0] science[0] fiction[0] story[0] about[0] a[0] robot[0] who[0] wants[0] to[0] be[0] human[0] which[0] as[0] you[0] can[0] imagine[0] is[0] very[0] difficult[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
starting in a not too distant future the film concentrates on a wealthy family that buys an android to help them with the house and children . 	starting in a not too distant future the film concentrates on a wealthy family that buys an android to help them with the house and children .	1	-1	 starting[0] in[0] a[0] not[0] too[0] distant[0] future[0] the[0] film[0] concentrates[0] on[0] a[0] wealthy[0] family[0] that[0] buys[0] an[0] android[0] to[0] help[0] them[0] with[0] the[0] house[0] and[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon this robot , called andrew ( robin williams ) shows abilities that makes his owner mr . martin ( sam neill ) very curious . 	soon this robot , called andrew ( robin williams ) shows abilities that makes his owner mr .<br> martin ( sam neill ) very curious .	1	-1	 soon[0] this[0] robot[0] called[0] andrew[0] robin[0] williams[0] shows[0] abilities[0] that[0] makes[0] his[0] owner[0] mr[0] [[Sentence=-1,1=word max, 1-5]] martin[0] sam[0] neill[0] very[0] curious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
andrew is interested in art and music , he " enjoys " making clocks , which clearly shows that he has genuine emotions . 	andrew is interested in art and music , he " enjoys " making clocks , which clearly shows that he has genuine emotions .	3	-1	 andrew[0] is[0] interested[1] in[0] art[0] and[0] music[0] he[0] enjoys[2] making[0] clocks[0] which[0] clearly[0] shows[0] that[0] he[0] has[0] genuine[0] emotions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it shows out that because of a small failure in the " electrical circuits " and " positronic brain " andrew has accidentally gained a soul . 	it shows out that because of a small failure in the " electrical circuits " and " positronic brain " andrew has accidentally gained a soul .	1	-3	 it[0] shows[0] out[0] that[0] because[0] of[0] a[0] small[0] failure[-2] in[0] the[0] electrical[0] circuits[0] and[0] positronic[0] brain[0] andrew[0] has[0] accidentally[-1] gained[0] a[0] soul[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this makes him unique and his evil creators worried . 	this makes him unique and his evil creators worried .	1	-4	 this[0] makes[0] him[0] unique[0] and[0] his[0] evil[-2] creators[0] worried[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then mr . martin decides to teach andrew all the things he wasn't programmed to do . 	then mr .<br> martin decides to teach andrew all the things he wasn't programmed to do .	1	-1	 then[0] mr[0] [[Sentence=-1,1=word max, 1-5]] martin[0] decides[0] to[0] teach[0] andrew[0] all[0] the[0] things[0] he[0] wasn't[0] programmed[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon andrew wants to leave the house in pursuit of freedom , destiny and love . 	soon andrew wants to leave the house in pursuit of freedom , destiny and love .	3	-1	 soon[0] andrew[0] wants[0] to[0] leave[0] the[0] house[0] in[0] pursuit[0] of[0] freedom[0] destiny[0] and[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film can be described as a disney version of blade runner , a film that still shines as the biggest gem in the crown of science fiction . 	this film can be described as a disney version of blade runner , a film that still shines as the biggest gem in the crown of science fiction .	1	-1	 this[0] film[0] can[0] be[0] described[0] as[0] a[0] disney[0] version[0] of[0] blade[0] runner[0] a[0] film[0] that[0] still[0] shines[0] as[0] the[0] biggest[0] gem[0] in[0] the[0] crown[0] of[0] science[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
