my giant begins with a monologue that's more funny than not and a distinctive `princess bride , ' medieval fairy-tale-in-the- ? 90s feel . 	Translation	Positive	Negative	EmotionRationale
i was pleasantly surprised how sharp the comedy was , with very funny scenes occurring on a movie set in romania where talent agent sammy ( billy crystal ) is visiting a client and in the monastery where sammy ends up after being mysteriously saved when he accidentally plunges his car into a stream . 	i was pleasantly surprised how sharp the comedy was , with very funny scenes occurring on a movie set in romania where talent agent sammy ( billy crystal ) is visiting a client and in the monastery where sammy ends up after being mysteriously saved when he accidentally plunges his car into a stream .	3	-2	 i[0] was[0] pleasantly[2] surprised[0] how[0] sharp[0] the[0] comedy[0] was[0] with[0] very[0] funny[1][1 LastWordBoosterStrength] scenes[0] occurring[0] on[0] a[0] movie[0] set[0] in[0] romania[0] where[0] talent[1] agent[0] sammy[0] billy[0] crystal[0] is[0] visiting[0] a[0] client[0] and[0] in[0] the[0] monastery[0] where[0] sammy[0] ends[0] up[0] after[0] being[0] mysteriously[0] saved[1] when[0] he[0] accidentally[-1] plunges[0] his[0] car[0] into[0] a[0] stream[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and when sammy meets max , his giant , mysterious savior played by gheorghe muresan , there is magic in the air ; albeit it a bit goofy , i loved every minute of it . 	and when sammy meets max , his giant , mysterious savior played by gheorghe muresan , there is magic in the air ; albeit it a bit goofy , i loved every minute of it .	4	-1	 and[0] when[0] sammy[0] meets[0] max[0] his[0] giant[0] mysterious[0] savior[0] played[0] by[0] gheorghe[0] muresan[0] there[0] is[0] magic[0] in[0] the[0] air[0] albeit[0] it[0] a[0] bit[0] goofy[0] i[0] loved[3] every[0] minute[0] of[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film , of course , plays on the size difference between the two , and at times you would almost swear it must be special effects . 	the film , of course , plays on the size difference between the two , and at times you would almost swear it must be special effects .	2	-2	 the[0] film[0] of[0] course[0] plays[1] on[0] the[0] size[0] difference[0] between[0] the[0] two[0] and[0] at[0] times[0] you[0] would[0] almost[0] swear[-1] it[0] must[0] be[0] special[1] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i particularly enjoyed a shot of sammy dangling his legs from a max-sized chair as the two face each over an enormous table and eat from oversized bowls and spoons . 	i particularly enjoyed a shot of sammy dangling his legs from a max-sized chair as the two face each over an enormous table and eat from oversized bowls and spoons .	3	-2	 i[0] particularly[0] enjoyed[2] a[0] shot[-1] of[0] sammy[0] dangling[0] his[0] legs[0] from[0] a[0] max[0] sized[0] chair[0] as[0] the[0] two[0] face[0] each[0] over[0] an[0] enormous[0] table[0] and[0] eat[0] from[0] oversized[0] bowls[0] and[0] spoons[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i also liked jere burns' ( from tv's  something so right' ) performance as the director of the film in romania . 	i also liked jere burns' ( from tv's  something so right' ) performance as the director of the film in romania .	3	-2	 i[0] also[0] liked[2] jere[0] burns'[-1] from[0] tv's[0] something[0] so[0] right'[0] performance[0] as[0] the[0] director[0] of[0] the[0] film[0] in[0] romania[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at this point , the primary flaw in the film is that gheorghe muresan is incredibly hard to understand , particularly during his fast-paced first scene . 	at this point , the primary flaw in the film is that gheorghe muresan is incredibly hard to understand , particularly during his fast-paced first scene .	1	-2	 at[0] this[0] point[0] the[0] primary[0] flaw[-1] in[0] the[0] film[0] is[0] that[0] gheorghe[0] muresan[0] is[0] incredibly[0] hard[0] to[0] understand[0] particularly[0] during[0] his[0] fast[0] paced[0] first[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is unfortunate that the script required him to speak quickly right out of the gate , as i did understand him more as the film continued and i became accustomed to his speech . 	it is unfortunate that the script required him to speak quickly right out of the gate , as i did understand him more as the film continued and i became accustomed to his speech .	1	-2	 it[0] is[0] unfortunate[-1] that[0] the[0] script[0] required[0] him[0] to[0] speak[0] quickly[0] right[0] out[0] of[0] the[0] gate[0] as[0] i[0] did[0] understand[0] him[0] more[0] as[0] the[0] film[0] continued[0] and[0] i[0] became[0] accustomed[-1] to[0] his[0] speech[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , about the time muresan becomes coherent , the characters head to new york and the film takes a dive . 	however , about the time muresan becomes coherent , the characters head to new york and the film takes a dive .	1	-1	 however[0] about[0] the[0] time[0] muresan[0] becomes[0] coherent[0] the[0] characters[0] head[0] to[0] new[0] york[0] and[0] the[0] film[0] takes[0] a[0] dive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
off the high board . 	off the high board .	1	-1	 off[0] the[0] high[0] board[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly , we are expected to believe sammy is a do-whatever-it-takes slime ball . 	suddenly , we are expected to believe sammy is a do-whatever-it-takes slime ball .	1	-2	 suddenly[0] we[0] are[0] expected[0] to[0] believe[0] sammy[0] is[0] a[0] do[0] whatever[0] it[0] takes[0] slime[-1] ball[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
up until this point he was pursuing his own interests to be sure , but he didn't come off as a desperate jerk . 	up until this point he was pursuing his own interests to be sure , but he didn't come off as a desperate jerk .	2	-4	 up[0] until[0] this[0] point[0] he[0] was[0] pursuing[0] his[0] own[0] interests[1] to[0] be[0] sure[0] but[0] he[0] didn't[0] come[0] off[0] as[0] a[0] desperate[-2] jerk[-2][-1 MultiplePositiveWords] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if he had , the first scenes could never have been so lighthearted and magical . 	if he had , the first scenes could never have been so lighthearted and magical .	1	-1	 if[0] he[0] had[0] the[0] first[0] scenes[0] could[0] never[0] have[0] been[0] so[0] lighthearted[0] and[0] magical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but now , in new york , we are further introduced to his neglected wife and son , and his character is desperate enough to involve max in a disturbing giant vs . midgets wrestling match , which i found quite unpleasant and jarring within the framework of the film . 	but now , in new york , we are further introduced to his neglected wife and son , and his character is desperate enough to involve max in a disturbing giant vs .<br> midgets wrestling match , which i found quite unpleasant and jarring within the framework of the film .	1	-3	 but[0] now[0] in[0] new[0] york[0] we[0] are[0] further[0] introduced[0] to[0] his[0] neglected[0] wife[0] and[0] son[0] and[0] his[0] character[0] is[0] desperate[-2] enough[0] to[0] involve[0] max[0] in[0] a[0] disturbing[-1] giant[0] vs[0] [[Sentence=-3,1=word max, 1-5]] midgets[0] wrestling[0] match[0] which[0] i[0] found[0] quite[0] unpleasant[-2] and[0] jarring[0] within[0] the[0] framework[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
indeed , many scenes stuck out of this film like incorrectly placed puzzle pieces . 	indeed , many scenes stuck out of this film like incorrectly placed puzle pieces .	2	-1	 indeed[0] many[0] scenes[0] stuck[0] out[0] of[0] this[0] film[0] like[1] incorrectly[0] placed[0] puzzle/puzle[0] pieces[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
