what were they thinking ? 	Translation	Positive	Negative	EmotionRationale
nostalgia for the seventies is bad enough , but do we really need an eighties film ? 	nostalgia for the seventies is bad enough , but do we really need an eighties film ?	1	-2	 nostalgia[0] for[0] the[0] seventies[0] is[0] bad[-1] enough[0] but[0] do[0] we[0] really[0] need[0] an[0] eighties[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robbie hart ( adam sandler ) used to want to be a rock and roll star , but in 1985 he's singing at weddings and having a good time . 	robbie hart ( adam sandler ) used to want to be a rock and roll star , but in 1985 he's singing at weddings and having a good time .	2	-1	 robbie[0] hart[0] adam[0] sandler[0] used[0] to[0] want[0] to[0] be[0] a[0] rock[1] and[0] roll[0] star[0] but[0] in[0] 1985[0] he's[0] singing[0] at[0] weddings[0] and[0] having[0] a[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a romantic at heart , he loves weddings and is just about to get married to his high-school sweetie . 	a romantic at heart , he loves weddings and is just about to get married to his high-school sweetie .	4	-1	 a[0] romantic[3] at[0] heart[0] he[0] loves[2] weddings[0] and[0] is[0] just[0] about[0] to[0] get[0] married[0] to[0] his[0] high[0] school[0] sweetie[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
when she leaves him waiting at the altar , his tune changes to " love stinks " . 	when she leaves him waiting at the altar , his tune changes to " love stinks " .	3	-3	 when[0] she[0] leaves[0] him[0] waiting[0] at[0] the[0] altar[0] his[0] tune[0] changes[0] to[0] love[2] stinks[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he meets waitress julia ( drew barrymore ) who is engaged to a junk-bonds salesman and you know that they are going to get together . 	he meets waitress julia ( drew barrymore ) who is engaged to a junk-bonds salesman and you know that they are going to get together .	1	-2	 he[0] meets[0] waitress[0] julia[0] drew[0] barrymore[0] who[0] is[0] engaged[0] to[0] a[0] junk[-1] bonds[0] salesman[0] and[0] you[0] know[0] that[0] they[0] are[0] going[0] to[0] get[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact you know everything that is going to happen during this movie . 	in fact you know everything that is going to happen during this movie .	1	-1	 in[0] fact[0] you[0] know[0] everything[0] that[0] is[0] going[0] to[0] happen[0] during[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sandler is somewhat adequate in his leading man role , but there is no spark . 	sandler is somewhat adequate in his leading man role , but there is no spark .	1	-1	 sandler[0] is[0] somewhat[0] adequate[0] in[0] his[0] leading[0] man[0] role[0] but[0] there[0] is[0] no[0] spark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
barrymore doesn't seem to be able to convey anything other than a pretty face with nothing behind it : beauty but no attitude . 	barrymore doesn't seem to be able to convey anything other than a pretty face with nothing behind it : beauty but no attitude .	3	-1	 barrymore[0] doesn't[0] seem[0] to[0] be[0] able[0] to[0] convey[0] anything[0] other[0] than[0] a[0] pretty[2] face[0] with[0] nothing[0] behind[0] it[0] beauty[2] but[0] no[0] attitude[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both characters are just there . 	both characters are just there .	1	-1	 both[0] characters[0] are[0] just[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bit parts by steve buscemi and jon lovitz steal the show . 	bit parts by steve buscemi and jon lovitz steal the show .	1	-3	 bit[0] parts[0] by[0] steve[0] buscemi[0] and[0] jon[0] lovitz[0] steal[-2] the[0] show[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the eighties are shoved in our face . 	the eighties are shoved in our face .	1	-1	 the[0] eighties[0] are[0] shoved[0] in[0] our[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
references to deloreans , madonna , " dallas " , ivana and donald , burt and loni and " miami vice " get old fast . 	references to deloreans , madonna , " dallas " , ivana and donald , burt and loni and " miami vice " get old fast .	1	-2	 references[0] to[0] deloreans[0] madonna[0] dallas[0] ivana[0] and[0] donald[0] burt[0] and[0] loni[0] and[0] miami[0] vice[-1] get[0] old[0] fast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the filmmakers must have realized that there wasn't much entertainment to the story and thought they could dazzle the audience with humorous period allusions . 	the filmmakers must have realized that there wasn't much entertainment to the story and thought they could dazle the audience with humorous period allusions .	3	-1	 the[0] filmmakers[0] must[0] have[0] realized[0] that[0] there[0] wasn't[0] much[0] entertainment[0] to[0] the[0] story[0] and[0] thought[0] they[0] could[0] dazzle/dazle[0] the[0] audience[0] with[0] humorous[2] period[0] allusions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they're not funny and it doesn't work . 	they're not funny and it doesn't work .	1	-2	 they're[0] not[0] funny[1][NegatedDueToPreviousWord] and[0] it[0] doesn't[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with change on all fronts accelerating more and more , nostalgia appears to have a great appeal , but don't you think we could have more than 14 years before we yearn for the past . 	with change on all fronts accelerating more and more , nostalgia appears to have a great appeal , but don't you think we could have more than 14 years before we yearn for the past .	3	-2	 with[0] change[0] on[0] all[0] fronts[0] accelerating[0] more[0] and[0] more[0] nostalgia[0] appears[0] to[0] have[0] a[0] great[2] appeal[0] but[0] don't[0] you[0] think[0] we[0] could[0] have[0] more[0] than[0] 14[0] years[0] before[0] we[0] yearn[-1] for[0] the[0] past[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
maybe we can look forward to a film next year waxing nostalgically about el nino . 	maybe we can look forward to a film next year waxing nostalgically about el nino .	1	-1	 maybe[0] we[0] can[0] look[0] forward[0] to[0] a[0] film[0] next[0] year[0] waxing[0] nostalgically[0] about[0] el[0] nino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( michael redman has written this column for over 23 years and he knows that nostalgia is not what it used to be . ) 	 ( michael redman has written this column for over 23 years and he knows that nostalgia is not what it used to be .<br> )	1	-1	 michael[0] redman[0] has[0] written[0] this[0] column[0] for[0] over[0] 23[0] years[0] and[0] he[0] knows[0] that[0] nostalgia[0] is[0] not[0] what[0] it[0] used[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
