hong kong cinema has been going through a bad spell . 	Translation	Positive	Negative	EmotionRationale
the last few productions have been effect laded action adventures that combine both the best and worst of american filmmaking with the same qualities of hong kong films . 	the last few productions have been effect laded action adventures that combine both the best and worst of american filmmaking with the same qualities of hong kong films .	2	-3	 the[0] last[0] few[0] productions[0] have[0] been[0] effect[0] laded[0] action[0] adventures[0] that[0] combine[0] both[0] the[0] best[1] and[0] worst[-2] of[0] american[0] filmmaking[0] with[0] the[0] same[0] qualities[0] of[0] hong[0] kong[0] films[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in a nutshell , the current crop of films from hong kong has been maddeningly convoluted and visually sumptuous . 	in a nutshell , the current crop of films from hong kong has been maddeningly convoluted and visually sumptuous .	1	-3	 in[0] a[0] nutshell[0] the[0] current[0] crop[0] of[0] films[0] from[0] hong[0] kong[0] has[0] been[0] maddeningly[-2] convoluted[0] and[0] visually[0] sumptuous[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the one time british colony reverting back to mainland ownership , a lot of hong kong's best talents have crossed the pacific to work on u . s . productions . 	with the one time british colony reverting back to mainland ownership , a lot of hong kong's best talents have crossed the pacific to work on you .<br> s .<br> productions .	2	-2	 with[0] the[0] one[0] time[0] british[0] colony[0] reverting[-1] back[0] to[0] mainland[0] ownership[0] a[0] lot[0] of[0] hong[0] kong's[0] best[1] talents[1] have[0] crossed[0] the[0] pacific[0] to[0] work[0] on[0] u[0] [[Sentence=-2,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] productions[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
such talents as jackie chan ( rush hour ) , chow yun-fat ( anna & the king , the corrupter ) and yuen woo-ping ( the matrix ) have all moved into the budget bloated world of hollywood filmmaking with mixed results . 	such talents as jackie chan ( rush hour ) , chow yun-fat ( anna & the king , the corrupter ) and yuen woo-ping ( the matrix ) have all moved into the budget bloated world of hollywood filmmaking with mixed results .	2	-3	 such[0] talents[1] as[0] jackie[0] chan[0] rush[0] hour[0] chow[0] yun[0] fat[-1] anna[0] &[0] the[0] king[0] the[0] corrupter[-2] and[0] yuen[0] woo[0] ping[0] the[0] matrix[0] have[0] all[0] moved[0] into[0] the[0] budget[0] bloated[0] world[0] of[0] hollywood[0] filmmaking[0] with[0] mixed[0] results[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now we can add two other hong kong filmmakers to the mix with star jet li and director and fight choreographer corey yuen kwai . 	now we can add two other hong kong filmmakers to the mix with star jet li and director and fight choreographer corey yuen kwai .	1	-4	 now[0] we[0] can[0] add[0] two[0] other[0] hong[0] kong[0] filmmakers[0] to[0] the[0] mix[0] with[0] star[0] jet[0] li[0] and[0] director[0] and[0] fight[-2] choreographer[-2][-1 MultiplePositiveWords] corey[0] yuen[0] kwai[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately " romeo must die " bears all the trademarks of a typical hollywood action film and none of hong kong's rhythms . 	unfortunately " romeo must die " bears all the trademarks of a typical hollywood action film and none of hong kong's rhythms .	1	-2	 unfortunately[-1] romeo[0] must[0] die[0] bears[0] all[0] the[0] trademarks[0] of[0] a[0] typical[0] hollywood[0] action[0] film[0] and[0] none[0] of[0] hong[0] kong's[0] rhythms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film opens in a nightclub as an asian couple is necking . 	the film opens in a nightclub as an asian couple is necking .	1	-1	 the[0] film[0] opens[0] in[0] a[0] nightclub[0] as[0] an[0] asian[0] couple[0] is[0] necking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enter a group of chinese gangsters led by kai sing ( russell wong ) . 	enter a group of chinese gangsters led by kai sing ( russell wong ) .	1	-1	 enter[0] a[0] group[0] of[0] chinese[0] gangsters[0] led[0] by[0] kai[0] sing[0] russell[0] wong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kai confronts po sing ( jon kit lee ) , the son of kai's boss and leader of the local chinese family . 	kai confronts po sing ( jon kit lee ) , the son of kai's boss and leader of the local chinese family .	1	-3	 kai[0] confronts[-2] po[0] sing[0] jon[0] kit[0] lee[0] the[0] son[0] of[0] kai's[0] boss[0] and[0] leader[0] of[0] the[0] local[0] chinese[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a battle breaks out between the bodyguards of the club and kai , who handily kicks and punches his opponents down . 	a battle breaks out between the bodyguards of the club and kai , who handily kicks and punches his opponents down .	1	-2	 a[0] battle[-1] breaks[0] out[0] between[0] the[0] bodyguards[0] of[0] the[0] club[0] and[0] kai[0] who[0] handily[0] kicks[-1] and[0] punches[-1] his[0] opponents[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
