the working title for no looking back was long time , nothing new , and rarely has there been a more apt name for a motion picture . 	Translation	Positive	Negative	EmotionRationale
even though this movie clocks in at a relatively skinny 96 minutes , it seems to run long enough to engulf two titanics . 	even though this movie clocks in at a relatively skinny 96 minutes , it seems to run long enough to engulf two titanics .	1	-2	 even[0] though[0] this[0] movie[0] clocks[0] in[0] at[0] a[0] relatively[0] skinny[0] 96[0] minutes[0] it[0] seems[0] to[0] run[0] long[0] enough[0] to[0] engulf[-1] two[0] titanics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
writer/director edward burns has trotted out a hackneyed storyline , the trajectory of which will be instantly recognizable to anyone who hasn't spent their life in seclusion . 	writer/director edward burns has trotted out a hackneyed storyline , the trajectory of which will be instantly recognizable to anyone who hasn't spent their life in seclusion .	1	-2	 writer/director[0] edward[0] burns[-1] has[0] trotted[0] out[0] a[0] hackneyed[0] storyline[0] the[0] trajectory[0] of[0] which[0] will[0] be[0] instantly[0] recognizable[0] to[0] anyone[0] who[0] hasn't[0] spent[0] their[0] life[0] in[0] seclusion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of tweaking the formula a little to invigorate the proceedings , burns is content to allow the film to ramble aimlessly towards its irritatingly predictable conclusion , offering precious few momentary pleasures along the way . 	instead of tweaking the formula a little to invigorate the proceedings , burns is content to allow the film to ramble aimlessly towards its irritatingly predictable conclusion , offering precious few momentary pleasures along the way .	3	-3	 instead[0] of[0] tweaking[0] the[0] formula[0] a[0] little[0] to[0] invigorate[1] the[0] proceedings[0] burns[-1] is[0] content[0] to[0] allow[0] the[0] film[0] to[0] ramble[-1] aimlessly[-1] towards[0] its[0] irritatingly[-2] predictable[0] conclusion[0] offering[0] precious[2] few[0] momentary[0] pleasures[2] along[0] the[0] way[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
no looking back is dominated by three very dislikable characters whose constant presence on the screen is painful . 	no looking back is dominated by three very dislikable characters whose constant presence on the screen is painful .	1	-4	 no[0] looking[0] back[0] is[0] dominated[-1] by[0] three[0] very[0] dislikable[0] characters[0] whose[0] constant[0] presence[0] on[0] the[0] screen[0] is[0] painful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the most appropriate ending would have been a triple suicide , and the sooner , the better . 	the most appropriate ending would have been a triple suicide , and the sooner , the better .	1	-4	 the[0] most[0] appropriate[0] ending[0] would[0] have[0] been[0] a[0] triple[0] suicide[-3] and[0] the[0] sooner[0] the[0] better[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alas , that's not the case , and those who stick with this film for its entire length will be forced to endure the prolonged company of this wretched trio . 	alas , that's not the case , and those who stick with this film for its entire length will be forced to endure the prolonged company of this wretched trio .	1	-3	 alas[-1] that's[0] not[0] the[0] case[0] and[0] those[0] who[0] stick[0] with[0] this[0] film[0] for[0] its[0] entire[0] length[0] will[0] be[0] forced[0] to[0] endure[0] the[0] prolonged[0] company[0] of[0] this[0] wretched[-2] trio[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and , to further depress audiences , burns has shot the entire film on cold , rainy days in a gray new york state beach town . 	and , to further depress audiences , burns has shot the entire film on cold , rainy days in a gray new york state beach town .	1	-4	 and[0] to[0] further[0] depress[-3] audiences[0] burns[-1] has[0] shot[-1] the[0] entire[0] film[0] on[0] cold[-1] rainy[0] days[0] in[0] a[0] gray[0] new[0] york[0] state[0] beach[0] town[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
peeks of sunshine are few and far between . 	peeks of sunshine are few and far between .	2	-1	 peeks[0] of[0] sunshine[1] are[0] few[0] and[0] far[0] between[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no wonder the characters are all so miserable . 	no wonder the characters are all so miserable .	1	-3	 no[0] wonder[0] the[0] characters[0] are[0] all[0] so[0] miserable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first of all , we have charlie ( burns ) , a generation x slacker who abandoned his girlfriend three years ago after she had an abortion , then spent some time bumming around in california before deciding to come home . 	first of all , we have charlie ( burns ) , a generation x slacker who abandoned his girlfriend three years ago after she had an abortion , then spent some time bumming around in california before deciding to come home .	2	-2	 first[0] of[0] all[0] we[0] have[0] charlie[0] burns[-1] a[0] generation[0] x[1] slacker[0] who[0] abandoned[-1] his[0] girlfriend[0] three[0] years[0] ago[0] after[0] she[0] had[0] an[0] abortion[0] then[0] spent[0] some[0] time[0] bumming[0] around[0] in[0] california[0] before[0] deciding[0] to[0] come[0] home[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that girlfriend is claudia ( lauren holly ) , and , after picking up the pieces of her life following charlie's departure , she has moved on , shacking up with one of charlie's old school buddies , mike ( jon bon jovi ) . 	that girlfriend is claudia ( lauren holly ) , and , after picking up the pieces of her life following charlie's departure , she has moved on , shacking up with one of charlie's old school buddies , mike ( jon bon jovi ) .	1	-1	 that[0] girlfriend[0] is[0] claudia[0] lauren[0] holly[0] and[0] after[0] picking[0] up[0] the[0] pieces[0] of[0] her[0] life[0] following[0] charlie's[0] departure[0] she[0] has[0] moved[0] on[0] shacking[0] up[0] with[0] one[0] of[0] charlie's[0] old[0] school[0] buddies[0] mike[0] jon[0] bon[0] jovi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
