say , tell me if you've seen this before : a crisis on-board a commercial airliner causes a stewardess to have to fly and land the plane herself . 	Translation	Positive	Negative	EmotionRationale
airport '97 anyone ? 	airport '97 anyone ?	1	-1	 airport[0] '97[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ray liotta is a psychotic serial killer being transported from new york to california on christmas eve . 	ray liotta is a psychotic serial killer being transported from new york to california on christmas eve .	1	-2	 ray[0] liotta[0] is[0] a[0] psychotic[0] serial[0] killer[-1] being[0] transported[0] from[0] new[0] york[0] to[0] california[0] on[0] christmas[0] eve[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
amazingly , on what would seemingly be a busy day of travel on one of the most flown routes , only about six other passengers are on the flight . 	amazingly , on what would seemingly be a busy day of travel on one of the most flown routes , only about six other passengers are on the flight .	3	-1	 amazingly[2] on[0] what[0] would[0] seemingly[0] be[0] a[0] busy[0] day[0] of[0] travel[0] on[0] one[0] of[0] the[0] most[0] flown[0] routes[0] only[0] about[0] six[0] other[0] passengers[0] are[0] on[0] the[0] flight[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anyway , they take off , liotta escapes and kills all the police and the pilots , and stewardess lauren holly locks herself in the cockpit to fly the plane . 	anyway , they take off , liotta escapes and kills all the police and the pilots , and stewardess lauren holly locks herself in the cockpit to fly the plane .	1	-1	 anyway[0] they[0] take[0] off[0] liotta[0] escapes[0] and[0] kills[0] all[0] the[0] police[0] and[0] the[0] pilots[0] and[0] stewardess[0] lauren[0] holly[0] locks[0] herself[0] in[0] the[0] cockpit[0] to[0] fly[0] the[0] plane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is beyond routine , the script is embarrassing ( at one point , this jumbo jet is flying completely upside down ) , the characters are worthless , and the performances are annoying . 	the story is beyond routine , the script is embarrassing ( at one point , this jumbo jet is flying completely upside down ) , the characters are worthless , and the performances are annoying .	1	-3	 the[0] story[0] is[0] beyond[0] routine[0] the[0] script[0] is[0] embarrassing[-2] at[0] one[0] point[0] this[0] jumbo[0] jet[0] is[0] flying[0] completely[0] upside[0] down[0] the[0] characters[0] are[0] worthless[-2] and[0] the[0] performances[0] are[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
surprisingly , co-writer steven e . de souza actually wrote the first two " die hard " movies ! 	surprisingly , co-writer steven e .<br> de souza actually wrote the first two " die hard " movies !	1	-1	 surprisingly[0] co[0] writer[0] steven[0] e[0] [[Sentence=-1,1=word max, 1-5]] de[0] souza[0] actually[0] wrote[0] the[0] first[0] two[0] die[0] hard[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " turbulence " takes place at christmas time , yet the film was released a few days after the holidays . 	 " turbulence " takes place at christmas time , yet the film was released a few days after the holidays .	1	-1	 turbulence[0] takes[0] place[0] at[0] christmas[0] time[0] yet[0] the[0] film[0] was[0] released[0] a[0] few[0] days[0] after[0] the[0] holidays[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brilliant marketing , as no one cares about anything having to do with christmas after december 26th . 	brilliant marketing , as no one cares about anything having to do with christmas after december 26th .	2	-1	 brilliant[1] marketing[0] as[0] no[0] one[0] cares[1] about[0] anything[0] having[0] to[0] do[0] with[0] christmas[0] after[0] december[0] 26th[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the studio knew they had a bomb , and purposely dumped it out when the fewest number of people would see it . 	the studio knew they had a bomb , and purposely dumped it out when the fewest number of people would see it .	1	-2	 the[0] studio[0] knew[0] they[0] had[0] a[0] bomb[-1] and[0] purposely[0] dumped[-1] it[0] out[0] when[0] the[0] fewest[0] number[0] of[0] people[0] would[0] see[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
