a new entry in the " revisionist history " genre of filmmaking , dick suggests that two not-too-bright teenage girls are the cause of the uncovering of the nation's biggest presidential scandal . 	Translation	Positive	Negative	EmotionRationale
kirsten dunst and michelle williams star betsy and arlene , who while trying to deliver a fan letter from arlene's watergate hotel room , accidentally stumble across g . gordon liddy ( played dead-on by harry shearer ) and the infamous break-in . 	kirsten dunst and michelle williams star betsy and arlene , who while trying to deliver a fan letter from arlene's watergate hotel room , accidentally stumble across grin� .<br> gordon liddy ( played dead-on by harry shearer ) and the infamous break-in .	1	-3	 kirsten[0] dunst[0] and[0] michelle[0] williams[0] star[0] betsy[0] and[0] arlene[0] who[0] while[0] trying[0] to[0] deliver[0] a[0] fan[0] letter[0] from[0] arlene's[0] watergate[0] hotel[0] room[0] accidentally[-1] stumble[0] across[0] g[0] [[Sentence=-2,1=word max, 1-5]] gordon[0] liddy[0] played[0] dead[-2] on[0] by[0] harry[0] shearer[0] and[0] the[0] infamous[-1] break[0] in[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when they recognize liddy later on during a white house field trip , they are ushered into a conference room , questioned as to what they know , and leave as official presidential dog walkers . 	when they recognize liddy later on during a white house field trip , they are ushered into a conference room , questioned as to what they know , and leave as official presidential dog walkers .	1	-1	 when[0] they[0] recognize[0] liddy[0] later[0] on[0] during[0] a[0] white[0] house[0] field[0] trip[0] they[0] are[0] ushered[0] into[0] a[0] conference[0] room[0] questioned[0] as[0] to[0] what[0] they[0] know[0] and[0] leave[0] as[0] official[0] presidential[0] dog[0] walkers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the girls manage to unwittingly uncover every bit of the watergate scandal while performing their duties , but have no clue as to what they are getting involved with . 	the girls manage to unwittingly uncover every bit of the watergate scandal while performing their duties , but have no clue as to what they are getting involved with .	1	-3	 the[0] girls[0] manage[0] to[0] unwittingly[0] uncover[0] every[0] bit[0] of[0] the[0] watergate[0] scandal[-2] while[0] performing[0] their[0] duties[0] but[0] have[0] no[0] clue[0] as[0] to[0] what[0] they[0] are[0] getting[0] involved[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when they discover that nixon ( another dead-on performance by dan hedaya , who actually favors nixon slightly , unlike anthony hopkins ) has been abusive to checkers , the presidential dog , thanks to the conversations that he always recorded , they quit and become disillusioned . 	when they discover that nixon ( another dead-on performance by dan hedaya , who actually favors nixon slightly , unlike anthony hopkins ) has been abusive to checkers , the presidential dog , thanks to the conversations that he always recorded , they quit and become disillusioned .	2	-4	 when[0] they[0] discover[0] that[0] nixon[0] another[0] dead[-2] on[0] performance[0] by[0] dan[0] hedaya[0] who[0] actually[0] favors[1] nixon[0] slightly[0] unlike[0] anthony[0] hopkins[0] has[0] been[0] abusive[-3] to[0] checkers[0] the[0] presidential[0] dog[0] thanks[1] to[0] the[0] conversations[0] that[0] he[0] always[0] recorded[0] they[0] quit[-1] and[0] become[0] disillusioned[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
during a prank phone call the girls make to woodward and bernstein , events are set into motion that eventually lead to the president's resignation . 	during a prank phone call the girls make to woodward and bernstein , events are set into motion that eventually lead to the president's resignation .	1	-2	 during[0] a[0] prank[0] phone[0] call[0] the[0] girls[0] make[0] to[0] woodward[0] and[0] bernstein[0] events[0] are[0] set[0] into[0] motion[0] that[0] eventually[0] lead[0] to[0] the[0] president's[0] resignation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film starts off promisingly with an aged woodward and bernstein arguing with each other on an obvious larry king-type talk show ( featuring a cameo by french stewart ) about revealing the identity of " deep throat " . 	this film starts off promisingly with an aged woodward and bernstein arguing with each other on an obvious larry king-type talk show ( featuring a cameo by french stewart ) about revealing the identity of " deep throat " .	2	-2	 this[0] film[0] starts[0] off[0] promisingly[1] with[0] an[0] aged[0] woodward[0] and[0] bernstein[0] arguing[-1] with[0] each[0] other[0] on[0] an[0] obvious[0] larry[0] king[0] type[0] talk[0] show[0] featuring[0] a[0] cameo[0] by[0] french[0] stewart[0] about[0] revealing[0] the[0] identity[0] of[0] deep[0] throat[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
from there , we are subjected to bodily function humor and just about every bad " dick " joke one can derive from this type of supposed comedy . 	from there , we are subjected to bodily function humor and just about every bad " dick " joke one can derive from this type of supposed comedy .	3	-2	 from[0] there[0] we[0] are[0] subjected[0] to[0] bodily[0] function[0] humor[2] and[0] just[0] about[0] every[0] bad[-1] dick[0] joke[1] one[0] can[0] derive[0] from[0] this[0] type[0] of[0] supposed[0] comedy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at one point , the girls are having to scream over a high school band playing on the steps of the lincoln memorial . 	at one point , the girls are having to scream over a high school band playing on the steps of the lincoln memorial .	2	-4	 at[0] one[0] point[0] the[0] girls[0] are[0] having[0] to[0] scream[-3] over[0] a[0] high[0] school[0] band[0] playing[1] on[0] the[0] steps[0] of[0] the[0] lincoln[0] memorial[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the band manages to stop right as dunst screams " you have to stop letting dick run your life ! " 	the band manages to stop right as dunst screams " you have to stop letting dick run your life !<br> "	1	-4	 the[0] band[0] manages[0] to[0] stop[0] right[0] as[0] dunst[0] screams[-3] you[0] have[0] to[0] stop[0] letting[0] dick[0] run[0] your[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
much to the horror of everyone standing within earshot . 	much to the horror of everyone standing within earshot .	1	-4	 much[0] to[0] the[0] horror[-3] of[0] everyone[0] standing[0] within[0] earshot[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
