 " have you ever heard the one about a movie so bad that it made a guy run out of the theatre screaming ? " 	Translation	Positive	Negative	EmotionRationale
obviously the producers at columbia tristar did not think that we suffered enough from the first installment , and so to finish us utterly , they have now released " urban legends : final cut " . 	obviously the producers at columbia tristar did not think that we suffered enough from the first instalment , and so to finish us utterly , they have now released " urban legends : final cut " .	1	-4	 obviously[0] the[0] producers[0] at[0] columbia[0] tristar[0] did[0] not[0] think[0] that[0] we[0] suffered[-3] enough[0] from[0] the[0] first[0] installment/instalment[0] and[0] so[0] to[0] finish[0] us[0] utterly[0] they[0] have[0] now[0] released[0] urban[0] legends[0] final[0] cut[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is another " scream " -like feature , consisting merely from the recycled materials of rip-offs from the most pointless movies of all time . 	this is another " scream " -like feature , consisting merely from the recycled materials of rip-offs from the most pointless movies of all time .	2	-4	 this[0] is[0] another[0] scream[-3] like[1] feature[0] consisting[0] merely[0] from[0] the[0] recycled[0] materials[0] of[0] rip[-1] offs[0] from[0] the[0] most[0] pointless[-1] movies[0] of[0] all[0] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
amy ( jennifer morrison ) is a film student who is attending a film school filled with uninspired film students who do not have a clue about what to do . 	amy ( jennifer morrison ) is a film student who is attending a film school filled with uninspired film students who do not have a clue about what to do .	1	-1	 amy[0] jennifer[0] morrison[0] is[0] a[0] film[0] student[0] who[0] is[0] attending[0] a[0] film[0] school[0] filled[0] with[0] uninspired[0] film[0] students[0] who[0] do[0] not[0] have[0] a[0] clue[0] about[0] what[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but just as she reaches the halfway mark of her final semester at prestigious university's film program -- where each year's best thesis production takes the coveted hitchcock prize , a virtual one-way ticket to hollywood success -- she has a chance encounter with campus security guard reese ( loretta devine ) , whose tale of a series of murders based on urban legends at another university inspires amy to try her hand at a fictional thriller organized along similar lines . 	but just as she reaches the halfway mark of her final semester at prestigious university's film program - where each year's best thesis production takes the coveted hitchcock prize , a virtual one-way ticket to hollywood success - she has a chance encounter with campus security guard reese ( loretta devine ) , whose tale of a series of murders based on urban legends at another university inspires amy to try her hand at a fictional thriller organized along similar lines .	3	-4	 but[0] just[0] as[0] she[0] reaches[0] the[0] halfway[0] mark[0] of[0] her[0] final[0] semester[0] at[0] prestigious[0] university's[0] film[0] program[0] where[0] each[0] year's[0] best[1] thesis[0] production[0] takes[0] the[0] coveted[-1] hitchcock[0] prize[2] a[0] virtual[0] one[0] way[0] ticket[0] to[0] hollywood[0] success[2] she[0] has[0] a[0] chance[0] encounter[0] with[0] campus[0] security[1] guard[0] reese[0] loretta[0] devine[0] whose[0] tale[0] of[0] a[0] series[0] of[0] murders[-3] based[0] on[0] urban[0] legends[0] at[0] another[0] university[0] inspires[2] amy[0] to[0] try[0] her[0] hand[0] at[0] a[0] fictional[0] thriller[1] organized[0] along[0] similar[0] lines[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
soon enough , fake -- and real -- blood starts to flow , and amy is being chased around by scary killer , while her cast and crew get slain , one by one . 	soon enough , fake - and real - blood starts to flow , and amy is being chased around by scary killer , while her cast and crew get slain , one by one .	1	-4	 soon[0] enough[0] fake[-1] and[0] real[0] blood[0] starts[0] to[0] flow[0] and[0] amy[0] is[0] being[0] chased[-1] around[0] by[0] scary[-3] killer[-1] while[0] her[0] cast[0] and[0] crew[0] get[0] slain[0] one[0] by[0] one[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
is the culprit the original urban legends murderer , just some random psycho , ! 	is the culprit the original urban legends murderer , just some random psycho , !	1	-4	 is[0] the[0] culprit[-1] the[0] original[0] urban[0] legends[0] murderer[-3] just[0] some[0] random[0] psycho[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a member of the faculty , one of her competitors for the hitchcock , or is there something even more stupid going on ? 	a member of the faculty , one of her competitors for the hitchcock , or is there something even more stupid going on ?	1	-2	 a[0] member[0] of[0] the[0] faculty[0] one[0] of[0] her[0] competitors[0] for[0] the[0] hitchcock[0] or[0] is[0] there[0] something[0] even[0] more[0] stupid[-1] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is another one of those tiring , pointless teen slasher flicks : neither scary , funny , or interesting . 	this is another one of those tiring , pointless teen slasher flicks : neither scary , funny , or interesting .	2	-4	 this[0] is[0] another[0] one[0] of[0] those[0] tiring[0] pointless[-1] teen[0] slasher[-1] flicks[0] neither[0] scary[-3] funny[1] or[0] interesting[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it simply lacks the ability and the story to entertain . 	it simply lacks the ability and the story to entertain .	1	-1	 it[0] simply[0] lacks[0] the[0] ability[0] and[0] the[0] story[0] to[0] entertain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the body counts and screams continue to grow , as the weak level of intelligence sinks rapidly . 	the body counts and screams continue to grow , as the weak level of intelligence sinks rapidly .	1	-4	 the[0] body[0] counts[0] and[0] screams[-3] continue[0] to[0] grow[0] as[0] the[0] weak[-1] level[0] of[0] intelligence[0] sinks[0] rapidly[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
