m : i-2 , the sequel to mission impossible , is a james bond wannabe film , but it fails to even come close to that film in wit , humor , and entertainment value . 	Translation	Positive	Negative	EmotionRationale
it tries to be a spy/romance movie , but without any suspense the film just looks like it's an extended commercial for dudes who think they look cool in throwaway sunglasses . 	it tries to be a spy/romance movie , but without any suspense the film just looks like it's an extended commercial for dudes who think they look cool in throwaway sunglasses .	2	-1	 it[0] tries[0] to[0] be[0] a[0] spy/romance[0] movie[0] but[0] without[0] any[0] suspense[0] the[0] film[0] just[0] looks[0] like[1] it's[0] an[0] extended[0] commercial[0] for[0] dudes[0] who[0] think[0] they[0] look[0] cool[1] in[0] throwaway[0] sunglasses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is a film that prefers techie gadgets to anything human . 	it is a film that prefers techie gadgets to anything human .	1	-1	 it[0] is[0] a[0] film[0] that[0] prefers[0] techie[0] gadgets[0] to[0] anything[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the coolest thing about this movie , was all the holes it had in its story and the most trite thing about the movie , was the usage of doves throughout as peace symbols . 	the coolest thing about this movie , was all the holes it had in its story and the most trite thing about the movie , was the usage of doves throughout as peace symbols .	3	-3	 the[0] coolest[2] thing[0] about[0] this[0] movie[0] was[0] all[0] the[0] holes[0] it[0] had[0] in[0] its[0] story[0] and[0] the[0] most[0] trite[-2] thing[0] about[0] the[0] movie[0] was[0] the[0] usage[0] of[0] doves[0] throughout[0] as[0] peace[0] symbols[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film plays as if it was a wet fantasy dream about techie violence . 	the film plays as if it was a wet fantasy dream about techie violence .	2	-4	 the[0] film[0] plays[1] as[0] if[0] it[0] was[0] a[0] wet[0] fantasy[0] dream[0] about[0] techie[0] violence[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
except for the choreographed action sequences , the film was dull for three-quarters of its time , filled with too many dead spots in its story to garner concern about its wooden characters or the superficial romance that developed . 	except for the choreographed action sequences , the film was dull for three-quarters of its time , filled with too many dead spots in its story to garner concern about its wooden characters or the superficial romance that developed .	4	-3	 except[0] for[0] the[0] choreographed[-2] action[0] sequences[0] the[0] film[0] was[0] dull[-1] for[0] three[0] quarters[0] of[0] its[0] time[0] filled[0] with[0] too[0] many[0] dead[-2] spots[0] in[0] its[0] story[0] to[0] garner[0] concern[-1] about[0] its[0] wooden[0] characters[0] or[0] the[0] superficial[-1] romance[3] that[0] developed[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
as for the action scenes , they might look good to those who are converts to violence in their films , but their advertisement for sadistic responses , is nothing short of mindless cartoon violence , which makes it very difficult to sit back and applaud without feeling put off by the gratuitous cruelty seen . 	as for the action scenes , they might look good to those who are converts to violence in their films , but their advertisement for sadistic responses , is nothing short of mindless cartoon violence , which makes it very difficult to sit back and applaud without feeling put off by the gratuitous cruelty seen .	2	-4	 as[0] for[0] the[0] action[0] scenes[0] they[0] might[0] look[0] good[1] to[0] those[0] who[0] are[0] converts[0] to[0] violence[-3] in[0] their[0] films[0] but[0] their[0] advertisement[0] for[0] sadistic[0] responses[0] is[0] nothing[0] short[0] of[0] mindless[0] cartoon[0] violence[-3] which[0] makes[0] it[0] very[0] difficult[-1][-1 LastWordBoosterStrength] to[0] sit[0] back[0] and[0] applaud[1] without[0] feeling[0] put[0] off[0] by[0] the[0] gratuitous[-1] cruelty[-3] seen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
m : i-2 opens and closes with fast-paced action scenes , but it is hard to get past the middle part which just drags on in banal dialogue . 	m : i-2 opens and closes with fast-paced action scenes , but it is hard to get past the middle part which just drags on in banal dialogue .	1	-2	 m[0] i[0] -2[0] opens[0] and[0] closes[0] with[0] fast[0] paced[0] action[0] scenes[0] but[0] it[0] is[0] hard[0] to[0] get[0] past[0] the[0] middle[0] part[0] which[0] just[0] drags[0] on[0] in[0] banal[-1] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film looks as if it had been invaded by a computer virus , at that point . 	the film looks as if it had been invaded by a computer virus , at that point .	1	-2	 the[0] film[0] looks[0] as[0] if[0] it[0] had[0] been[0] invaded[-1] by[0] a[0] computer[0] virus[0] at[0] that[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only thing that kept me awake , was the horrible music composed by hans zimmer that became very loud at any of the film's supposedly momentous action scenes and seemed to make an uninteresting scene even more noticeable in the wrong way . 	the only thing that kept me awake , was the horrible music composed by hans zimmer that became very loud at any of the film's supposedly momentous action scenes and seemed to make an uninteresting scene even more noticeable in the wrong way .	3	-4	 the[0] only[0] thing[0] that[0] kept[0] me[0] awake[0] was[0] the[0] horrible[-3] music[0] composed[0] by[0] hans[0] zimmer[0] that[0] became[0] very[0] loud[0] at[0] any[0] of[0] the[0] film's[0] supposedly[0] momentous[2] action[0] scenes[0] and[0] seemed[0] to[0] make[0] an[0] uninteresting[0] scene[0] even[0] more[0] noticeable[0] in[0] the[0] wrong[-1] way[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's a mega-buck film adapted from a popular high-tech gadgetry tv series . 	it's a mega-buck film adapted from a popular high-tech gadgetry tv series .	1	-1	 it's[0] a[0] mega[0] buck[0] film[0] adapted[0] from[0] a[0] popular[0] high[0] tech[0] gadgetry[0] tv[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but its artistic success is an impossible task to accomplish because it hired the wrong director and actors to star in it , and it failed to produce a story that had any substance . 	but its artistic success is an impossible task to accomplish because it hired the wrong director and actors to star in it , and it failed to produce a story that had any substance .	3	-3	 but[0] its[0] artistic[0] success[2] is[0] an[0] impossible[0] task[0] to[0] accomplish[1] because[0] it[0] hired[0] the[0] wrong[-1] director[0] and[0] actors[0] to[0] star[0] in[0] it[0] and[0] it[0] failed[-2] to[0] produce[0] a[0] story[0] that[0] had[0] any[0] substance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
john woo ( " broken arrow " / " face/off " ) is good at doing car chases , choreographed fights with midair flips and kung-fu kicks , slo-mo shots of two guns blazing , and of fire explosions , but he just can't seem to handle dialogue and suspense . 	john woo ( " broken arrow " / " face/off " ) is good at doing car chases , choreographed fights with midair flips and kung-fu kicks , slo-mo shots of two guns blazing , and of fire explosions , but he just can't seem to handle dialogue and suspense .	2	-4	 john[0] woo[0] broken[-1] arrow[0] /[0] face/off[0] is[0] good[1] at[0] doing[0] car[0] chases[-1] choreographed[-2] fights[-2][-1 MultiplePositiveWords] with[0] midair[0] flips[0] and[0] kung[0] fu[0] kicks[-1] slo[0] mo[0] shots[0] of[0] two[0] guns[-1] blazing[0] and[0] of[0] fire[0] explosions[-1] but[0] he[0] just[0] can't[0] seem[0] to[0] handle[0] dialogue[0] and[0] suspense[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the star of the film and co-producer , tom cruise , and his romantic interest , thandie newton , are miscast . 	the star of the film and co-producer , tom cruise , and his romantic interest , thandie newton , are miscast .	4	-1	 the[0] star[0] of[0] the[0] film[0] and[0] co[0] producer[0] tom[0] cruise[0] and[0] his[0] romantic[3] interest[1] thandie[0] newton[0] are[0] miscast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
cruise is no james bond and looks more like a yuppie than a superhero in his stylish long hair and innocuous smile , as he tries to carry off this macho role , while thandie is not an action-film girl , and seems like a fish- out-of-water in this one . 	cruise is no james bond and looks more like a yuppie than a superhero in his stylish long hair and innocuous smile , as he tries to carry off this macho role , while thandie is not an action-film girl , and seems like a fish- out-of-water in this one .	3	-1	 cruise[0] is[0] no[0] james[0] bond[0] and[0] looks[0] more[0] like[1] a[0] yuppie[0] than[0] a[0] superhero[0] in[0] his[0] stylish[0] long[0] hair[0] and[0] innocuous[0] smile[2] as[0] he[0] tries[0] to[0] carry[0] off[0] this[0] macho[0] role[0] while[0] thandie[0] is[0] not[0] an[0] action[0] film[0] girl[0] and[0] seems[0] like[1] a[0] fish[0] out[0] of[0] water[0] in[0] this[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
