summer movies are , by nature , dumb affairs that are usually made for some quick enjoyment and to make money . 	Translation	Positive	Negative	EmotionRationale
wild wild west , the latest will smith affair , follows much the same formula , except that it is dumber and less enjoying than most summer movies . 	wild wild west , the latest will smith affair , follows much the same formula , except that it is dumber and less enjoying than most summer movies .	3	-2	 wild[0] wild[0] west[0] the[0] latest[0] will[0] smith[0] affair[0] follows[0] much[0] the[0] same[0] formula[0] except[0] that[0] it[0] is[0] dumber[-1] and[0] less[0] enjoying[2] than[0] most[0] summer[0] movies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
will smith plays jim west , a black sheriff with a nice line in sunglasses . 	will smith plays jim west , a black sheriff with a nice line in sunglasses .	2	-1	 will[0] smith[0] plays[1] jim[0] west[0] a[0] black[0] sheriff[0] with[0] a[0] nice[1] line[0] in[0] sunglasses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is called by president grant ( kline ) to go on a mission to find out why top government scientists are disappearing . 	he is called by president grant ( kline ) to go on a mission to find out why top government scientists are disappearing .	1	-1	 he[0] is[0] called[0] by[0] president[0] grant[0] kline[0] to[0] go[0] on[0] a[0] mission[0] to[0] find[0] out[0] why[0] top[0] government[0] scientists[0] are[0] disappearing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
west is paired up with scientist artemus gordon ( kline again ) and the two track the missing scientists to a legless mastermind , named dr . loveless ( branagh , with a zany moustache . ) 	west is paired up with scientist artemus gordon ( kline again ) and the two track the missing scientists to a legless mastermind , named dr .<br> loveless ( branagh , with a zany moustache .<br> )	1	-3	 west[0] is[0] paired[0] up[0] with[0] scientist[0] artemus[0] gordon[0] kline[0] again[0] and[0] the[0] two[0] track[0] the[0] missing[0] scientists[0] to[0] a[0] legless[0] mastermind[0] named[0] dr[0] [[Sentence=-1,1=word max, 1-5]] loveless[-2] branagh[0] with[0] a[0] zany[0] moustache[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
before i pile on with the many negatives in this sorry affair , i'll give it a chance with the positives . 	before i pile on with the many negatives in this sorry affair , i'll give it a chance with the positives .	3	-2	 before[0] i[0] pile[0] on[0] with[0] the[0] many[0] negatives[-1] in[0] this[0] sorry[-1] affair[0] i'll[0] give[0] it[0] a[0] chance[0] with[0] the[0] positives[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's a nice credit sequence , the production design by bo welch is pleasing to the eye , and the special effects are decent enough . 	there's a nice credit sequence , the production design by bo welch is pleasing to the eye , and the special effects are decent enough .	3	-1	 there's[0] a[0] nice[1] credit[0] sequence[0] the[0] production[0] design[0] by[0] bo[0] welch[0] is[0] pleasing[2] to[0] the[0] eye[0] and[0] the[0] special[1] effects[0] are[0] decent[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's also a pleasant soundtrack . 	there's also a pleasant soundtrack .	3	-1	 there's[0] also[0] a[0] pleasant[2] soundtrack[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
buried deep in the dross are one or two amusing jokes . 	buried deep in the dross are one or two amusing jokes .	2	-3	 buried[-2] deep[0] in[0] the[0] dross[0] are[0] one[0] or[0] two[0] amusing[1] jokes[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and salma hayek pops up as the female interest , which is always nice to see . 	and salma hayek pops up as the female interest , which is always nice to see .	2	-1	 and[0] salma[0] hayek[0] pops[0] up[0] as[0] the[0] female[0] interest[1] which[0] is[0] always[0] nice[1] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
apart from these factors , though , nothing else in wild wild west works . 	apart from these factors , though , nothing else in wild wild west works .	1	-1	 apart[0] from[0] these[0] factors[0] though[0] nothing[0] else[0] in[0] wild[0] wild[0] west[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
