walken stars as a mobster who is kidnapped and held for ransom by four bratty rich kids . 	Translation	Positive	Negative	EmotionRationale
it seems that a woman has also been kidnapped--she is the sister of one of them ( e . t . 's 	it seems that a woman has also been kidnapped-she is the sister of one of them ( e .<br> t .<br> 's	1	-1	 it[0] seems[0] that[0] a[0] woman[0] has[0] also[0] been[0] kidnapped[0] she[0] is[0] the[0] sister[0] of[0] one[0] of[0] them[0] e[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] 's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
henry thomas ) and the girlfriend of another ( flannery ) --and the asking price is  2 million , which said snots are unable to cough up alone . 	henry thomas ) and the girlfriend of another ( flannery ) -and the asking price is  2 million , which said snots are unable to cough up alone .	1	-1	 henry[0] thomas[0] and[0] the[0] girlfriend[0] of[0] another[0] flannery[0] and[0] the[0] asking[0] price[0] is[0] 2[0] million[0] which[0] said[0] snots[0] are[0] unable[0] to[0] cough[0] up[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they even cut off walken's finger to show they mean business , because they are desperate to save the woman's life . 	they even cut off walken's finger to show they mean business , because they are desperate to save the woman's life .	2	-3	 they[0] even[0] cut[0] off[0] walken's[0] finger[0] to[0] show[0] they[0] mean[0] business[0] because[0] they[0] are[0] desperate[-2] to[0] save[1] the[0] woman's[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
suicide kings is a terrible film . 	suicide kings is a terrible film .	1	-4	 suicide[-3] kings[0] is[0] a[0] terrible[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
walken aside , there isn't a single appealing cast member . 	walken aside , there isn't a single appealing cast member .	1	-1	 walken[0] aside[0] there[0] isn't[0] a[0] single[0] appealing[0] cast[0] member[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o'fallon creates characters that are functional types without any resonance . 	o'fallon creates characters that are functional types without any resonance .	1	-1	 o'fallon[0] creates[0] characters[0] that[0] are[0] functional[0] types[0] without[0] any[0] resonance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in an amusingly unironic scene , walken plays poker with the foursome and describes each of their personalities to a tee--it's as if he was reading the summary sheet for a casting director . 	in an amusingly unironic scene , walken plays poker with the foursome and describes each of their personalities to a tee-it's as if he was reading the summary sheet for a casting director .	2	-1	 in[0] an[0] amusingly[1] unironic[0] scene[0] walken[0] plays[1] poker[0] with[0] the[0] foursome[0] and[0] describes[0] each[0] of[0] their[0] personalities[0] to[0] a[0] tee[0] it's[0] as[0] if[0] he[0] was[0] reading[0] the[0] summary[0] sheet[0] for[0] a[0] casting[0] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is another issue entirely . 	the plot is another issue entirely .	1	-1	 the[0] plot[0] is[0] another[0] issue[0] entirely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o'fallon is someone whom i'm betting has seen reservoir dogs and the usual suspects too many times , for not only does his story veer off on bizarre tangents from whence they never return ( do we really need the scene where dennis leary beats up an abusive father with a toaster , which is entirely unrelated to both the story and leary's character , or the numerous anecdotal sequences ? ) , but the central plot itself is a serpentine mess , filled with crosses and double crosses and triple crosses . . . 	o'fallon is someone whom i'm betting has seen reservoir dogs and the usual suspects too many times , for not only does his story veer off on bizarre tangents from whence they never return ( do we really need the scene where dennis leary beats up an abusive father with a toaster , which is entirely unrelated to both the story and leary's character , or the numerous anecdotal sequences ?<br> ) , but the central plot itself is a serpentine mess , filled with crosses and double crosses and triple crosses .<br> .<br> .	1	-4	 o'fallon[0] is[0] someone[0] whom[0] i'm[0] betting[0] has[0] seen[0] reservoir[0] dogs[0] and[0] the[0] usual[0] suspects[0] too[0] many[0] times[0] for[0] not[0] only[0] does[0] his[0] story[0] veer[0] off[0] on[0] bizarre[-1] tangents[0] from[0] whence[0] they[0] never[0] return[0] do[0] we[0] really[0] need[0] the[0] scene[0] where[0] dennis[0] leary[0] beats[0] up[0] an[0] abusive[-3] father[0] with[0] a[0] toaster[0] which[0] is[0] entirely[0] unrelated[0] to[0] both[0] the[0] story[0] and[0] leary's[0] character[0] or[0] the[0] numerous[0] anecdotal[0] sequences[0] [[Sentence=-4,1=word max, 1-5]] but[0] the[0] central[0] plot[0] itself[0] is[0] a[0] serpentine[0] mess[0] filled[0] with[0] crosses[0] and[0] double[0] crosses[0] and[0] triple[0] crosses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
by the fourth big revelation/twist , i had completely tuned out , wondering what on earth attracted these actors to the material . 	by the fourth big revelation/twist , i had completely tuned out , wondering what on earth attracted these actors to the material .	2	-1	 by[0] the[0] fourth[0] big[0] revelation/twist[0] i[0] had[0] completely[0] tuned[0] out[0] wondering[0] what[0] on[0] earth[0] attracted[1] these[0] actors[0] to[0] the[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
