my first press screening of 1998 and already i've gotten a prime candidate for my worst ten of the year list . 	Translation	Positive	Negative	EmotionRationale
what an auspicious beginning ! 	what an auspicious beginning !	1	-1	 what[0] an[0] auspicious[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welcome to the dog days of winter when the only film openings of merit are those oscar contenders that the studios opened in late december in new york and l . a . and which are just now beginning to appear elsewhere . 	welcome to the dog days of winter when the only film openings of merit are those oscar contenders that the studios opened in late december in new york and l .<br> a .<br> and which are just now beginning to appear elsewhere .	2	-1	 welcome[1] to[0] the[0] dog[0] days[0] of[0] winter[0] when[0] the[0] only[0] film[0] openings[0] of[0] merit[1] are[0] those[0] oscar[0] contenders[0] that[0] the[0] studios[0] opened[0] in[0] late[0] december[0] in[0] new[0] york[0] and[0] l[0] [[Sentence=-1,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] and[0] which[0] are[0] just[0] now[0] beginning[0] to[0] appear[0] elsewhere[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
firestorm , the directorial debut of dances with wolves's academy award winning cinematographer dean semler , is the first of the new year's crop of movies . 	firestorm , the directorial debut of dances with wolves's academy award winning cinematographer dean semler , is the first of the new year's crop of movies .	2	-1	 firestorm[0] the[0] directorial[0] debut[0] of[0] dances[0] with[0] wolves's[0] academy[0] award[0] winning[1] cinematographer[0] dean[0] semler[0] is[0] the[0] first[0] of[0] the[0] new[0] year's[0] crop[0] of[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as our story opens , the movie pretentiously informs us that of the tens of thousands of firefighters only 400 are " smokejumpers . " 	as our story opens , the movie pretentiously informs us that of the tens of thousands of firefighters only 400 are " smokejumpers .<br> "	1	-2	 as[0] our[0] story[0] opens[0] the[0] movie[0] pretentiously[-1] informs[0] us[0] that[0] of[0] the[0] tens[0] of[0] thousands[0] of[0] firefighters[0] only[0] 400[0] are[0] smokejumpers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we then cut to a plane load of smoke jumping cowboys and one cowgirl , where one of the gung-ho guys is taking a romance quiz from " cosmopolitan . " 	we then cut to a plane load of smoke jumping cowboys and one cowgirl , where one of the gung-ho guys is taking a romance quiz from " cosmopolitan .<br> "	4	-2	 we[0] then[0] cut[0] to[0] a[0] plane[0] load[0] of[0] smoke[0] jumping[0] cowboys[0] and[0] one[0] cowgirl[0] where[0] one[0] of[0] the[0] gung[-1] ho[0] guys[0] is[0] taking[0] a[0] romance[3] quiz[0] from[0] cosmopolitan[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
having the time of their lives , they then jump into the middle of a burning forest . 	having the time of their lives , they then jump into the middle of a burning forest .	1	-2	 having[0] the[0] time[0] of[0] their[0] lives[0] they[0] then[0] jump[0] into[0] the[0] middle[0] of[0] a[0] burning[-1] forest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when , even in the beginning , the director can't get the small parts right , you can sense the movie is in trouble . 	when , even in the beginning , the director can't get the small parts right , you can sense the movie is in trouble .	1	-2	 when[0] even[0] in[0] the[0] beginning[0] the[0] director[0] can't[0] get[0] the[0] small[0] parts[0] right[0] you[0] can[0] sense[0] the[0] movie[0] is[0] in[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the noisy fire roaring all about them and with the trapped people huddled near their gasoline-filled cars , smokejumper monica ( christianne hirt ) tells them to get away from their soon-to-explode vehicles . 	with the noisy fire roaring all about them and with the trapped people huddled near their gasoline-filled cars , smokejumper monica ( christianne hirt ) tells them to get away from their soon-to-explode vehicles .	1	-2	 with[0] the[0] noisy[0] fire[0] roaring[0] all[0] about[0] them[0] and[0] with[0] the[0] trapped[0] people[0] huddled[0] near[0] their[0] gasoline[0] filled[0] cars[0] smokejumper[0] monica[0] christianne[0] hirt[0] tells[0] them[0] to[0] get[0] away[0] from[0] their[0] soon[0] to[0] explode[-1] vehicles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not bothering to shout nor even get close to them , she announces her warning without raising her voice much or approaching the people . 	not bothering to shout nor even get close to them , she announces her warning without raising her voice much or approaching the people .	2	-1	 not[0] bothering[-1][NegatedDueToPreviousWord] to[0] shout[0] nor[0] even[0] get[0] close[0] to[0] them[0] she[0] announces[0] her[0] warning[0] without[0] raising[0] her[0] voice[0] much[0] or[0] approaching[0] the[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
miraculously , they manage to hear her and move away . 	miraculously , they manage to hear her and move away .	1	-1	 miraculously[0] they[0] manage[0] to[0] hear[0] her[0] and[0] move[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
