everything in the phantom you have seen many times before and there is nothing new presented here . 	Translation	Positive	Negative	EmotionRationale
wincer displays absolutely no skill in setting up an exciting action sequence . 	wincer displays absolutely no skill in setting up an exciting action sequence .	3	-2	 wincer[-1] displays[0] absolutely[0] no[0] skill[0] in[0] setting[0] up[0] an[0] exciting[2] action[0] sequence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
billy zane is wooden as the hero . 	billy zane is wooden as the hero .	3	-1	 billy[0] zane[0] is[0] wooden[0] as[0] the[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kristy swanson is given very little to do , and does very little with it . 	kristy swanson is given very little to do , and does very little with it .	1	-1	 kristy[0] swanson[0] is[0] given[0] very[0] little[0] to[0] do[0] and[0] does[0] very[0] little[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
treat williams , looking like rhett butler but sounding like mickey mouse , is one of the worst villains i have ever seen in a movie . 	treat williams , looking like rhett butler but sounding like mickey mouse , is one of the worst villains i have ever seen in a movie .	2	-4	 treat[1] williams[0] looking[0] like[1] rhett[0] butler[0] but[0] sounding[0] like[1] mickey[0] mouse[0] is[0] one[0] of[0] the[0] worst[-2] villains[-2][-1 MultiplePositiveWords] i[0] have[0] ever[0] seen[0] in[0] a[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
only catherine zeta jones , as one of williams cohorts turns in a good performance . 	only catherine zeta jones , as one of williams cohorts turns in a good performance .	2	-1	 only[0] catherine[0] zeta[0] jones[0] as[0] one[0] of[0] williams[0] cohorts[0] turns[0] in[0] a[0] good[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she has energy and spunk , which the movie needed much more of . 	she has energy and spunk , which the movie needed much more of .	1	-1	 she[0] has[0] energy[0] and[0] spunk[0] which[0] the[0] movie[0] needed[0] much[0] more[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh yeah , the phantom also has a secret identity but this is so poorly played out you won't even care . 	oh yeah , the phantom also has a secret identity but this is so poorly played out you won't even care .	1	-2	 oh[0] yeah[0] the[0] phantom[0] also[0] has[0] a[0] secret[0] identity[0] but[0] this[0] is[0] so[0] poorly[-1] played[0] out[0] you[0] won't[0] even[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
about the only things i can recommend are a good performance by jones , and some colorful scenery . 	about the only things i can recommend are a good performance by jones , and some colorful scenery .	2	-1	 about[0] the[0] only[0] things[0] i[0] can[0] recommend[0] are[0] a[0] good[1] performance[0] by[0] jones[0] and[0] some[0] colorful[0] scenery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , if youre looking for a fun family movie , go watch the underrated flipper . 	however , if youre looking for a fun family movie , go watch the underrated flipper .	2	-1	 however[0] if[0] youre[0] looking[0] for[0] a[0] fun[1] family[0] movie[0] go[0] watch[0] the[0] underrated[0] flipper[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is not a good movie . 	this is not a good movie .	1	-2	 this[0] is[0] not[0] a[0] good[1][NegatedDueToPreviousWord] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
