this movie about two dysfunctional families never really gets off the ground , despite some good performances from a basically competent cast . 	Translation	Positive	Negative	EmotionRationale
eddie ( sean penn ) and maureen ( robin wright penn ) are a not-so-happily married couple down on their luck . 	eddie ( sean pen ) and maureen ( robin wright pen ) are a not-so-happily married couple down on their luck .	3	-3	 eddie[0] sean[0] penn/pen[0] and[0] maureen[0] robin[0] wright[0] penn/pen[0] are[0] a[0] not[0] so[0] happily[2][NegatedDueToPreviousWord] married[0] couple[0] down[0] on[0] their[0] luck[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
living in rented rooms in the seedier part of an unnamed city , they spend what little income they have at the local bar , owned by shorty ( stanton ) , eddie's best friend , and his wife georgie ( mazar ) . 	living in rented rooms in the seedier part of an unnamed city , they spend what little income they have at the local bar , owned by shorty ( stanton ) , eddie's best friend , and his wife georgie ( mazar ) .	2	-1	 living[0] in[0] rented[0] rooms[0] in[0] the[0] seedier[0] part[0] of[0] an[0] unnamed[0] city[0] they[0] spend[0] what[0] little[0] income[0] they[0] have[0] at[0] the[0] local[0] bar[0] owned[0] by[0] shorty[0] stanton[0] eddie's[0] best[1] friend[1] and[0] his[0] wife[0] georgie[0] mazar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maureen and eddie share an odd relationship marked by eddie's frequent disappearances . 	maureen and eddie share an odd relationship marked by eddie's frequent disappearances .	1	-1	 maureen[0] and[0] eddie[0] share[0] an[0] odd[0] relationship[0] marked[0] by[0] eddie's[0] frequent[0] disappearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on his return , he promises her the world and professes his undying love . 	on his return , he promises her the world and professes his undying love .	3	-1	 on[0] his[0] return[0] he[0] promises[1] her[0] the[0] world[0] and[0] professes[0] his[0] undying[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
their manic reunions all too soon lead to new lows , as eddie disappears again . 	their manic reunions all too soon lead to new lows , as eddie disappears again .	1	-2	 their[0] manic[0] reunions[0] all[0] too[0] soon[0] lead[0] to[0] new[0] lows[-1] as[0] eddie[0] disappears[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like a junky craving the next high , maureen suffers through the lows to reach the next high . 	like a junky craving the next high , maureen suffers through the lows to reach the next high .	2	-4	 like[1] a[0] junky[0] craving[0] the[0] next[0] high[0] maureen[0] suffers[-3] through[0] the[0] lows[-1] to[0] reach[0] the[0] next[0] high[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
their relationship is further complicated by maureen's pregnancy . 	their relationship is further complicated by maureen's pregnancy .	1	-2	 their[0] relationship[0] is[0] further[0] complicated[-1] by[0] maureen's[0] pregnancy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she wants the baby and the father , but deep down seems to sense the inevitability of losing the latter . 	she wants the baby and the father , but deep down seems to sense the inevitability of losing the latter .	2	-3	 she[0] wants[0] the[0] baby[1] and[0] the[0] father[0] but[0] deep[0] down[0] seems[0] to[0] sense[0] the[0] inevitability[0] of[0] losing[-2] the[0] latter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
during one of eddie's absences , maureen is attacked by kiefer , her neighbor , who gets her drunk ( with her cooperation ) and then insists on intimacy . 	during one of eddie's absences , maureen is attacked by kiefer , her neighbor , who gets her drunk ( with her cooperation ) and then insists on intimacy .	1	-3	 during[0] one[0] of[0] eddie's[0] absences[0] maureen[0] is[0] attacked[-2] by[0] kiefer[0] her[0] neighbor[0] who[0] gets[0] her[0] drunk[-1] with[0] her[0] cooperation[0] and[0] then[0] insists[0] on[0] intimacy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she leaves badly bruised and in fear of what eddie might do -- not to her , but to kiefer . 	she leaves badly bruised and in fear of what eddie might do - not to her , but to kiefer .	1	-4	 she[0] leaves[0] badly[-1] bruised[-1] and[0] in[0] fear[-3] of[0] what[0] eddie[0] might[0] do[0] not[0] to[0] her[0] but[0] to[0] kiefer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she lies about what happens to ensure that no harm will come to eddie as the result of his inevitable rage . 	she lies about what happens to ensure that no harm will come to eddie as the result of his inevitable rage .	1	-4	 she[0] lies[-2] about[0] what[0] happens[0] to[0] ensure[0] that[0] no[0] harm[-2] will[0] come[0] to[0] eddie[0] as[0] the[0] result[0] of[0] his[0] inevitable[0] rage[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he lashes out as she expects , and ends up in an institution for what he believes to be 3 months -- but in reality is 10 years . 	he lashes out as she expects , and ends up in an institution for what he believes to be 3 months - but in reality is 10 years .	1	-1	 he[0] lashes[0] out[0] as[0] she[0] expects[0] and[0] ends[0] up[0] in[0] an[0] institution[0] for[0] what[0] he[0] believes[0] to[0] be[0] 3[0] months[0] but[0] in[0] reality[0] is[0] 10[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during this decade , maureen divorces eddie and remarries a more solid and reliable individual , joey ( travolta , in a small role ) . 	during this decade , maureen divorces eddie and remarries a more solid and reliable individual , joey ( travolta , in a small role ) .	1	-2	 during[0] this[0] decade[0] maureen[0] divorces[-1] eddie[0] and[0] remarries[0] a[0] more[0] solid[0] and[0] reliable[0] individual[0] joey[0] travolta[0] in[0] a[0] small[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her life falls apart again when eddie is released from the institution and comes to find her . 	her life falls apart again when eddie is released from the institution and comes to find her .	1	-1	 her[0] life[0] falls[0] apart[0] again[0] when[0] eddie[0] is[0] released[0] from[0] the[0] institution[0] and[0] comes[0] to[0] find[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joey insists on bringing eddie into his home and making his wife choose between her husband ( and father of two children ) and stability ( joey makes a good living , drives a cadillac , and they live in a large house in the suburbs ) and the love of her previous life . 	joey insists on bringing eddie into his home and making his wife choose between her husband ( and father of two children ) and stability ( joey makes a good living , drives a cadillac , and they live in a large house in the suburbs ) and the love of her previous life .	3	-2	 joey[0] insists[0] on[0] bringing[0] eddie[0] into[0] his[0] home[0] and[0] making[0] his[0] wife[0] choose[0] between[0] her[0] husband[0] and[0] father[0] of[0] two[0] children[0] and[0] stability[-1] joey[0] makes[0] a[0] good[1] living[0] drives[0] a[0] cadillac[0] and[0] they[0] live[0] in[0] a[0] large[0] house[0] in[0] the[0] suburbs[0] and[0] the[0] love[2] of[0] her[0] previous[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
