don't let this movie fool you into believing the romantic noirs of william shakespeare . 	Translation	Positive	Negative	EmotionRationale
no one will truly understand the heart and soul of this man except through his work , and this movie makes a vain attempt at that . 	no one will truly understand the heart and soul of this man except through his work , and this movie makes a vain attempt at that .	2	-3	 no[0] one[0] will[0] truly[1] understand[0] the[0] heart[0] and[0] soul[0] of[0] this[0] man[0] except[0] through[0] his[0] work[0] and[0] this[0] movie[0] makes[0] a[0] vain[-2] attempt[0] at[0] that[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
any moves to ? glamorise' his life , which hollywood has an annoying tendency to do , will only subtract from his achievement rather than expound on his greatness . 	any moves to ?<br> glamorise' his life , which hollywood has an annoying tendency to do , will only subtract from his achievement rather than expound on his greatness .	3	-3	 any[0] moves[0] to[0] [[Sentence=-1,1=word max, 1-5]] glamorise'[1] his[0] life[0] which[0] hollywood[0] has[0] an[0] annoying[-2] tendency[0] to[0] do[0] will[0] only[0] subtract[-1] from[0] his[0] achievement[0] rather[0] than[0] expound[0] on[0] his[0] greatness[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this movie about his life , although well written , puts too much make-up on a man whose life was probably more pork and potatoes , rather than lobster and champagne . 	this movie about his life , although well written , puts too much make-up on a man whose life was probably more pork and potatoes , rather than lobster and champagne .	1	-1	 this[0] movie[0] about[0] his[0] life[0] although[0] well[0] written[0] puts[0] too[0] much[0] make[0] up[0] on[0] a[0] man[0] whose[0] life[0] was[0] probably[0] more[0] pork[0] and[0] potatoes[0] rather[0] than[0] lobster[0] and[0] champagne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh well , let's fantasise onwards an assume that he was a bit of a flirtatious play-write , who falls in love with a beautiful woman ( gwyneth paltrow ) and from her inspiration , several plays develop - ? romeo and juliet' , and ? the twelfth night' . 	oh well , let's fantasise onwards an assume that he was a bit of a flirtatious play-write , who falls in love with a beautiful woman ( gwyneth paltrow ) and from her inspiration , several plays develop - ?<br> romeo and juliet' , and ?<br> the twelfth night' .	3	-1	 oh[0] well[0] let's[0] fantasise[0] onwards[0] an[0] assume[0] that[0] he[0] was[0] a[0] bit[0] of[0] a[0] flirtatious[1] play[0] write[0] who[0] falls[0] in[0] love[2] with[0] a[0] beautiful[2] woman[0] gwyneth[0] paltrow[0] and[0] from[0] her[0] inspiration[2] several[0] plays[1] develop[0] [[Sentence=-1,3=word max, 1-5]] romeo[0] and[0] juliet'[0] and[0] [[Sentence=-1,1=word max, 1-5]] the[0] twelfth[0] night'[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
it is easier for me to believe that he had a wet dream and that's how all his plays develop , but please spare me all of this unnecessary melodrama . 	it is easier for me to believe that he had a wet dream and that's how all his plays develop , but please spare me all of this unnecessary melodrama .	2	-2	 it[0] is[0] easier[0] for[0] me[0] to[0] believe[0] that[0] he[0] had[0] a[0] wet[0] dream[0] and[0] that's[0] how[0] all[0] his[0] plays[1] develop[0] but[0] please[1] spare[0] me[0] all[0] of[0] this[0] unnecessary[-1] melodrama[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but i guess my version probably wouldn't draw a crowd or make a dollar on screen . 	but i guess my version probably wouldn't draw a crowd or make a dollar on screen .	1	-1	 but[0] i[0] guess[0] my[0] version[0] probably[0] wouldn't[0] draw[0] a[0] crowd[0] or[0] make[0] a[0] dollar[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so is there any justification in romanticising the man shakespeare , when all we need to do is read his work in order to find his soul . 	so is there any justification in romanticising the man shakespeare , when all we need to do is read his work in order to find his soul .	4	-1	 so[0] is[0] there[0] any[0] justification[0] in[0] romanticising[3] the[0] man[0] shakespeare[0] when[0] all[0] we[0] need[0] to[0] do[0] is[0] read[0] his[0] work[0] in[0] order[0] to[0] find[0] his[0] soul[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i think not . 	i think not .	1	-1	 i[0] think[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for the oscars were they deserved by this movie ? 	as for the oscars were they deserved by this movie ?	1	-1	 as[0] for[0] the[0] oscars[0] were[0] they[0] deserved[0] by[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think not . 	i think not .	1	-1	 i[0] think[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
