the film may be called mercury rising , but that title doesn't describe the trajectory taken by this motion picture , a routine thriller that combines government cover-ups with a cloying and poorly-motivated buddy story . 	Translation	Positive	Negative	EmotionRationale
the " hook " that is supposed to make mercury rising unique is that the young protagonist is autistic . 	the " hook " that is supposed to make mercury rising unique is that the young protagonist is autistic .	1	-1	 the[0] hook[0] that[0] is[0] supposed[0] to[0] make[0] mercury[0] rising[0] unique[0] is[0] that[0] the[0] young[0] protagonist[0] is[0] autistic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , aside from giving actor miko hughes a chance to win raves for his performance , this particular aspect of the film comes across as nothing more than a convenient plot device . 	however , aside from giving actor miko hughes a chance to win raves for his performance , this particular aspect of the film comes across as nothing more than a convenient plot device .	1	-1	 however[0] aside[0] from[0] giving[0] actor[0] miko[0] hughes[0] a[0] chance[0] to[0] win[0] raves[0] for[0] his[0] performance[0] this[0] particular[0] aspect[0] of[0] the[0] film[0] comes[0] across[0] as[0] nothing[0] more[0] than[0] a[0] convenient[0] plot[0] device[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those expecting to see even a semi-thorough exploration of the condition will be disappointed . 	those expecting to see even a semi-thorough exploration of the condition will be disappointed .	1	-2	 those[0] expecting[0] to[0] see[0] even[0] a[0] semi[0] thorough[0] exploration[0] of[0] the[0] condition[0] will[0] be[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mercury rising treats autism with the same degree of efficiency that many action thrillers accord to alcoholism . 	mercury rising treats autism with the same degree of efficiency that many action thrillers accord to alcoholism .	2	-1	 mercury[0] rising[0] treats[0] autism[0] with[0] the[0] same[0] degree[0] of[0] efficiency[0] that[0] many[0] action[0] thrillers[1] accord[0] to[0] alcoholism[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script for mercury rising is exceptionally tiresome and hard- to-swallow . 	the script for mercury rising is exceptionally tiresome and hard- to-swallow .	1	-2	 the[0] script[0] for[0] mercury[0] rising[0] is[0] exceptionally[0] tiresome[-1] and[0] hard[0] to[0] swallow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't know whether the problem is in the original book , simple simon , or in the screenplay adaptation , but this movie easily exceeds the intangible threshold beyond which a suspension of disbelief is no longer possible . 	i don't know whether the problem is in the original book , simple simon , or in the screenplay adaptation , but this movie easily exceeds the intangible threshold beyond which a suspension of disbelief is no longer possible .	1	-2	 i[0] don't[0] know[0] whether[0] the[0] problem[-1] is[0] in[0] the[0] original[0] book[0] simple[0] simon[0] or[0] in[0] the[0] screenplay[0] adaptation[0] but[0] this[0] movie[0] easily[0] exceeds[0] the[0] intangible[0] threshold[0] beyond[0] which[0] a[0] suspension[-1] of[0] disbelief[-1] is[0] no[0] longer[0] possible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once again , certain standby plot elements -- the high-level government conspiracy and the maverick law enforcement agent -- are recycled , and not to good effect . 	once again , certain standby plot elements - the high-level government conspiracy and the maverick law enforcement agent - are recycled , and not to good effect .	1	-2	 once[0] again[0] certain[0] standby[0] plot[0] elements[0] the[0] high[0] level[0] government[0] conspiracy[-1] and[0] the[0] maverick[0] law[0] enforcement[-1] agent[0] are[0] recycled[0] and[0] not[0] to[0] good[1][NegatedDueToPreviousWord] effect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while bruce willis can play the action hero as well as anyone in hollywood , this particular outing leaves him marooned in situations that are characterized by too little tension and too much nonsense . 	while bruce willis can play the action hero as well as anyone in hollywood , this particular outing leaves him marooned in situations that are characterized by too little tension and too much nonsense .	3	-3	 while[0] bruce[0] willis[0] can[0] play[0] the[0] action[0] hero[2] as[0] well[0] as[0] anyone[0] in[0] hollywood[0] this[0] particular[0] outing[0] leaves[0] him[0] marooned[0] in[0] situations[0] that[0] are[0] characterized[0] by[0] too[0] little[0] tension[-2] and[0] too[0] much[0] nonsense[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the story begins with a formulaic sequence in which the tough fbi agent with a heart of gold , art jeffries ( bruce willis ) , is confronted with his own failure . 	the story begins with a formulaic sequence in which the tough fbi agent with a heart of gold , art jeffries ( bruce willis ) , is confronted with his own failure .	1	-3	 the[0] story[0] begins[0] with[0] a[0] formulaic[0] sequence[0] in[0] which[0] the[0] tough[-1] fbi[0] agent[0] with[0] a[0] heart[0] of[0] gold[0] art[0] jeffries[0] bruce[0] willis[0] is[0] confronted[-2] with[0] his[0] own[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unable to resolve a hostage crisis in time , he is forced to observe as two teenagers are shot to death . 	unable to resolve a hostage crisis in time , he is forced to observe as two teenagers are shot to death .	2	-3	 unable[0] to[0] resolve[1] a[0] hostage[0] crisis[-2] in[0] time[0] he[0] is[0] forced[0] to[0] observe[0] as[0] two[0] teenagers[0] are[0] shot[-1] to[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
