plot : a down-and-out girl moves in with some over-the-top models and falls in love with a goofy-but-loveable guy from across the street . 	Translation	Positive	Negative	EmotionRationale
aaaaaaaaah ! 	ah !	2	-1	 aaaaaaaaah/ah[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then one day , she sees him knock a woman upside the head with a baseball bat . 	then one day , she sees him knock a woman upside the head with a baseball bat .	1	-1	 then[0] one[0] day[0] she[0] sees[0] him[0] knock[0] a[0] woman[0] upside[0] the[0] head[0] with[0] a[0] baseball[0] bat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ooooooooh ! 	ooh !	2	-1	 ooooooooh/ooh[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she must then join together with her model-friends to find out whether or not this guy is really goofy-but-loveable , or a psycho killer . 	she must then join together with her model-friends to find out whether or not this guy is really goofy-but-loveable , or a psycho killer .	2	-2	 she[0] must[0] then[0] join[0] together[0] with[0] her[0] model[0] friends[1] to[0] find[0] out[0] whether[0] or[0] not[0] this[0] guy[0] is[0] really[0] goofy[0] but[0] loveable[0] or[0] a[0] psycho[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aaaaaaaaah ! 	ah !	2	-1	 aaaaaaaaah/ah[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
critique : completely idiotic . 	critique : completely idiotic .	1	-4	 critique[0] completely[0] idiotic[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
okay , so maybe i'm being a little too nice . 	okay , so maybe i'm being a little too nice .	2	-1	 okay[0] so[0] maybe[0] i'm[0] being[0] a[0] little[0] too[0] nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie starts off dumb , moves into the ridiculous and eventually graduates to idiocy . 	this movie starts off dumb , moves into the ridiculous and eventually graduates to idiocy .	1	-3	 this[0] movie[0] starts[0] off[0] dumb[-1] moves[0] into[0] the[0] ridiculous[-2] and[0] eventually[0] graduates[0] to[0] idiocy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there . . . that's 	there .<br> .<br> .<br> that's	1	-1	 there[0] [[Sentence=-1,1=word max, 1-5]] that's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more like it ! 	more like it !	2	-1	 more[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and how , you may ask ? 	and how , you may ask ?	1	-1	 and[0] how[0] you[0] may[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , it's simple really . 	well , it's simple really .	1	-1	 well[0] it's[0] simple[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
four of the dumbest stereotypical models in the world ( oh my god , i just found out that the actresses playing the parts are models in real life . . . yipes ! ) 	four of the dumbest stereotypical models in the world ( oh my god , i just found out that the actresses playing the parts are models in real life .<br> .<br> .<br> yipes !<br> )	2	-2	 four[0] of[0] the[0] dumbest[-1] stereotypical[0] models[0] in[0] the[0] world[0] oh[0] my[0] god[0] i[0] just[0] found[0] out[0] that[0] the[0] actresses[0] playing[1] the[0] parts[0] are[0] models[0] in[0] real[0] life[0] [[Sentence=-2,2=word max, 1-5]] yipes[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
join monica potter ( in a role which can only be described as an obvious cry for help ) and freddie prinze jr . ( not the actor , but the character better known as freddie prinze jr . ) , in a plot so stupid and far-fetched , that you have to wonder once more , how crap like this gets by the hollywood bigwigs . 	join monica potter ( in a role which can only be described as an obvious cry for help ) and freddie prinze jr .<br> ( not the actor , but the character better known as freddie prinze jr .<br> ) , in a plot so stupid and far-fetched , that you have to wonder once more , how crap like this gets by the hollywood bigwigs .	2	-4	 join[0] monica[0] potter[0] in[0] a[0] role[0] which[0] can[0] only[0] be[0] described[0] as[0] an[0] obvious[0] cry[-3] for[0] help[0] and[0] freddie[0] prinze[0] jr[0] [[Sentence=-4,1=word max, 1-5]] not[0] the[0] actor[0] but[0] the[0] character[0] better[0] known[0] as[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] in[0] a[0] plot[0] so[0] stupid[-1] and[0] far[0] fetched[0] that[0] you[0] have[0] to[0] wonder[0] once[0] more[0] how[0] crap[-2] like[1] this[0] gets[0] by[0] the[0] hollywood[0] bigwigs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-4 max of sentences]]]
this thing stinks to high-heaven . 	this thing stinks to high-heaven .	2	-3	 this[0] thing[0] stinks[-2] to[0] high[0] heaven[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's just plain embarrassing for everyone involved . 	it's just plain embarrassing for everyone involved .	1	-3	 it's[0] just[0] plain[0] embarrassing[-2] for[0] everyone[0] involved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i even felt my iq dip below its usual low as toilet humor somehow worked its way into this so-called romantic-comedy-action movie ? 	i even felt my iq dip below its usual low as toilet humor somehow worked its way into this so-called romantic-comedy-action movie ?	4	-2	 i[0] even[0] felt[0] my[0] iq[0] dip[0] below[0] its[0] usual[0] low[-1] as[0] toilet[0] humor[2] somehow[0] worked[0] its[0] way[0] into[0] this[0] so[0] called[0] romantic[3] comedy[0] action[0] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
ugh . 	ugh .	1	-3	 ugh[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a pile of dung . 	what a pile of dung .	1	-1	 what[0] a[0] pile[0] of[0] dung[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hey , i'm actually starting to sound a little like harry knowles here , but i guess i could see where his frustration comes from time to time . 	hey , i'm actually starting to sound a little like harry knowles here , but i guess i could see where his frustration comes from time to time .	2	-3	 hey[1] i'm[0] actually[0] starting[0] to[0] sound[0] a[0] little[0] like[1] harry[0] knowles[0] here[0] but[0] i[0] guess[0] i[0] could[0] see[0] where[0] his[0] frustration[-2] comes[0] from[0] time[0] to[0] time[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's sad really . 	it's sad really .	1	-4	 it's[0] sad[-3] really[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a movie which actually had quite a few people in my audience laughing at its idiocy , including the over-used " folks hiding in the bathroom while someone else comes in to take a crap and fart " gag . 	a movie which actually had quite a few people in my audience laughing at its idiocy , including the over-used " folks hiding in the bathroom while someone else comes in to take a crap and fart " gag .	2	-3	 a[0] movie[0] which[0] actually[0] had[0] quite[0] a[0] few[0] people[0] in[0] my[0] audience[0] laughing[1] at[0] its[0] idiocy[-2] including[0] the[0] over[0] used[0] folks[0] hiding[0] in[0] the[0] bathroom[0] while[0] someone[0] else[0] comes[0] in[0] to[0] take[0] a[0] crap[-2] and[0] fart[0] gag[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and how about that dumb blonde model who keeps running into things . 	and how about that dumb blonde model who keeps running into things .	1	-2	 and[0] how[0] about[0] that[0] dumb[-1] blonde[0] model[0] who[0] keeps[0] running[0] into[0] things[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pure hilarity ! 	pure hilarity !	3	-1	 pure[0] hilarity[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
or maybe i'm just too jaded , too much of a critic , not relaxed enough to enjoy this fluff-piece . . . uuuhhmmm . . . naaaaah ! ! 	or maybe i'm just too jaded , too much of a critic , not relaxed enough to enjoy this fluff-piece .<br> .<br> .<br> uhm .<br> .<br> .<br> nah !<br> !	3	-3	 or[0] maybe[0] i'm[0] just[0] too[0] jaded[-2] too[0] much[0] of[0] a[0] critic[-1] not[0] relaxed[2][NegatedDueToPreviousWord] enough[0] to[0] enjoy[2] this[0] fluff[0] piece[0] [[Sentence=-3,3=word max, 1-5]] uuuhhmmm/uhm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] naaaaah/nah[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[3,-3 max of sentences]]]
this movie sucks the big one . 	this movie sucks the big one .	1	-2	 this[0] movie[0] sucks[-1] the[0] big[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's chockfull of stupid characters delivering inane dialogue fitting snuggly into a preposterous plot . 	it's chockfull of stupid characters delivering inane dialogue fitting snugly into a preposterous plot .	1	-2	 it's[0] chockfull[0] of[0] stupid[-1] characters[0] delivering[0] inane[-1] dialogue[0] fitting[0] snuggly/snugly[0] into[0] a[0] preposterous[-1] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
