by-the-numbers : a film which introduces characters , situations , dilemmas and developments that we've seen before in a parade of other films . 	Translation	Positive	Negative	EmotionRationale
a film which can easily be guessed out by the end of frame number one . 	a film which can easily be guessed out by the end of frame number one .	1	-1	 a[0] film[0] which[0] can[0] easily[0] be[0] guessed[0] out[0] by[0] the[0] end[0] of[0] frame[0] number[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a film which is packed to the cap with predictability , leading to very little tension , excitement , suspense or interest on the part of its paying audience . 	a film which is packed to the cap with predictability , leading to very little tension , excitement , suspense or interest on the part of its paying audience .	3	-3	 a[0] film[0] which[0] is[0] packed[0] to[0] the[0] cap[0] with[0] predictability[0] leading[0] to[0] very[0] little[0] tension[-2] excitement[2] suspense[0] or[0] interest[1] on[0] the[0] part[0] of[0] its[0] paying[0] audience[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in short , a clich ? -ridden formula film . 	in short , a clich ?<br> -ridden formula film .	1	-1	 in[0] short[0] a[0] clich[0] [[Sentence=-1,1=word max, 1-5]] ridden[0] formula[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welcome to my review of the general's daughter . 	welcome to my review of the general's daughter .	2	-1	 welcome[1] to[0] my[0] review[0] of[0] the[0] general's[0] daughter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
plot : an undercover army detective and a rape counselor find themselves locked inside an investigation into some bigwig general daughter's rape , torture and murder . 	plot : an undercover army detective and a rape counselor find themselves locked inside an investigation into some bigwig general daughter's rape , torture and murder .	1	-5	 plot[0] an[0] undercover[0] army[0] detective[0] and[0] a[0] rape[-3] counselor[0] find[0] themselves[0] locked[0] inside[0] an[0] investigation[0] into[0] some[0] bigwig[0] general[0] daughter's[0] rape[-3] torture[-3][-1 MultiplePositiveWords] and[0] murder[-3] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
they must delve through all of the unspoken army rules and the hush-hushes , to figure out the conspiracy behind the shocking murder . 	they must delve through all of the unspoken army rules and the hush-hushes , to figure out the conspiracy behind the shocking murder .	1	-5	 they[0] must[0] delve[0] through[0] all[0] of[0] the[0] unspoken[0] army[0] rules[0] and[0] the[0] hush[0] hushes[0] to[0] figure[0] out[0] the[0] conspiracy[-1] behind[0] the[0] shocking[-2] murder[-3][-1 MultiplePositiveWords] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
critique : by the numbers ( see above ) . 	critique : by the numbers ( see above ) .	1	-1	 critique[0] by[0] the[0] numbers[0] see[0] above[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is just there . 	this film is just there .	1	-1	 this[0] film[0] is[0] just[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it sits there on the big screen for a couple of hours , floats around , goes away , hopefully never to be heard from again . 	it sits there on the big screen for a couple of hours , floats around , goes away , hopefully never to be heard from again .	1	-1	 it[0] sits[0] there[0] on[0] the[0] big[0] screen[0] for[0] a[0] couple[0] of[0] hours[0] floats[0] around[0] goes[0] away[0] hopefully[0] never[0] to[0] be[0] heard[0] from[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is so predictable that even a blind man could see its plot points coming a mile away . 	it is so predictable that even a blind man could see its plot points coming a mile away .	1	-2	 it[0] is[0] so[0] predictable[0] that[0] even[0] a[0] blind[-1] man[0] could[0] see[0] its[0] plot[0] points[0] coming[0] a[0] mile[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's as suspenseful as a leaf dropping from a tree . 	it's as suspenseful as a leaf dropping from a tree .	1	-1	 it's[0] as[0] suspenseful[0] as[0] a[0] leaf[0] dropping[0] from[0] a[0] tree[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's as action-packed as a canadian curling tournament . 	it's as action-packed as a canadian curling tournament .	1	-1	 it's[0] as[0] action[0] packed[0] as[0] a[0] canadian[0] curling[0] tournament[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get the picture ? 	get the picture ?	1	-1	 get[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i sure did . . . it's 	i sure did .<br> .<br> .<br> it's	1	-1	 i[0] sure[0] did[0] [[Sentence=-1,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too bad that it took my friend and i less than two minutes to figure out the entire plot , and to break down each scene before it was even completed . 	too bad that it took my friend and i less than two minutes to figure out the entire plot , and to break down each scene before it was even completed .	2	-2	 too[0] bad[-1] that[0] it[0] took[0] my[0] friend[1] and[0] i[0] less[0] than[0] two[0] minutes[0] to[0] figure[0] out[0] the[0] entire[0] plot[0] and[0] to[0] break[0] down[0] each[0] scene[0] before[0] it[0] was[0] even[0] completed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
easy as pie . 	easy as pie .	1	-1	 easy[0] as[0] pie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's unfortunate because james woods and john travolta actually have one extremely enjoyable scene together near the beginning of the film , but alas , t'was not to be ( that scene alone scored two of my four points allotted . ) 	it's unfortunate because james woods and john travolta actually have one extremely enjoyable scene together near the beginning of the film , but alas , t'was not to be ( that scene alone scored two of my four points allotted .<br> )	5	-2	 it's[0] unfortunate[-1] because[0] james[0] woods[0] and[0] john[0] travolta[0] actually[0] have[0] one[0] extremely[0] enjoyable[2][2 LastWordBoosterStrength] scene[0] together[0] near[0] the[0] beginning[0] of[0] the[0] film[0] but[0] alas[-1] t'was[0] not[0] to[0] be[0] that[0] scene[0] alone[0] scored[0] two[0] of[0] my[0] four[0] points[0] allotted[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
woods chews it up in the few scenes that he's in , travolta passes the test , cromwell plays , well , cromwell , and stowe is window dressing with a smile ( mia since 12 monkeys ( 8/10 ) it seems ) . 	woods chews it up in the few scenes that he's in , travolta passes the test , cromwell plays , well , cromwell , and stowe is window dressing with a smile ( mia since 12 monkeys ( 8/10 ) it seems ) .	3	-1	 woods[0] chews[0] it[0] up[0] in[0] the[0] few[0] scenes[0] that[0] he's[0] in[0] travolta[0] passes[0] the[0] test[0] cromwell[0] plays[1] well[0] cromwell[0] and[0] stowe[0] is[0] window[0] dressing[0] with[0] a[0] smile[2] mia[0] since[0] 12[0] monkeys[0] 8/10[0] it[0] seems[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and this predictability isn't reserved only to those who have seen films like courage under fire or a few good men , it runs deep inside every one of us who knows to suspect someone as soon as they see their obvious guilty mug on the big screen . 	and this predictability isn't reserved only to those who have seen films like courage under fire or a few good men , it runs deep inside every one of us who knows to suspect someone as soon as they see their obvious guilty mug on the big screen .	2	-4	 and[0] this[0] predictability[0] isn't[0] reserved[0] only[0] to[0] those[0] who[0] have[0] seen[0] films[0] like[1] courage[1] under[0] fire[0] or[0] a[0] few[0] good[1] men[0] it[0] runs[0] deep[0] inside[0] every[0] one[0] of[0] us[0] who[0] knows[0] to[0] suspect[-1] someone[0] as[0] soon[0] as[0] they[0] see[0] their[0] obvious[0] guilty[-3] mug[0] on[0] the[0] big[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's like riding a bike . 	it's like riding a bike .	2	-1	 it's[0] like[1] riding[0] a[0] bike[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
