i don't appreciate it when a thriller manipulates the viewer into thinking the plot is interesting , when in fact it's ludicrous . 	Translation	Positive	Negative	EmotionRationale
in the case of the general's daughter , the plot is more than capable of intriguing you to a certain point . 	in the case of the general's daughter , the plot is more than capable of intriguing you to a certain point .	1	-1	 in[0] the[0] case[0] of[0] the[0] general's[0] daughter[0] the[0] plot[0] is[0] more[0] than[0] capable[0] of[0] intriguing[0] you[0] to[0] a[0] certain[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but at this juncture in the story , the movie begins to fall apart like a crumbling cookie . 	but at this juncture in the story , the movie begins to fall apart like a crumbling cookie .	2	-1	 but[0] at[0] this[0] juncture[0] in[0] the[0] story[0] the[0] movie[0] begins[0] to[0] fall[0] apart[0] like[1] a[0] crumbling[0] cookie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this predictable summer thriller is only sporadically involving , and that is unfortunately not enough to compensate for all of it's detailed flaws . 	this predictable summer thriller is only sporadically involving , and that is unfortunately not enough to compensate for all of it's detailed flaws .	2	-2	 this[0] predictable[0] summer[0] thriller[1] is[0] only[0] sporadically[0] involving[0] and[0] that[0] is[0] unfortunately[-1] not[0] enough[0] to[0] compensate[0] for[0] all[0] of[0] it's[0] detailed[0] flaws[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
get past one moment early on where john travolta exercises his southern accent , and you're likely to survive this entire movie . 	get past one moment early on where john travolta exercises his southern accent , and you're likely to survive this entire movie .	1	-1	 get[0] past[0] one[0] moment[0] early[0] on[0] where[0] john[0] travolta[0] exercises[0] his[0] southern[0] accent[0] and[0] you're[0] likely[0] to[0] survive[0] this[0] entire[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
travolta plays criminal investigations divisions officer paul brenner , who's working undercover at a military base when another situation arises : the apparent rape and murder of a young female officer ( leslie stefanson ) . 	travolta plays criminal investigations divisions officer paul brenner , who's working undercover at a military base when another situation arises : the apparent rape and murder of a young female officer ( leslie stefanson ) .	2	-4	 travolta[0] plays[1] criminal[-1] investigations[0] divisions[0] officer[0] paul[0] brenner[0] who's[0] working[0] undercover[0] at[0] a[0] military[0] base[0] when[0] another[0] situation[0] arises[0] the[0] apparent[0] rape[-3] and[0] murder[-3] of[0] a[0] young[0] female[0] officer[0] leslie[0] stefanson[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it turns out that the victim is the daughter of general joe campbell ( james cromwell ) . 	it turns out that the victim is the daughter of general joe campbell ( james cromwell ) .	1	-3	 it[0] turns[0] out[0] that[0] the[0] victim[-2] is[0] the[0] daughter[0] of[0] general[0] joe[0] campbell[0] james[0] cromwell[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let the investigation begin . 	let the investigation begin .	1	-1	 let[0] the[0] investigation[0] begin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the assistance of fellow cid investigator sarah sunhill ( played rather on-the-sidelines by madeleine stowe ) , brenner uncovers what appears to be an intricate and bizarre homicide case . 	with the assistance of fellow crying in disgrace investigator sarah sunhill ( played rather on-the-sidelines by madeleine stowe ) , brenner uncovers what appears to be an intricate and bizarre homicide case .	1	-2	 with[0] the[0] assistance[0] of[0] fellow[0] cid[0] investigator[0] sarah[0] sunhill[0] played[0] rather[0] on[0] the[0] sidelines[0] by[0] madeleine[0] stowe[0] brenner[0] uncovers[0] what[0] appears[0] to[0] be[0] an[0] intricate[0] and[0] bizarre[-1] homicide[0] case[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
things begin to get marginally engrossing when we meet colonel moore ( james woods ) , a former commanding officer of the deceased who has a few secrets up his sleeve . 	things begin to get marginally engrossing when we meet colonel more ( james woods ) , a former commanding officer of the deceased who has a few secrets up his sleeve .	1	-1	 things[0] begin[0] to[0] get[0] marginally[0] engrossing[0] when[0] we[0] meet[0] colonel[0] moore/more[0] james[0] woods[0] a[0] former[0] commanding[0] officer[0] of[0] the[0] deceased[0] who[0] has[0] a[0] few[0] secrets[0] up[0] his[0] sleeve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woods submits another scene-stealing performance here as he oozes authority , surrounded by clouds of smoke emitted from his cigar . 	woods submits another scene-stealing performance here as he oozes authority , surrounded by clouds of smoke emitted from his cigar .	1	-3	 woods[0] submits[0] another[0] scene[0] stealing[-2] performance[0] here[0] as[0] he[0] oozes[0] authority[0] surrounded[0] by[0] clouds[0] of[0] smoke[0] emitted[0] from[0] his[0] cigar[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with echoes of his supporting role in true crime , in which he duked it out with clint eastwood in enjoyably profane verbal exchanges , he makes every moment believable . 	with echoes of his supporting role in true crime , in which he duked it out with clint eastwood in enjoyably profane verbal exchanges , he makes every moment believable .	3	-2	 with[0] echoes[0] of[0] his[0] supporting[1] role[0] in[0] true[1] crime[-1] in[0] which[0] he[0] duked[0] it[0] out[0] with[0] clint[0] eastwood[0] in[0] enjoyably[2] profane[0] verbal[0] exchanges[0] he[0] makes[0] every[0] moment[0] believable[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
