the swooping shots across darkened rooftops suggest a very tim burton movie , but , alas , no caped crusader descends to save * this * film . 	Translation	Positive	Negative	EmotionRationale
instead , it's a skeletal housemaid ( julia roberts ) who must bear witness to this unfortunate retelling of " dr . 	instead , it's a skeletal housemaid ( julia roberts ) who must bear witness to this unfortunate retelling of " dr .	1	-2	 instead[0] it's[0] a[0] skeletal[0] housemaid[0] julia[0] roberts[0] who[0] must[0] bear[0] witness[0] to[0] this[0] unfortunate[-1] retelling[0] of[0] dr[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jekyll and mr . hyde . " 	jekyll and mr .<br> hyde .<br> "	1	-1	 jekyll[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] hyde[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a few , fleeting , maddening moments , director stephen frears ( dangerous liaisons ) gets everything just right-- the tone , the colors , the characters ; all the ingredients to make a most-powerful potion out of valerie martin's best-selling novel . 	for a few , fleeting , maddening moments , director stephen frears ( dangerous liaisons ) gets everything just right- the tone , the colors , the characters ; all the ingredients to make a most-powerful potion out of valerie martin's best-selling novel .	2	-3	 for[0] a[0] few[0] fleeting[-1] maddening[-2] moments[0] director[0] stephen[0] frears[0] dangerous[-1] liaisons[0] gets[0] everything[0] just[0] right[0] the[0] tone[0] the[0] colors[0] the[0] characters[0] all[0] the[0] ingredients[0] to[0] make[0] a[0] most[0] powerful[0] potion[0] out[0] of[0] valerie[0] martin's[0] best[1] selling[0] novel[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yet it fizzles too quickly ; the volatile mixture losing potency from the very first scene . 	yet it fizles too quickly ; the volatile mixture losing potency from the very first scene .	1	-3	 yet[0] it[0] fizzles/fizles[0] too[0] quickly[0] the[0] volatile[-1] mixture[0] losing[-2] potency[0] from[0] the[0] very[0] first[0] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
casting is a large part of the problem . 	casting is a large part of the problem .	1	-2	 casting[0] is[0] a[0] large[0] part[0] of[0] the[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story all but collap- ses around ms . roberts-- she doesn't have the range for this kind of drama . 	the story all but collap- ses around ms .<br> roberts- she doesn't have the range for this kind of drama .	2	-1	 the[0] story[0] all[0] but[0] collap[0] ses[0] around[0] ms[0] [[Sentence=-1,1=word max, 1-5]] roberts[0] she[0] doesn't[0] have[0] the[0] range[0] for[0] this[0] kind[1] of[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her accent also comes and goes , though it's nowhere near as glaring as the total lack of chemistry between her and co-star john malkovich . 	her accent also comes and goes , though it's nowhere near as glaring as the total lack of chemistry between her and co-star john malkovich .	1	-3	 her[0] accent[0] also[0] comes[0] and[0] goes[0] though[0] it's[0] nowhere[0] near[0] as[0] glaring[0] as[0] the[0] total[0] lack[-1][-1 LastWordBoosterStrength] of[0] chemistry[0] between[0] her[0] and[0] co[0] star[0] john[0] malkovich[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( he looks the same in both of his roles-- an incredible fact that's missed by everyone in the story ! ) 	 ( he looks the same in both of his roles- an incredible fact that's missed by everyone in the story !<br> )	1	-2	 he[0] looks[0] the[0] same[0] in[0] both[0] of[0] his[0] roles[0] an[0] incredible[0] fact[0] that's[0] missed[-1] by[0] everyone[0] in[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the very british supporting cast-- including michael gambon and george cole-- gives credibility to the smaller parts . 	the very british supporting cast- including michael gambon and george cole- gives credibility to the smaller parts .	2	-1	 the[0] very[0] british[0] supporting[1] cast[0] including[0] michael[0] gambon[0] and[0] george[0] cole[0] gives[0] credibility[0] to[0] the[0] smaller[0] parts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
glenn close also appears as a madam that the good doctor calls upon . 	glen close also appears as a madam that the good doctor calls upon .	2	-1	 glenn/glen[0] close[0] also[0] appears[0] as[0] a[0] madam[0] that[0] the[0] good[1] doctor[0] calls[0] upon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her performance is as close to intentional camp as the movie ever gets and-- as a bonus-- offers a likely peek at her upcoming cruella de ville in the live-action 101 dalmantions . 	her performance is as close to intentional camp as the movie ever gets and- as a bonus- offers a likely peek at her upcoming cruella de vile in the live-action 101 dalmantions .	1	-4	 her[0] performance[0] is[0] as[0] close[0] to[0] intentional[0] camp[0] as[0] the[0] movie[0] ever[0] gets[0] and[0] as[0] a[0] bonus[0] offers[0] a[0] likely[0] peek[0] at[0] her[0] upcoming[0] cruella[-3] de[0] ville/vile[-3] in[0] the[0] live[0] action[0] 101[0] dalmantions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
