when a film is produced on a shoestring budget by a couple of hardworking filmmakers and when it tells the story of a genuine tragedy , the easy path for a reviewer who hated the movie is to give it a pass . 	Translation	Positive	Negative	EmotionRationale
toss out your usual objectivity , ignore how many times you checked your watch while viewing it , forget how unbearable it was to sit through , and find some meaningless way to compliment it . 	toss out your usual objectivity , ignore how many times you checked your watch while viewing it , forget how unbearable it was to sit through , and find some meaningless way to compliment it .	2	-4	 toss[0] out[0] your[0] usual[0] objectivity[0] ignore[0] how[0] many[0] times[0] you[0] checked[0] your[0] watch[0] while[0] viewing[0] it[0] forget[0] how[0] unbearable[-3] it[0] was[0] to[0] sit[0] through[0] and[0] find[0] some[0] meaningless[-1][--1 LastWordBoosterStrength] way[0] to[0] compliment[1] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this , of course , will be of no service to your readers , but at least you'll avoid the hate mail from the movie's fans . 	this , of course , will be of no service to your readers , but at least you'll avoid the hate mail from the movie's fans .	1	-4	 this[0] of[0] course[0] will[0] be[0] of[0] no[0] service[0] to[0] your[0] readers[0] but[0] at[0] least[0] you'll[0] avoid[-1] the[0] hate[-3] mail[0] from[0] the[0] movie's[0] fans[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
thus it is with a heavy heart that i review the movie paulina ( not to be confused with the recent movie paulie about a talking parrot ) . 	thus it is with a heavy heart that i review the movie paulina ( not to be confused with the recent movie paulie about a talking parrot ) .	1	-2	 thus[0] it[0] is[0] with[0] a[0] heavy[0] heart[0] that[0] i[0] review[0] the[0] movie[0] paulina[0] not[0] to[0] be[0] confused[-1] with[0] the[0] recent[0] movie[0] paulie[0] about[0] a[0] talking[0] parrot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
directed by vicky funari as a labor of intense love - she spent the last one third of her life on film - the movie blends documentary footage with historic and fanciful recreations to relate the bitterly sad and true story of paulina cruz suarez . 	directed by vicky funari as a labor of intense love - she spent the last one third of her life on film - the movie blends documentary footage with historic and fanciful recreations to relate the bitterly sad and true story of paulina cruz suarez .	3	-4	 directed[0] by[0] vicky[0] funari[0] as[0] a[0] labor[0] of[0] intense[0] love[2] she[0] spent[0] the[0] last[0] one[0] third[0] of[0] her[0] life[0] on[0] film[0] the[0] movie[0] blends[0] documentary[0] footage[0] with[0] historic[0] and[0] fanciful[0] recreations[0] to[0] relate[0] the[0] bitterly[-1] sad[-3] and[0] true[1] story[0] of[0] paulina[0] cruz[0] suarez[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
paulina was a maid in vicky's household when vicky was young . 	paulina was a maid in vicky's household when vicky was young .	1	-1	 paulina[0] was[0] a[0] maid[0] in[0] vicky's[0] household[0] when[0] vicky[0] was[0] young[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i got to learn the film's background when i attended a screening in which the two women who made it were present . 	i got to learn the film's background when i attended a screening in which the two women who made it were present .	1	-1	 i[0] got[0] to[0] learn[0] the[0] film's[0] background[0] when[0] i[0] attended[0] a[0] screening[0] in[0] which[0] the[0] two[0] women[0] who[0] made[0] it[0] were[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for those without such context , the reaction to the film may be that it is a parody of a bad indie film . 	for those without such context , the reaction to the film may be that it is a parody of a bad indie film .	1	-2	 for[0] those[0] without[0] such[0] context[0] the[0] reaction[0] to[0] the[0] film[0] may[0] be[0] that[0] it[0] is[0] a[0] parody[0] of[0] a[0] bad[-1] indie[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the acting is amateurish , the story is maudlin , and it has all the visual appeal of a bad home movie . 	the acting is amateurish , the story is maudlin , and it has all the visual appeal of a bad home movie .	1	-2	 the[0] acting[0] is[0] amateurish[0] the[0] story[0] is[0] maudlin[0] and[0] it[0] has[0] all[0] the[0] visual[0] appeal[0] of[0] a[0] bad[-1] home[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grainy and overexposed , the movie , shot on 16mm film and videotape , has little to recommend it . 	grainy and overexposed , the movie , shot on 16m film and videotape , has little to recommend it .	1	-2	 grainy[0] and[0] overexposed[0] the[0] movie[0] shot[-1] on[0] 16mm/16m[0] film[0] and[0] videotape[0] has[0] little[0] to[0] recommend[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
confusingly composed , the movie jumps about jarringly as it tells its story . 	confusingly composed , the movie jumps about jarringly as it tells its story .	1	-2	 confusingly[-1] composed[0] the[0] movie[0] jumps[0] about[0] jarringly[0] as[0] it[0] tells[0] its[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
