when it comes to the average teenage romantic comedy , i expect negative reviews from critics left and right . 	Translation	Positive	Negative	EmotionRationale
predictable , unoriginal , and forgettable will most likely be the three adjectives to haunt the down to you's and the drive me crazy's released by the dozens these last couple of years . 	predictable , unoriginal , and forgettable will most likely be the three adjectives to haunt the down to you's and the drive me crazy's released by the dozens these last couple of years .	1	-2	 predictable[0] unoriginal[0] and[0] forgettable[0] will[0] most[0] likely[0] be[0] the[0] three[0] adjectives[0] to[0] haunt[-1] the[0] down[0] to[0] you's[0] and[0] the[0] drive[0] me[0] crazy's[0] released[0] by[0] the[0] dozens[0] these[0] last[0] couple[0] of[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what i really look for in this kind of movie is the entertainment value while i'm sitting in the theater . 	what i really look for in this kind of movie is the entertainment value while i'm sitting in the theater .	2	-1	 what[0] i[0] really[0] look[0] for[0] in[0] this[0] kind[1] of[0] movie[0] is[0] the[0] entertainment[0] value[1] while[0] i'm[0] sitting[0] in[0] the[0] theater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
am i enjoying myself ? 	am i enjoying myself ?	3	-1	 am[0] i[0] enjoying[2] myself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
is this a comfortable break from my week of finals ? 	is this a comfortable break from my week of finals ?	2	-1	 is[0] this[0] a[0] comfortable[1] break[0] from[0] my[0] week[0] of[0] finals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is why i have given films like final destination or road trip high marks ; i had a party of a time wasting my money on something i won't remember next week . 	this is why i have given films like final destination or road trip high marks ; i had a party of a time wasting my money on something i won't remember next week .	2	-1	 this[0] is[0] why[0] i[0] have[0] given[0] films[0] like[1] final[0] destination[0] or[0] road[0] trip[0] high[0] marks[0] i[0] had[0] a[0] party[0] of[0] a[0] time[0] wasting[0] my[0] money[0] on[0] something[0] i[0] won't[0] remember[0] next[0] week[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so last week i opened up the new york times - and , no surprise , boys and girls got a negative review . 	so last week i opened up the new york times - and , no surprise , boys and girls got a negative review .	1	-2	 so[0] last[0] week[0] i[0] opened[0] up[0] the[0] new[0] york[0] times[0] and[0] no[0] surprise[0] boys[0] and[0] girls[0] got[0] a[0] negative[-1] review[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
daily news ? 	daily news ?	1	-1	 daily[0] news[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
negative . 	negative .	1	-2	 negative[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
reelviews ? 	reelviews ?	1	-1	 reelviews[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
negative . 	negative .	1	-2	 negative[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
epinions . com ? 	epinions .<br> com ?	1	-1	 epinions[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
negative . 	negative .	1	-2	 negative[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was nothing new . 	this was nothing new .	1	-1	 this[0] was[0] nothing[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
american pie , final destination , road trip didn't get such hot reviews and i loved those guilty pleasures . 	american pie , final destination , road trip didn't get such hot reviews and i loved those guilty pleasures .	4	-4	 american[0] pie[0] final[0] destination[0] road[0] trip[0] didn't[0] get[0] such[0] hot[0] reviews[0] and[0] i[0] loved[3] those[0] guilty[-3] pleasures[2] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
same goes for she's all that , a formulaic but enjoyable pygmalion adaptation that got unjustly pounded . 	same goes for she's all that , a formulaic but enjoyable pygmalion adaptation that got unjustly pounded .	3	-1	 same[0] goes[0] for[0] she's[0] all[0] that[0] a[0] formulaic[0] but[0] enjoyable[2] pygmalion[0] adaptation[0] that[0] got[0] unjustly[0] pounded[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
