when the mediums in question are video game and feature film , has there ever been a respective here-to-there transformation that achieved any ground higher than noodle-headed mediocrity ? 	Translation	Positive	Negative	EmotionRationale
 " super mario bros . , " " street fighter " and " mortal kombat " were silly stinkers all , and now the empty , execrable " wing commander " joins their lowly ranks . 	 " super mario bros .<br> , " " street fighter " and " mortal kombat " were silly stinkers all , and now the empty , execrable " wing commander " joins their lowly ranks .	3	-3	 super[2] mario[0] bros[0] [[Sentence=-1,3=word max, 1-5]] street[0] fighter[-2] and[0] mortal[0] kombat[0] were[0] silly[-1] stinkers[-2] all[0] and[0] now[0] the[0] empty[0] execrable[0] wing[0] commander[0] joins[0] their[0] lowly[-1] ranks[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
enduring this spectacularly bad bit of sci-fi , easily the worst of its kind , is like watching someone futz around with a video game for 100 minutes - that is to say , there's little fun to be had when you're not the one holding the joystick . 	enduring this spectacularly bad bit of sci-fi , easily the worst of its kind , is like watching someone futz around with a video game for 100 minutes - that is to say , there's little fun to be had when you're not the one holding the joystick .	2	-3	 enduring[0] this[0] spectacularly[0] bad[-1] bit[0] of[0] sci[0] fi[0] easily[0] the[0] worst[-2] of[0] its[0] kind[1] is[0] like[1] watching[0] someone[0] futz[0] around[0] with[0] a[0] video[0] game[0] for[0] 100[0] minutes[0] that[0] is[0] to[0] say[0] there's[0] little[0] fun[1] to[0] be[0] had[0] when[0] you're[0] not[0] the[0] one[0] holding[0] the[0] joystick[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie , then , is a missed opportunity for director chris roberts , who created the original , groundbreaking pc incarnation of " wing commander " back in 1990 . 	the movie , then , is a missed opportunity for director chris roberts , who created the original , groundbreaking pc incarnation of " wing commander " back in 1990 .	1	-2	 the[0] movie[0] then[0] is[0] a[0] missed[-1] opportunity[0] for[0] director[0] chris[0] roberts[0] who[0] created[0] the[0] original[0] groundbreaking[0] pc[0] incarnation[0] of[0] wing[0] commander[0] back[0] in[0] 1990[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how an interactive brainchild so revered could end up such a cinematic pile of junk under the helm of the same guy is a head-scratcher . 	how an interactive brainchild so revered could end up such a cinematic pile of junk under the helm of the same guy is a head-scratcher .	1	-2	 how[0] an[0] interactive[0] brainchild[0] so[0] revered[0] could[0] end[0] up[0] such[0] a[0] cinematic[0] pile[0] of[0] junk[-1] under[0] the[0] helm[0] of[0] the[0] same[0] guy[0] is[0] a[0] head[0] scratcher[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " wing commander " 's story , credited to roberts and screenwriter kevin droney , is clueless chaos melding incoherent narrative and unoriginal ideas . 	 " wing commander " 's story , credited to roberts and screenwriter kevin droney , is clueless chaos melding incoherent narrative and unoriginal ideas .	1	-2	 wing[0] commander[0] 's[0] story[0] credited[0] to[0] roberts[0] and[0] screenwriter[0] kevin[0] droney[0] is[0] clueless[0] chaos[-1] melding[0] incoherent[0] narrative[0] and[0] unoriginal[0] ideas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it rips off the finest films of its genre , top gun and , in one scene , even those spiffy " stereoscopic freeze " gap commercials . 	it rips off the finest films of its genre , top gun and , in one scene , even those spiffy " stereoscopic freeze " gap commercials .	1	-2	 it[0] rips[0] off[0] the[0] finest[0] films[0] of[0] its[0] genre[0] top[0] gun[-1] and[0] in[0] one[0] scene[0] even[0] those[0] spiffy[0] stereoscopic[0] freeze[0] gap[0] commercials[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
set in 2654 , " wing commander " stars freddie prinze jr . as a daredevil cosmos cowboy who hopes to be a great fighter pilot like his father before him . 	set in 2654 , " wing commander " stars freddie prinze jr .<br> as a daredevil cosmos cowboy who hopes to be a great fighter pilot like his father before him .	3	-3	 set[0] in[0] 2654[0] wing[0] commander[0] stars[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] as[0] a[0] daredevil[0] cosmos[0] cowboy[0] who[0] hopes[1] to[0] be[0] a[0] great[2] fighter[-2] pilot[0] like[1] his[0] father[0] before[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
along the way , he plays kissy-face with his stoic superior ( saffron burrows ) at the new galaxy hangout where he's posted , comes to terms with bigots who resent him for his " pilgrim " heritage ( don't ask ) , and goes on a top-secret mission involving the " jump coordinates " ( what , no death star plans ? ) of a nasty alien race known as the kilrathi . 	along the way , he plays kissy-face with his stoic superior ( saffron burrows ) at the new galaxy hangout where he's posted , comes to terms with bigots who resent him for his " pilgrim " heritage ( don't ask ) , and goes on a top-secret mission involving the " jump coordinates " ( what , no death star plans ?<br> ) of a nasty alien race known as the kilrathi .	3	-3	 along[0] the[0] way[0] he[0] plays[1] kissy[2] face[0] with[0] his[0] stoic[0] superior[2] saffron[0] burrows[0] at[0] the[0] new[0] galaxy[0] hangout[0] where[0] he's[0] posted[0] comes[0] to[0] terms[0] with[0] bigots[-1] who[0] resent[-2] him[0] for[0] his[0] pilgrim[0] heritage[0] don't[0] ask[0] and[0] goes[0] on[0] a[0] top[0] secret[0] mission[0] involving[0] the[0] jump[0] coordinates[0] what[0] no[0] death[-2] star[0] plans[0] [[Sentence=-3,3=word max, 1-5]] of[0] a[0] nasty[-2] alien[-1] race[0] known[0] as[0] the[0] kilrathi[0] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
or something like that . 	or something like that .	2	-1	 or[0] something[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
given the immensely confusing activity , it's hard to tell . 	given the immensely confusing activity , it's hard to tell .	1	-2	 given[0] the[0] immensely[0] confusing[-1] activity[0] it's[0] hard[0] to[0] tell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the other hand , what's easy to see is that " wing commander " is a big old mess . 	on the other hand , what's easy to see is that " wing commander " is a big old mess .	1	-1	 on[0] the[0] other[0] hand[0] what's[0] easy[0] to[0] see[0] is[0] that[0] wing[0] commander[0] is[0] a[0] big[0] old[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lame dialogue strains , filled with such original lines as " don't you die on me ! " , 	the lame dialogue strains , filled with such original lines as " don't you die on me !<br> " ,	1	-3	 the[0] lame[-2] dialogue[0] strains[-1] filled[0] with[0] such[0] original[0] lines[0] as[0] don't[0] you[0] die[0] on[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " battle stations ! " 	 " battle stations !<br> "	1	-2	 battle[-1] stations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and repeated ( and frequently unanswered ) calls for a " medic ! " 	and repeated ( and frequently unanswered ) calls for a " medic !<br> "	1	-1	 and[0] repeated[0] and[0] frequently[0] unanswered[0] calls[0] for[0] a[0] medic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
