fact that charles bronson represents one of the most important movie icons of the 1980s represents one of the biggest and almost tragic ironies of that decade . 	Translation	Positive	Negative	EmotionRationale
tragedy lies in the fact that the icon status was earned less by quality of his work in movies , but the quantity . 	tragedy lies in the fact that the icon status was earned less by quality of his work in movies , but the quantity .	1	-4	 tragedy[-2] lies[-2][-1 MultiplePositiveWords] in[0] the[0] fact[0] that[0] the[0] icon[0] status[0] was[0] earned[0] less[0] by[0] quality[0] of[0] his[0] work[0] in[0] movies[0] but[0] the[0] quantity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
most of those movies were produced by cannon group , company led by israeli producers menahem golan and yoram globus . 	most of those movies were produced by cannon group , company led by israeli producers menahem golan and yoram globus .	1	-2	 most[0] of[0] those[0] movies[0] were[0] produced[0] by[0] cannon[-1] group[0] company[0] led[0] by[0] israeli[0] producers[0] menahem[0] golan[0] and[0] yoram[0] globus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
those two men probably thought that they could be the next roger corman , b- movie mentors of future hollywood legends . 	those two men probably thought that they could be the next roger corman , b- movie mentors of future hollywood legends .	1	-1	 those[0] two[0] men[0] probably[0] thought[0] that[0] they[0] could[0] be[0] the[0] next[0] roger[0] corman[0] b[0] movie[0] mentors[0] of[0] future[0] hollywood[0] legends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , that didn't happened , and when cannon finally went bankrupt at the end of the decade , behind it stood the huge pile of cinematic garbage , that would require at least few centuries before it reaches the camp appeal . 	unfortunately , that didn't happened , and when cannon finally went bankrupt at the end of the decade , behind it stood the huge pile of cinematic garbage , that would require at least few centuries before it reaches the camp appeal .	1	-3	 unfortunately[-1] that[0] didn't[0] happened[0] and[0] when[0] cannon[-1] finally[0] went[0] bankrupt[-2] at[0] the[0] end[0] of[0] the[0] decade[0] behind[0] it[0] stood[0] the[0] huge[0] pile[0] of[0] cinematic[0] garbage[-2] that[0] would[0] require[0] at[0] least[0] few[0] centuries[0] before[0] it[0] reaches[0] the[0] camp[0] appeal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sadly for bronson , that garbage also contained numerous movies in which that capable character actor and action hero of the 1970s tried to raise their worth simply by being the main lead , and lowering his own reputation in process . 	sadly for bronson , that garbage also contained numerous movies in which that capable character actor and action hero of the 1970s tried to raise their worth simply by being the main lead , and lowering his own reputation in process .	3	-3	 sadly[-1] for[0] bronson[0] that[0] garbage[-2] also[0] contained[0] numerous[0] movies[0] in[0] which[0] that[0] capable[0] character[0] actor[0] and[0] action[0] hero[2] of[0] the[0] 1970s[0] tried[0] to[0] raise[0] their[0] worth[0] simply[0] by[0] being[0] the[0] main[0] lead[0] and[0] lowering[0] his[0] own[0] reputation[0] in[0] process[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on the other hand , bronson could take comfort in a fact that those movies were extremely popular , especially among the audience 3 or 4 times younger than bronson himself . 	on the other hand , bronson could take comfort in a fact that those movies were extremely popular , especially among the audience 3 or 4 times younger than bronson himself .	2	-1	 on[0] the[0] other[0] hand[0] bronson[0] could[0] take[0] comfort[1] in[0] a[0] fact[0] that[0] those[0] movies[0] were[0] extremely[0] popular[0] especially[0] among[0] the[0] audience[0] 3[0] or[0] 4[0] times[0] younger[0] than[0] bronson[0] himself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of such movies that seriously marred bronson's reputation is death wish 3 , third sequel in the series which began with death wish in 1974 . 	one of such movies that seriously marred bronson's reputation is death wish 3 , third sequel in the series which began with death wish in 1974 .	1	-3	 one[0] of[0] such[0] movies[0] that[0] seriously[0] marred[0] bronson's[0] reputation[0] is[0] death[-2] wish[0] 3[0] third[0] sequel[0] in[0] the[0] series[0] which[0] began[0] with[0] death[-2] wish[0] in[0] 1974[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the original movie , bronson played paul kersey , mild-mannered new york architect who turns into deadly street vigilante after his family fell victim to urban violence . 	in the original movie , bronson played paul kersey , mild-mannered new york architect who turns into deadly street vigilante after his family fell victim to urban violence .	1	-4	 in[0] the[0] original[0] movie[0] bronson[0] played[0] paul[0] kersey[0] mild[0] mannered[0] new[0] york[0] architect[0] who[0] turns[0] into[0] deadly[-1] street[0] vigilante[0] after[0] his[0] family[0] fell[0] victim[-2] to[0] urban[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that movie was far from masterpiece ; yet , in it the director michael winner was skillfully offering the cinematic remedy for very real disease of growing crime rates of the time ( on the same lines like siegel in dirty harry ) . 	that movie was far from masterpiece ; yet , in it the director michael winner was skilfully offering the cinematic remedy for very real disease of growing crime rates of the time ( on the same lines like siegel in dirty harry ) .	2	-3	 that[0] movie[0] was[0] far[0] from[0] masterpiece[0] yet[0] in[0] it[0] the[0] director[0] michael[0] winner[1] was[0] skillfully/skilfully[0] offering[0] the[0] cinematic[0] remedy[0] for[0] very[0] real[0] disease[-2] of[0] growing[0] crime[-1] rates[0] of[0] the[0] time[0] on[0] the[0] same[0] lines[0] like[1] siegel[0] in[0] dirty[-1] harry[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , six years later cannon group got rights to the character of paul kersey and began destroying it by pumping out sequels ; even the presence of its original director didn't stop the rapid decline of the quality . 	unfortunately , six years later cannon group got rights to the character of paul kersey and began destroying it by pumping out sequels ; even the presence of its original director didn't stop the rapid decline of the quality .	1	-3	 unfortunately[-1] six[0] years[0] later[0] cannon[-1] group[0] got[0] rights[0] to[0] the[0] character[0] of[0] paul[0] kersey[0] and[0] began[0] destroying[-2] it[0] by[0] pumping[0] out[0] sequels[0] even[0] the[0] presence[0] of[0] its[0] original[0] director[0] didn't[0] stop[0] the[0] rapid[0] decline[-1] of[0] the[0] quality[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
