sandra bullock in high heels and wielding a chainsaw ? 	Translation	Positive	Negative	EmotionRationale
yup , it's gotta be summer . 	yup , it's gotta be summer .	1	-1	 yup[0] it's[0] gotta[0] be[0] summer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just when you thought the pointless sequel had gone the way of franchise films and direct-to-video releases , into port slams speed 2 : cruise control , the gloriously godawful follow-up to the 1994 sleeper about a bus rigged to explode if it slowed below a certain speed . 	just when you thought the pointless sequel had gone the way of franchise films and direct-to-video releases , into port slams speed 2 : cruise control , the gloriously godawful follow-up to the 1994 sleeper about a bus rigged to explode if it slowed below a certain speed .	2	-2	 just[0] when[0] you[0] thought[0] the[0] pointless[-1] sequel[0] had[0] gone[0] the[0] way[0] of[0] franchise[0] films[0] and[0] direct[0] to[0] video[0] releases[0] into[0] port[0] slams[-1] speed[0] 2[0] cruise[0] control[0] the[0] gloriously[1] godawful[0] follow[0] up[0] to[0] the[0] 1994[0] sleeper[0] about[0] a[0] bus[0] rigged[0] to[0] explode[-1] if[0] it[0] slowed[0] below[0] a[0] certain[0] speed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the gimmick , this time , is an ocean liner rigged to , well , crash into stuff . 	the gimmick , this time , is an ocean liner rigged to , well , crash into stuff .	1	-1	 the[0] gimmick[0] this[0] time[0] is[0] an[0] ocean[0] liner[0] rigged[0] to[0] well[0] crash[0] into[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sound exciting ? 	sound exciting ?	3	-1	 sound[0] exciting[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dennis hopper's disgruntled bomb squader , the villain of the first film , has given way to willem dafoe's disgruntled computer programmer , a maniac whose main beef has something to do with having to use live leeches , i kid you not , as a self-treatment for copper poison- ing . 	dennis hopper's disgruntled bomb squader , the villain of the first film , has given way to willem dafoe's disgruntled computer programmer , a maniac whose main beef has something to do with having to use live leeches , i kid you not , as a self-treatment for copper poison- ing .	1	-3	 dennis[0] hopper's[0] disgruntled[0] bomb[-1] squader[0] the[0] villain[-2] of[0] the[0] first[0] film[0] has[0] given[0] way[0] to[0] willem[0] dafoe's[0] disgruntled[0] computer[0] programmer[0] a[0] maniac[-2] whose[0] main[0] beef[0] has[0] something[0] to[0] do[0] with[0] having[0] to[0] use[0] live[0] leeches[0] i[0] kid[0] you[0] not[0] as[0] a[0] self[0] treatment[0] for[0] copper[0] poison[-2] ing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( and said poisoning induced by prolonged exposure to electro- magnetic fields , no less ! 	 ( and said poisoning induced by prolonged exposure to electro- magnetic fields , no less !	1	-3	 and[0] said[0] poisoning[-2] induced[0] by[0] prolonged[0] exposure[0] to[0] electro[0] magnetic[0] fields[0] no[0] less[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
calling dean edell . . . ) 	calling dean edell .<br> .<br> .<br> )	1	-1	 calling[0] dean[0] edell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , he overrides the boat's computer , convinces the crew to abandon ship , and sends the remaining passengers , those who couldn't evacuate in time , on a col- lision course with destiny . 	so , he overrides the boat's computer , convinces the crew to abandon ship , and sends the remaining passengers , those who couldn't evacuate in time , on a col- lision course with destiny .	1	-2	 so[0] he[0] overrides[0] the[0] boat's[0] computer[0] convinces[0] the[0] crew[0] to[0] abandon[-1] ship[0] and[0] sends[0] the[0] remaining[0] passengers[0] those[0] who[0] couldn't[0] evacuate[0] in[0] time[0] on[0] a[0] col[0] lision[0] course[0] with[0] destiny[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( oddly , no one thinks to just . . . 	 ( oddly , no one thinks to just .<br> .<br> .	1	-1	 oddly[0] no[0] one[0] thinks[0] to[0] just[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jump off the back of the boat . ) 	jump off the back of the boat .<br> )	1	-1	 jump[0] off[0] the[0] back[0] of[0] the[0] boat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
