you don't need to have seen the original " species " to appreciate how utterly lousy " species ii " is . 	Translation	Positive	Negative	EmotionRationale
with few exceptions , sequels tend to be worse than the films that spawned them , but the fact that " species ii " is a follow-up isn't the only reason it's so miserable . 	with few exceptions , sequels tend to be worse than the films that spawned them , but the fact that " species i " is a follow-up isn't the only reason it's so miserable .	1	-3	 with[0] few[0] exceptions[0] sequels[0] tend[0] to[0] be[0] worse[-2] than[0] the[0] films[0] that[0] spawned[0] them[0] but[0] the[0] fact[0] that[0] species[0] ii/i[0] is[0] a[0] follow[0] up[0] isn't[0] the[0] only[0] reason[0] it's[0] so[0] miserable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's the predictable storyline , the cardboard characters , the banal dialogue , the failed attempts at humor , the revolting special effects , the gratuitous nudity ( all female , of course ) , the bad acting , and the bland direction . 	it's the predictable storyline , the cardboard characters , the banal dialogue , the failed attempts at humor , the revolting special effects , the gratuitous nudity ( all female , of course ) , the bad acting , and the bland direction .	3	-3	 it's[0] the[0] predictable[0] storyline[0] the[0] cardboard[0] characters[0] the[0] banal[-1] dialogue[0] the[0] failed[-2] attempts[0] at[0] humor[2] the[0] revolting[-1] special[1] effects[0] the[0] gratuitous[-1] nudity[0] all[0] female[0] of[0] course[0] the[0] bad[-1] acting[0] and[0] the[0] bland[-1] direction[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot , simply geared at getting the alien species back on planet earth so that it can reak some more havoc , involves three astronauts landing on mars and inadvertently bringing some alien slime in a soil sample back aboard their shuttle . 	the plot , simply geared at getting the alien species back on planet earth so that it can reak some more havoc , involves three astronauts landing on mars and inadvertently bringing some alien slime in a soil sample back aboard their shuttle .	1	-2	 the[0] plot[0] simply[0] geared[0] at[0] getting[0] the[0] alien[-1] species[0] back[0] on[0] planet[0] earth[0] so[0] that[0] it[0] can[0] reak[0] some[0] more[0] havoc[-1] involves[0] three[0] astronauts[0] landing[0] on[0] mars[0] and[0] inadvertently[0] bringing[0] some[0] alien[-1][--1 LastWordBoosterStrength] slime[-1] in[0] a[0] soil[0] sample[0] back[0] aboard[0] their[0] shuttle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the slime , well , sort of jumps out at them and the screen turns black . 	the slime , well , sort of jumps out at them and the screen turns black .	1	-2	 the[0] slime[-1] well[0] sort[0] of[0] jumps[0] out[0] at[0] them[0] and[0] the[0] screen[0] turns[0] black[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that should have been the end of the movie right there . 	that should have been the end of the movie right there .	1	-1	 that[0] should[0] have[0] been[0] the[0] end[0] of[0] the[0] movie[0] right[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
back on terra firma , at least one of the crew is now a carrier of alien dna and , as you'll remember if you saw the first movie , driven by a strong urge to procreate . 	back on terra firma , at least one of the crew is now a carrier of alien dna and , as you'll remember if you saw the first movie , driven by a strong urge to procreate .	1	-2	 back[0] on[0] terra[0] firma[0] at[0] least[0] one[0] of[0] the[0] crew[0] is[0] now[0] a[0] carrier[0] of[0] alien[-1] dna[0] and[0] as[0] you'll[0] remember[0] if[0] you[0] saw[0] the[0] first[0] movie[0] driven[0] by[0] a[0] strong[0] urge[0] to[0] procreate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on a parallel track , government scientists have cloned a version of sil from the first film ( now called eve , again " played " by natasha henstridge ) and are keeping her around for some testing . 	on a parallel track , government scientists have cloned a version of sil from the first film ( now called eve , again " played " by natasha henstridge ) and are keeping her around for some testing .	1	-1	 on[0] a[0] parallel[0] track[0] government[0] scientists[0] have[0] cloned[0] a[0] version[0] of[0] sil[0] from[0] the[0] first[0] film[0] now[0] called[0] eve[0] again[0] played[0] by[0] natasha[0] henstridge[0] and[0] are[0] keeping[0] her[0] around[0] for[0] some[0] testing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this , apparently , includes observing eve's reaction to " the dukes of hazzard " tv show , which she appears to enjoy . 	this , apparently , includes observing eve's reaction to " the dukes of hazard " tv show , which she appears to enjoy .	3	-2	 this[0] apparently[0] includes[0] observing[0] eve's[0] reaction[0] to[0] the[0] dukes[0] of[0] hazzard/hazard[-1] tv[0] show[0] which[0] she[0] appears[0] to[0] enjoy[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
eve's bio-rhythms go off the scale each time one of her kinfolk " mates , " which we are forced to witness in gross-out detail , but otherwise there doesn't appear to be a whole lot of reason why henstridge is in this film , unless it was written into her contract ( let's hope it cited one sequel and one sequel only ) . 	eve's bio-rhythms go off the scale each time one of her kinfolk " mates , " which we are forced to witness in gross-out detail , but otherwise there doesn't appear to be a whole lot of reason why henstridge is in this film , unless it was written into her contract ( let's hope it cited one sequel and one sequel only ) .	3	-2	 eve's[0] bio[0] rhythms[0] go[0] off[0] the[0] scale[0] each[0] time[0] one[0] of[0] her[0] kinfolk[0] mates[0] which[0] we[0] are[0] forced[0] to[0] witness[0] in[0] gross[-1] out[0] detail[0] but[0] otherwise[0] there[0] doesn't[0] appear[0] to[0] be[0] a[0] whole[0] lot[0] of[0] reason[0] why[0] henstridge[0] is[0] in[0] this[0] film[0] unless[0] it[0] was[0] written[0] into[0] her[0] contract[0] let's[0] hope[2] it[0] cited[0] one[0] sequel[0] and[0] one[0] sequel[0] only[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
eve finally breaks free of her confines--and her bra--for the finale , but the effects are so messy you can't really see what's going on . 	eve finally breaks free of her confines-and her bra-for the finale , but the effects are so messy you can't really see what's going on .	1	-1	 eve[0] finally[0] breaks[0] free[0] of[0] her[0] confines[0] and[0] her[0] bra[0] for[0] the[0] finale[0] but[0] the[0] effects[0] are[0] so[0] messy[0] you[0] can't[0] really[0] see[0] what's[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peter boyle is totally wasted as an institutionalized scientist who screams " i told 'em not to go ! " 	peter boyle is totally wasted as an institutionalized scientist who screams " i told 'em not to go !<br> "	1	-4	 peter[0] boyle[0] is[0] totally[0] wasted[-1][-1 LastWordBoosterStrength] as[0] an[0] institutionalized[0] scientist[0] who[0] screams[-3] i[0] told[0] 'em[0] not[0] to[0] go[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at the top of his lungs , referring to the mars mission but more likely aimed at the makers of this piffle . 	at the top of his lungs , referring to the mars mission but more likely aimed at the makers of this piffle .	1	-2	 at[0] the[0] top[0] of[0] his[0] lungs[0] referring[0] to[0] the[0] mars[0] mission[0] but[0] more[0] likely[0] aimed[0] at[0] the[0] makers[0] of[0] this[0] piffle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michael madsen reprises his role of press lennox ( so that he can enter high security areas , flash a badge and claim to be press , maybe ? ) , as does marg helgenberger as dr . laura baker , the one subjecting eve to the tv reruns . 	michael madsen reprises his role of press lennox ( so that he can enter high security areas , flash a badge and claim to be press , maybe ?<br> ) , as does marg helgenberger as dr .<br> laura baker , the one subjecting eve to the tv reruns .	2	-1	 michael[0] madsen[0] reprises[0] his[0] role[0] of[0] press[0] lennox[0] so[0] that[0] he[0] can[0] enter[0] high[0] security[1] areas[0] flash[0] a[0] badge[0] and[0] claim[0] to[0] be[0] press[0] maybe[0] [[Sentence=-1,2=word max, 1-5]] as[0] does[0] marg[0] helgenberger[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] laura[0] baker[0] the[0] one[0] subjecting[0] eve[0] to[0] the[0] tv[0] reruns[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
they're both unbelievably wooden . 	they're both unbelievably wooden .	1	-2	 they're[0] both[0] unbelievably[-1] wooden[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
