in life , eddie murphy and martin lawrence play two young men wrongfully convicted of murder and sentenced to life in prison . 	Translation	Positive	Negative	EmotionRationale
after about an hour of watching this movie , you begin to realize how their characters feel . 	after about an hour of watching this movie , you begin to realize how their characters feel .	1	-1	 after[0] about[0] an[0] hour[0] of[0] watching[0] this[0] movie[0] you[0] begin[0] to[0] realize[0] how[0] their[0] characters[0] feel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , for audience members there's a chance to escape the nearest exit . 	fortunately , for audience members there's a chance to escape the nearest exit .	1	-2	 fortunately[0] for[0] audience[0] members[0] there's[0] a[0] chance[0] to[0] escape[0] the[0] nearest[0] exit[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this , undoubtedly , is eddie murphy's worst movie and that's an accomplishment . 	this , undoubtedly , is eddie murphy's worst movie and that's an accomplishment .	2	-3	 this[0] undoubtedly[0] is[0] eddie[0] murphy's[0] worst[-2] movie[0] and[0] that's[0] an[0] accomplishment[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
remember the golden child , harlem nights ? 	remember the golden child , harlem nights ?	1	-1	 remember[0] the[0] golden[0] child[0] harlem[0] nights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
compared to life , they look like citizen kane . 	compared to life , they look like citizen kane .	2	-1	 compared[0] to[0] life[0] they[0] look[0] like[1] citizen[0] kane[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
life is long , predictable , foul-mouthed and only intermittently funny . 	life is long , predictable , foul-mouthed and only intermittently funny .	2	-1	 life[0] is[0] long[0] predictable[0] foul[0] mouthed[0] and[0] only[0] intermittently[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
its 100-minute running time feels like 100 years . 	its 100-minute running time feels like 100 years .	2	-1	 its[0] 100[0] minute[0] running[0] time[0] feels[0] like[1] 100[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robert ramsey and matthew stone's script basically consist of murphy and lawrence referring to everyone around them as " motherf . . . s " or " n . . . . . 	robert ramsey and matthew stone's script basically consist of murphy and lawrence referring to everyone around them as " motherf .<br> .<br> .<br> s " or " n .<br> .<br> .<br> .<br> .	1	-1	 robert[0] ramsey[0] and[0] matthew[0] stone's[0] script[0] basically[0] consist[0] of[0] murphy[0] and[0] lawrence[0] referring[0] to[0] everyone[0] around[0] them[0] as[0] motherf[0] [[Sentence=-1,1=word max, 1-5]] s[0] or[0] n[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
s . " 	s .<br> "	1	-1	 s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you lose count how many times both those obnoxious , offensive words are used . 	you lose count how many times both those obnoxious , offensive words are used .	1	-4	 you[0] lose[-1] count[0] how[0] many[0] times[0] both[0] those[0] obnoxious[-2] offensive[-2][-1 MultiplePositiveWords] words[0] are[0] used[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and if that all it takes to write a script , than any illiterate jackass can sit at a word processor and compose a movie . 	and if that all it takes to write a script , than any illiterate jackass can sit at a word processor and compose a movie .	1	-2	 and[0] if[0] that[0] all[0] it[0] takes[0] to[0] write[0] a[0] script[0] than[0] any[0] illiterate[-1] jackass[-1] can[0] sit[0] at[0] a[0] word[0] processor[0] and[0] compose[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , like life , it will probably stink . 	but , like life , it will probably stink .	2	-3	 but[0] like[1] life[0] it[0] will[0] probably[0] stink[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
to be honest , the screening audience surrounding me in the theater yucked it up . 	to be honest , the screening audience surrounding me in the theater yucked it up .	1	-1	 to[0] be[0] honest[0] the[0] screening[0] audience[0] surrounding[0] me[0] in[0] the[0] theater[0] yucked[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
