in the continuation of warner brother's franchise , joel schumacher has successfully killed this cash cow . 	Translation	Positive	Negative	EmotionRationale
what makes this film such a grand disappointment is the tremendous line up of talented people involved with the film . 	what makes this film such a grand disappointment is the tremendous line up of talented people involved with the film .	2	-2	 what[0] makes[0] this[0] film[0] such[0] a[0] grand[1] disappointment[-1] is[0] the[0] tremendous[0] line[0] up[0] of[0] talented[1] people[0] involved[0] with[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
avika goldsman's screenplay is such a cluttered mess that there is no suspense built from one scene to another . 	avika goldsman's screenplay is such a cluttered mess that there is no suspense built from one scene to another .	1	-2	 avika[0] goldsman's[0] screenplay[0] is[0] such[0] a[0] cluttered[-1] mess[0] that[0] there[0] is[0] no[0] suspense[0] built[0] from[0] one[0] scene[0] to[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this coming on the heals of such a marvelously written project as " the client " is such a shock that it gives rise to thoughts that the latter film was a fluke . 	this coming on the heals of such a marvelously written project as " the client " is such a shock that it gives rise to thoughts that the latter film was a fluke .	1	-3	 this[0] coming[0] on[0] the[0] heals[0] of[0] such[0] a[0] marvelously[0] written[0] project[0] as[0] the[0] client[0] is[0] such[0] a[0] shock[-2] that[0] it[0] gives[0] rise[0] to[0] thoughts[0] that[0] the[0] latter[0] film[0] was[0] a[0] fluke[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
situations are developed and executed with no thought of reason other that to get the characters from one point to another . 	situations are developed and executed with no thought of reason other that to get the characters from one point to another .	1	-2	 situations[0] are[0] developed[0] and[0] executed[-1] with[0] no[0] thought[0] of[0] reason[0] other[0] that[0] to[0] get[0] the[0] characters[0] from[0] one[0] point[0] to[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is most glaringly brought to point by the appearance of alicia silverstone's batgirl , who just happens to be alfred's niece . 	this is most glaringly brought to point by the appearance of alicia silverstone's batgirl , who just happens to be alfred's niece .	1	-1	 this[0] is[0] most[0] glaringly[0] brought[0] to[0] point[0] by[0] the[0] appearance[0] of[0] alicia[0] silverstone's[0] batgirl[0] who[0] just[0] happens[0] to[0] be[0] alfred's[0] niece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story of dr . victor freeze is told almost completely in dialogue as an afterthought . 	the story of dr .<br> victor freeze is told almost completely in dialogue as an afterthought .	1	-1	 the[0] story[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]] victor[0] freeze[0] is[0] told[0] almost[0] completely[0] in[0] dialogue[0] as[0] an[0] afterthought[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while working on a cure for a tragic decease contracted by his wife , dr . freeze is injured during a cryogenic procedure , and becomes a man who can only survive in a sub zero environment . 	while working on a cure for a tragic decease contracted by his wife , dr .<br> freeze is injured during a cryogenic procedure , and becomes a man who can only survive in a sub zero environment .	1	-3	 while[0] working[0] on[0] a[0] cure[0] for[0] a[0] tragic[-2] decease[-1] contracted[0] by[0] his[0] wife[0] dr[0] [[Sentence=-3,1=word max, 1-5]] freeze[0] is[0] injured[0] during[0] a[0] cryogenic[0] procedure[0] and[0] becomes[0] a[0] man[0] who[0] can[0] only[0] survive[0] in[0] a[0] sub[0] zero[0] environment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
now of course he has become a terrorist intent on turning the world into a frozen planet where only he can live . 	now of course he has become a terrorist intent on turning the world into a frozen planet where only he can live .	1	-3	 now[0] of[0] course[0] he[0] has[0] become[0] a[0] terrorist[-2] intent[0] on[0] turning[0] the[0] world[0] into[0] a[0] frozen[0] planet[0] where[0] only[0] he[0] can[0] live[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now the logic of that little sub-plot escapes me . 	now the logic of that little sub-plot escapes me .	1	-1	 now[0] the[0] logic[0] of[0] that[0] little[0] sub[0] plot[0] escapes[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if mr . freeze wanted to find a cure for his wife and bring her back from the brink of death , why would he want to have her live in a world with no warmth . 	if mr .<br> freeze wanted to find a cure for his wife and bring her back from the brink of death , why would he want to have her live in a world with no warmth .	1	-3	 if[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] wanted[0] to[0] find[0] a[0] cure[0] for[0] his[0] wife[0] and[0] bring[0] her[0] back[0] from[0] the[0] brink[0] of[0] death[-2] why[0] would[0] he[0] want[0] to[0] have[0] her[0] live[0] in[0] a[0] world[0] with[0] no[0] warmth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is indeed a cold hearted man . 	this is indeed a cold hearted man .	1	-2	 this[0] is[0] indeed[0] a[0] cold[-1] hearted[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the development of poison ivy is no less contradictory . 	the development of poison ivy is no less contradictory .	1	-3	 the[0] development[0] of[0] poison[-2] ivy[0] is[0] no[0] less[0] contradictory[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she wants to breed a form of plant life that can defend itself like an animal . 	she wants to breed a form of plant life that can defend itself like an animal .	2	-1	 she[0] wants[0] to[0] breed[0] a[0] form[0] of[0] plant[0] life[0] that[0] can[0] defend[0] itself[0] like[1] an[0] animal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
