 " tina ! ! ! fetch me the axe ! ! ! " 	Translation	Positive	Negative	EmotionRationale
a favourite book of mine called the golden turkey awards relates the story that when mommie dearest was unleashed upon unsuspecting audiences back in 1981 , paramount soon realised they had a problem on their hands . 	a favourite book of mine called the golden turkey awards relates the story that when mommie dearest was unleashed upon unsuspecting audiences back in 1981 , paramount soon realised they had a problem on their hands .	2	-2	 a[0] favourite[1] book[0] of[0] mine[0] called[0] the[0] golden[0] turkey[0] awards[0] relates[0] the[0] story[0] that[0] when[0] mommie[0] dearest[0] was[0] unleashed[0] upon[0] unsuspecting[0] audiences[0] back[0] in[0] 1981[0] paramount[0] soon[0] realised[0] they[0] had[0] a[0] problem[-1] on[0] their[0] hands[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it wasn't just the film's disappointing box office performance . 	it wasn't just the film's disappointing box office performance .	1	-2	 it[0] wasn't[0] just[0] the[0] film's[0] disappointing[-1] box[0] office[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
indeed , in the coming years some people would be going back to see it two , three , even six times . 	indeed , in the coming years some people would be going back to see it two , three , even six times .	1	-1	 indeed[0] in[0] the[0] coming[0] years[0] some[0] people[0] would[0] be[0] going[0] back[0] to[0] see[0] it[0] two[0] three[0] even[0] six[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , the main problem was that what was intended as a serious biopic of screen queen joan crawford was turning into the laugh riot of the year . 	no , the main problem was that what was intended as a serious biopic of screen queen joan crawford was turning into the laugh riot of the year .	2	-2	 no[0] the[0] main[0] problem[-1] was[0] that[0] what[0] was[0] intended[0] as[0] a[0] serious[-1] biopic[0] of[0] screen[0] queen[0] joan[0] crawford[0] was[0] turning[0] into[0] the[0] laugh[1] riot[0] of[0] the[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a desperate attempt to capitalise on this unexpected turn of events , some publicity hacks dreamed up outrageous print advertisements screaming : " mommie dearest : the biggest mommie of them all ! " . 	in a desperate attempt to capitalise on this unexpected turn of events , some publicity hacks dreamed up outrageous print advertisements screaming : " mommie dearest : the biggest mommie of them all !<br> " .	1	-4	 in[0] a[0] desperate[-2] attempt[0] to[0] capitalise[0] on[0] this[0] unexpected[0] turn[0] of[0] events[0] some[0] publicity[0] hacks[0] dreamed[0] up[0] outrageous[-2] print[0] advertisements[0] screaming[-3] mommie[0] dearest[0] the[0] biggest[0] mommie[0] of[0] them[0] all[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
executives at paramount were appalled and soon had the ads withdrawn , but it was all too late . 	executives at paramount were appalled and soon had the ads withdrawn , but it was all too late .	1	-4	 executives[0] at[0] paramount[0] were[0] appalled[-3] and[0] soon[0] had[0] the[0] ads[0] withdrawn[0] but[0] it[0] was[0] all[0] too[0] late[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mommie dearest was already cementing its place in camp cinema history . 	mommie dearest was already cementing its place in camp cinema history .	1	-1	 mommie[0] dearest[0] was[0] already[0] cementing[0] its[0] place[0] in[0] camp[0] cinema[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , faye dunaway's energetic , at times ridiculously over-the-top performance is about the film's only redeeming feature . 	unfortunately , faye dunaway's energetic , at times ridiculously over-the-top performance is about the film's only redeeming feature .	1	-3	 unfortunately[-1] faye[0] dunaway's[0] energetic[0] at[0] times[0] ridiculously[-2] over[0] the[0] top[0] performance[0] is[0] about[0] the[0] film's[0] only[0] redeeming[0] feature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
based on daughter christina crawford's trashy biography , mommie dearest chronicles a series of mainly private events in the life of her moviestar mother . 	based on daughter christina crawford's trashy biography , mommie dearest chronicles a series of mainly private events in the life of her moviestar mother .	1	-2	 based[0] on[0] daughter[0] christina[0] crawford's[0] trashy[-1] biography[0] mommie[0] dearest[0] chronicles[0] a[0] series[0] of[0] mainly[0] private[0] events[0] in[0] the[0] life[0] of[0] her[0] moviestar[0] mother[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you believe this movie , it was a life was racked by obsession , lonliness , child abuse and rampant egomania . 	if you believe this movie , it was a life was racked by obsession , lonliness , child abuse and rampant egomania .	1	-4	 if[0] you[0] believe[0] this[0] movie[0] it[0] was[0] a[0] life[0] was[0] racked[0] by[0] obsession[-2] lonliness[0] child[0] abuse[-3] and[0] rampant[-1] egomania[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film begins with crawford adopting two children , and concludes in the office of her lawyer where her now grown-up daughter and son find out they have been left out of their mother's will . 	the film begins with crawford adopting two children , and concludes in the office of her lawyer where her now grown-up daughter and son find out they have been left out of their mother's will .	1	-1	 the[0] film[0] begins[0] with[0] crawford[0] adopting[0] two[0] children[0] and[0] concludes[0] in[0] the[0] office[0] of[0] her[0] lawyer[0] where[0] her[0] now[0] grown[0] up[0] daughter[0] and[0] son[0] find[0] out[0] they[0] have[0] been[0] left[0] out[0] of[0] their[0] mother's[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
