tectonic plates is an incredibly painful motion picture experience that nearly prompted me to walk out 20 minutes into the movie . 	Translation	Positive	Negative	EmotionRationale
the film ( which opened in canada during 1992 but was never released in the united states ) is based on a 1988 stage play by canadian auteur robert lapage , and , while it's evident that this could be a fascinating live production , the translation to the screen is a creative disaster . 	the film ( which opened in canada during 1992 but was never released in the united states ) is based on a 1988 stage play by canadian auteur robert lapage , and , while it's evident that this could be a fascinating live production , the translation to the screen is a creative disaster .	1	-2	 the[0] film[0] which[0] opened[0] in[0] canada[0] during[0] 1992[0] but[0] was[0] never[0] released[0] in[0] the[0] united[0] states[0] is[0] based[0] on[0] a[0] 1988[0] stage[0] play[0] by[0] canadian[0] auteur[0] robert[0] lapage[0] and[0] while[0] it's[0] evident[0] that[0] this[0] could[0] be[0] a[0] fascinating[0] live[0] production[0] the[0] translation[0] to[0] the[0] screen[0] is[0] a[0] creative[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enduring tectonic plates is like sitting through a filmed version of performance art -- lifeless and tedious . 	enduring tectonic plates is like sitting through a filmed version of performance art - lifeless and tedious .	2	-3	 enduring[0] tectonic[0] plates[0] is[0] like[1] sitting[0] through[0] a[0] filmed[0] version[0] of[0] performance[0] art[0] lifeless[-1] and[0] tedious[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the qualities that make it captivating when seen in person are effaced in the motion picture medium . 	the qualities that make it captivating when seen in person are effaced in the motion picture medium .	1	-1	 the[0] qualities[0] that[0] make[0] it[0] captivating[0] when[0] seen[0] in[0] person[0] are[0] effaced[0] in[0] the[0] motion[0] picture[0] medium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tectonic plates has a storyline , although the narrative is developed in a decidedly non-traditional fashion , with shots of the stagebound play intercut with more typical cinematic sequences . 	tectonic plates has a storyline , although the narrative is developed in a decidedly non-traditional fashion , with shots of the stagebound play intercut with more typical cinematic sequences .	1	-1	 tectonic[0] plates[0] has[0] a[0] storyline[0] although[0] the[0] narrative[0] is[0] developed[0] in[0] a[0] decidedly[0] non[0] traditional[0] fashion[0] with[0] shots[0] of[0] the[0] stagebound[0] play[0] intercut[0] with[0] more[0] typical[0] cinematic[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not an inherently uninteresting way to present a movie ( despite the valid complaint that it is pretentious , all-but-screaming , " look ! 	it's not an inherently uninteresting way to present a movie ( despite the valid complaint that it is pretentious , all-but-screaming , " look !	1	-4	 it's[0] not[0] an[0] inherently[0] uninteresting[0] way[0] to[0] present[0] a[0] movie[0] despite[0] the[0] valid[0] complaint[-1] that[0] it[0] is[0] pretentious[-1] all[0] but[0] screaming[-3] look[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
art ! " ) , 	art !<br> " ) ,	1	-1	 art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it keeps the audience distanced from the characters . 	although it keeps the audience distanced from the characters .	1	-1	 although[0] it[0] keeps[0] the[0] audience[0] distanced[0] from[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because we're constantly made aware that we're watching a play or a movie , it's impossible to accept these individuals as anything more than mouthpieces for the writer's ideas . 	because we're constantly made aware that we're watching a play or a movie , it's impossible to accept these individuals as anything more than mouthpieces for the writer's ideas .	1	-1	 because[0] we're[0] constantly[0] made[0] aware[0] that[0] we're[0] watching[0] a[0] play[0] or[0] a[0] movie[0] it's[0] impossible[0] to[0] accept[0] these[0] individuals[0] as[0] anything[0] more[0] than[0] mouthpieces[0] for[0] the[0] writer's[0] ideas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're not real , sympathetic , or believable . 	they're not real , sympathetic , or believable .	1	-1	 they're[0] not[0] real[0] sympathetic[0] or[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm willing to give director peter mettler credit for trying something different , but this particular experiment is not a success . 	i'm willing to give director peter mettler credit for trying something different , but this particular experiment is not a success .	1	-3	 i'm[0] willing[0] to[0] give[0] director[0] peter[0] mettler[0] credit[0] for[0] trying[0] something[0] different[0] but[0] this[0] particular[0] experiment[0] is[0] not[0] a[0] success[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tectonic plates opens by introducing us to madeleine ( marie gignac ) , an art student studying in montreal who has fallen in love with her professor , jacques ( lapage ) . 	tectonic plates opens by introducing us to madeleine ( marie gignac ) , an art student studying in montreal who has fallen in love with her professor , jacques ( lapage ) .	3	-1	 tectonic[0] plates[0] opens[0] by[0] introducing[0] us[0] to[0] madeleine[0] marie[0] gignac[0] an[0] art[0] student[0] studying[0] in[0] montreal[0] who[0] has[0] fallen[0] in[0] love[2] with[0] her[0] professor[0] jacques[0] lapage[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one day , he disappears , and , fearing that he left because she was undeserving of his love , madeleine travels to venice to kill herself . 	one day , he disappears , and , fearing that he left because she was undeserving of his love , madeleine travels to venice to kill herself .	3	-3	 one[0] day[0] he[0] disappears[0] and[0] fearing[-2] that[0] he[0] left[0] because[0] she[0] was[0] undeserving[0] of[0] his[0] love[2] madeleine[0] travels[0] to[0] venice[0] to[0] kill[-1] herself[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
