8mm is not going to enlighten your day . 	Translation	Positive	Negative	EmotionRationale
it's a dark , grimy and disturbing portrait of underworld snuff films and filled with excessive violence . 	it's a dark , grimy and disturbing portrait of underworld snuff films and filled with excessive violence .	1	-4	 it's[0] a[0] dark[0] grimy[-2] and[0] disturbing[-1] portrait[0] of[0] underworld[-1] snuff[0] films[0] and[0] filled[0] with[0] excessive[-1] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not only do you need the stomach to make it through this bloated mess , you'll require a lot of patience as well . 	not only do you need the stomach to make it through this bloated mess , you'll require a lot of patience as well .	1	-1	 not[0] only[0] do[0] you[0] need[0] the[0] stomach[0] to[0] make[0] it[0] through[0] this[0] bloated[0] mess[0] you'll[0] require[0] a[0] lot[0] of[0] patience[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicolas cage seems to be doing quite a bit of overacting as of late . 	nicolas cage seems to be doing quite a bit of overacting as of late .	1	-1	 nicolas[0] cage[0] seems[0] to[0] be[0] doing[0] quite[0] a[0] bit[0] of[0] overacting[0] as[0] of[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he wore a bizarre get-up and did a lot of yelling in the terminally awful snake eyes , and here he attempts a performance that can relate to someone completely losing their grip on reality . 	he wore a bizarre get-up and did a lot of yelling in the terminally awful snake eyes , and here he attempts a performance that can relate to someone completely losing their grip on reality .	1	-4	 he[0] wore[0] a[0] bizarre[-1] get[0] up[0] and[0] did[0] a[0] lot[0] of[0] yelling[0] in[0] the[0] terminally[0] awful[-3] snake[0] eyes[0] and[0] here[0] he[0] attempts[0] a[0] performance[0] that[0] can[0] relate[0] to[0] someone[0] completely[0] losing[-2][-1 LastWordBoosterStrength] their[0] grip[0] on[0] reality[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
cage plays private investigator tom welles , praised for his secrecy and reliability . 	cage plays private investigator tom welles , praised for his secrecy and reliability .	3	-1	 cage[0] plays[1] private[0] investigator[0] tom[0] welles[1] praised[2] for[0] his[0] secrecy[0] and[0] reliability[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at home , welles is a family man , with a wife ( catherine keener ) and a small daughter to take care of . 	at home , welles is a family man , with a wife ( catherine keener ) and a small daughter to take care of .	2	-1	 at[0] home[0] welles[1] is[0] a[0] family[0] man[0] with[0] a[0] wife[0] catherine[0] keener[0] and[0] a[0] small[0] daughter[0] to[0] take[0] care[1] of[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his new assignment is a bizarre one : the wife of a formally deceased millionaire has hired him to solve a mystery regarding a film found in her husband's safe . 	his new assignment is a bizarre one : the wife of a formally deceased millionaire has hired him to solve a mystery regarding a film found in her husband's safe .	2	-2	 his[0] new[0] assignment[0] is[0] a[0] bizarre[-1] one[0] the[0] wife[0] of[0] a[0] formally[0] deceased[0] millionaire[0] has[0] hired[0] him[0] to[0] solve[0] a[0] mystery[0] regarding[0] a[0] film[0] found[0] in[0] her[0] husband's[0] safe[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film appears to be some kind of cheap pornography involving a teenage girl and a masked man , until the girl is brutally murdered . 	the film appears to be some kind of cheap pornography involving a teenage girl and a masked man , until the girl is brutally murdered .	1	-5	 the[0] film[0] appears[0] to[0] be[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] cheap[-1] pornography[0] involving[0] a[0] teenage[0] girl[0] and[0] a[0] masked[0] man[0] until[0] the[0] girl[0] is[0] brutally[-2] murdered[-3][-1 MultiplePositiveWords] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
or so it seems . 	or so it seems .	1	-1	 or[0] so[0] it[0] seems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welles , of course , begins to burrow deeper and deeper to uncover the truth . 	welles , of course , begins to burrow deeper and deeper to uncover the truth .	2	-1	 welles[1] of[0] course[0] begins[0] to[0] burrow[0] deeper[0] and[0] deeper[0] to[0] uncover[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
