one-sided " doom and gloom " documentary about the possible annihilation of the human race as foretold by the bible . 	Translation	Positive	Negative	EmotionRationale
orson welles narrates and appears in the film in which he , along with best-selling author hal lindsey , discusses various prophecies from the bible and relates them to recent ( well for 1976 anyway ) events . 	orson welles narrates and appears in the film in which he , along with best-selling author hal lindsey , discusses various prophecies from the bible and relates them to recent ( well for 1976 anyway ) events .	2	-1	 orson[0] welles[1] narrates[0] and[0] appears[0] in[0] the[0] film[0] in[0] which[0] he[0] along[0] with[0] best[1] selling[0] author[0] hal[0] lindsey[0] discusses[0] various[0] prophecies[0] from[0] the[0] bible[0] and[0] relates[0] them[0] to[0] recent[0] well[0] for[0] 1976[0] anyway[0] events[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is dated badly , as many things that are supposed to happen in the " future " never do . 	the film is dated badly , as many things that are supposed to happen in the " future " never do .	1	-2	 the[0] film[0] is[0] dated[0] badly[-1] as[0] many[0] things[0] that[0] are[0] supposed[0] to[0] happen[0] in[0] the[0] future[0] never[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , the planets of the solar system were supposed to line up in the year 1982 and cause chaos here on earth . 	for example , the planets of the solar system were supposed to line up in the year 1982 and cause chaos here on earth .	1	-2	 for[0] example[0] the[0] planets[0] of[0] the[0] solar[0] system[0] were[0] supposed[0] to[0] line[0] up[0] in[0] the[0] year[0] 1982[0] and[0] cause[0] chaos[-1] here[0] on[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're still here . 	we're still here .	1	-1	 we're[0] still[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the arms race between the soviets and america was supposed to kick-off the apocalypse . 	the arms race between the soviets and america was supposed to kick-off the apocalypse .	1	-2	 the[0] arms[0] race[0] between[0] the[0] soviets[0] and[0] america[0] was[0] supposed[0] to[0] kick[-1] off[0] the[0] apocalypse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're still here . 	we're still here .	1	-1	 we're[0] still[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the more ludicrous moments come when it's alluded to that people like jimmy carter and henry kissinger may actually be the antichrist ( ! ) . 	some of the more ludicrous moments come when it's alluded to that people like jimmy carter and henry kissinger may actually be the antichrist ( !<br> ) .	3	-3	 some[0] of[0] the[0] more[0] ludicrous[-2] moments[0] come[0] when[0] it's[0] alluded[0] to[0] that[0] people[0] like[1] jimmy[0] carter[0] and[0] henry[0] kissinger[2] may[0] actually[0] be[0] the[0] antichrist[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
also , there's ten minutes of stock footage at the end of the film meant to give us an idea of what the battle for armageddon might be like . 	also , there's ten minutes of stock footage at the end of the film meant to give us an idea of what the battle for armageddon might be like .	2	-2	 also[0] there's[0] ten[0] minutes[0] of[0] stock[0] footage[0] at[0] the[0] end[0] of[0] the[0] film[0] meant[0] to[0] give[0] us[0] an[0] idea[0] of[0] what[0] the[0] battle[-1] for[0] armageddon[0] might[0] be[0] like[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if it's anything like it's depicted as here then it's going to be incredibly boring . 	if it's anything like it's depicted as here then it's going to be incredibly boring .	2	-4	 if[0] it's[0] anything[0] like[1] it's[0] depicted[0] as[0] here[0] then[0] it's[0] going[0] to[0] be[0] incredibly[0] boring[-1][-2 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the late great planet earth is available on dvd from vci home video . 	the late great planet earth is available on dvd from vci home video .	3	-1	 the[0] late[0] great[2] planet[0] earth[0] is[0] available[0] on[0] dvd[0] from[0] vci[0] home[0] video[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it contains the film in standard form ( aspect ratio of 1 . 33 : 1 ) , although some moments of stock footage are letterboxed . 	it contains the film in standard form ( aspect ratio of 1 .<br> 33 : 1 ) , although some moments of stock footage are letterboxed .	1	-1	 it[0] contains[0] the[0] film[0] in[0] standard[0] form[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 33[0] 1[0] although[0] some[0] moments[0] of[0] stock[0] footage[0] are[0] letterboxed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also included are brief bios on orson welles and hal lindsey , as well as a trailer for another recent vci home video release , chariots of the gods . 	also included are brief bios on orson welles and hal lindsey , as well as a trailer for another recent vci home video release , chariots of the gods .	2	-1	 also[0] included[0] are[0] brief[0] bios[0] on[0] orson[0] welles[1] and[0] hal[0] lindsey[0] as[0] well[0] as[0] a[0] trailer[0] for[0] another[0] recent[0] vci[0] home[0] video[0] release[0] chariots[0] of[0] the[0] gods[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
audio is mono dolby digital , and the video is fair to good for a film like this . 	audio is mono dolby digital , and the video is fair to good for a film like this .	2	-1	 audio[0] is[0] mono[0] dolby[0] digital[0] and[0] the[0] video[0] is[0] fair[0] to[0] good[1] for[0] a[0] film[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i believe this is the first appearance of this film on any home video format so any condition at all is fine with me . 	i believe this is the first appearance of this film on any home video format so any condition at all is fine with me .	3	-1	 i[0] believe[0] this[0] is[0] the[0] first[0] appearance[0] of[0] this[0] film[0] on[0] any[0] home[0] video[0] format[0] so[0] any[0] condition[0] at[0] all[0] is[0] fine[2] with[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
certainly i never expected a remastered print . 	certainly i never expected a remastered print .	1	-1	 certainly[0] i[0] never[0] expected[0] a[0] remastered[0] print[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
curiously , the menu screens on this dvd look nothing like the menu screens pictured on the back of the case . 	curiously , the menu screens on this dvd look nothing like the menu screens pictured on the back of the case .	2	-1	 curiously[0] the[0] menu[0] screens[0] on[0] this[0] dvd[0] look[0] nothing[0] like[1] the[0] menu[0] screens[0] pictured[0] on[0] the[0] back[0] of[0] the[0] case[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but they're menu screens . . . 	but they're menu screens .<br> .<br> .	1	-1	 but[0] they're[0] menu[0] screens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so who really cares ? 	so who really cares ?	3	-1	 so[0] who[0] really[0] cares[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
[pg] 	[pg]	1	-1	 [pg][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
