my first exposure to the nightmare on elm street series of films was not this one , but in fact the third installment ( it was the first to gain a national theatrical release ) . 	Translation	Positive	Negative	EmotionRationale
i didn't see the first film until much later . 	i didn't see the first film until much later .	1	-1	 i[0] didn't[0] see[0] the[0] first[0] film[0] until[0] much[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so looking back , the original didn't hold a lot of great memories for me , since i didn't think too much of it when i initially saw it . 	so looking back , the original didn't hold a lot of great memories for me , since i didn't think too much of it when i initially saw it .	3	-1	 so[0] looking[0] back[0] the[0] original[0] didn't[0] hold[0] a[0] lot[0] of[0] great[2] memories[0] for[0] me[0] since[0] i[0] didn't[0] think[0] too[0] much[0] of[0] it[0] when[0] i[0] initially[0] saw[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
watching it now for a second time confirmed that it's an overrated horror film that ultimately makes no sense whatsoever . 	watching it now for a second time confirmed that it's an overrated horror film that ultimately makes no sense whatsoever .	1	-4	 watching[0] it[0] now[0] for[0] a[0] second[0] time[0] confirmed[0] that[0] it's[0] an[0] overrated[0] horror[-3] film[0] that[0] ultimately[0] makes[0] no[0] sense[0] whatsoever[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you all know the story by now : child murderer freddy krueger ( robert englund ) returns from the grave by haunting the dreams of the children of those who burned him alive years before . 	you all know the story by now : child murderer freddy krueger ( robert englund ) returns from the grave by haunting the dreams of the children of those who burned him alive years before .	1	-4	 you[0] all[0] know[0] the[0] story[0] by[0] now[0] child[0] murderer[-3] freddy[0] krueger[0] robert[0] englund[0] returns[0] from[0] the[0] grave[-2] by[0] haunting[0] the[0] dreams[0] of[0] the[0] children[0] of[0] those[0] who[0] burned[-1] him[0] alive[0] years[0] before[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this first installment does an adequate job with it's low budget , but there's some absurd dialogue and conceptual problems with the story . 	this first instalment does an adequate job with it's low budget , but there's some absurd dialogue and conceptual problems with the story .	1	-2	 this[0] first[0] installment/instalment[0] does[0] an[0] adequate[0] job[0] with[0] it's[0] low[-1] budget[0] but[0] there's[0] some[0] absurd[-1][--1 LastWordBoosterStrength] dialogue[0] and[0] conceptual[0] problems[-1] with[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plus the movie's ending ( understandably the result of the studio wanting the end of the film to have a " hook " for a sequel ) renders the rest of the film pointless . 	plus the movie's ending ( understandably the result of the studio wanting the end of the film to have a " hook " for a sequel ) renders the rest of the film pointless .	1	-2	 plus[0] the[0] movie's[0] ending[0] understandably[0] the[0] result[0] of[0] the[0] studio[0] wanting[0] the[0] end[0] of[0] the[0] film[0] to[0] have[0] a[0] hook[0] for[0] a[0] sequel[0] renders[0] the[0] rest[0] of[0] the[0] film[0] pointless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and does anyone understand what happens to nancy's mother at the end of this film ? 	and does anyone understand what happens to nancy's mother at the end of this film ?	1	-1	 and[0] does[0] anyone[0] understand[0] what[0] happens[0] to[0] nancy's[0] mother[0] at[0] the[0] end[0] of[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't get me wrong though . . . 	don't get me wrong though .<br> .<br> .	1	-2	 don't[0] get[0] me[0] wrong[-1] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not as if a new generation of horror films have spurned me away from the classics . 	it's not as if a new generation of horror films have spurned me away from the classics .	1	-4	 it's[0] not[0] as[0] if[0] a[0] new[0] generation[0] of[0] horror[-3] films[0] have[0] spurned[0] me[0] away[0] from[0] the[0] classics[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
most horror movies released today are just as inane as this film is . 	most horror movies released today are just as inane as this film is .	1	-4	 most[0] horror[-3] movies[0] released[0] today[0] are[0] just[0] as[0] inane[-1] as[0] this[0] film[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
horror is a difficult genre to pull off credibly , and a nightmare on elm street just doesn't cut it . 	horror is a difficult genre to pull off credibly , and a nightmare on elm street just doesn't cut it .	1	-4	 horror[-3] is[0] a[0] difficult[-1] genre[0] to[0] pull[0] off[0] credibly[0] and[0] a[0] nightmare[-2] on[0] elm[0] street[0] just[0] doesn't[0] cut[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a nightmare on elm street is available on dvd from new line home video . 	a nightmare on elm street is available on dvd from new line home video .	1	-3	 a[0] nightmare[-2] on[0] elm[0] street[0] is[0] available[0] on[0] dvd[0] from[0] new[0] line[0] home[0] video[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is available both as a single disc and as part of the nightmare on elm street collection box set . 	it is available both as a single disc and as part of the nightmare on elm street collection box set .	1	-3	 it[0] is[0] available[0] both[0] as[0] a[0] single[0] disc[0] and[0] as[0] part[0] of[0] the[0] nightmare[-2] on[0] elm[0] street[0] collection[0] box[0] set[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is presented in both pan and scan and it's original theatrical aspect ratio of 1 . 78 : 1 ( although on the disc that comes in the box set , only a widescreen transfer is provided ) . 	the film is presented in both pan and scan and it's original theatrical aspect ratio of 1 .<br> 78 : 1 ( although on the disc that comes in the box set , only a widescreen transfer is provided ) .	1	-1	 the[0] film[0] is[0] presented[0] in[0] both[0] pan[0] and[0] scan[0] and[0] it's[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 78[0] 1[0] although[0] on[0] the[0] disc[0] that[0] comes[0] in[0] the[0] box[0] set[0] only[0] a[0] widescreen[0] transfer[0] is[0] provided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has been digitally remastered and includes two options for audio : a mono mix and a new dolby digital 5 . 1 mix . 	the film has been digitally remastered and includes two options for audio : a mono mix and a new dolby digital 5 .<br> 1 mix .	1	-1	 the[0] film[0] has[0] been[0] digitally[0] remastered[0] and[0] includes[0] two[0] options[0] for[0] audio[0] a[0] mono[0] mix[0] and[0] a[0] new[0] dolby[0] digital[0] 5[0] [[Sentence=-1,1=word max, 1-5]] 1[0] mix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also included on the dvd is a full-length audio commentary track with writer/director wes craven , stars john saxon and heather langenkamp , and the film's director of photography . 	also included on the dvd is a full-length audio commentary track with writer/director wes craven , stars john saxon and heather langenkamp , and the film's director of photography .	1	-2	 also[0] included[0] on[0] the[0] dvd[0] is[0] a[0] full[0] length[0] audio[0] commentary[0] track[0] with[0] writer/director[0] wes[0] craven[-1] stars[0] john[0] saxon[0] and[0] heather[0] langenkamp[0] and[0] the[0] film's[0] director[0] of[0] photography[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
other extras include the " jump to a nightmare " feature ( i'm sure you can figure that one out ) , the usual cast and crew bios ( which are from the film's original press release kit , and notably leave out robert englund and johnny depp ! ) , and the film's original theatrical trailer . 	other extras include the " jump to a nightmare " feature ( i'm sure you can figure that one out ) , the usual cast and crew bios ( which are from the film's original press release kit , and notably leave out robert englund and johnny dep !<br> ) , and the film's original theatrical trailer .	1	-3	 other[0] extras[0] include[0] the[0] jump[0] to[0] a[0] nightmare[-2] feature[0] i'm[0] sure[0] you[0] can[0] figure[0] that[0] one[0] out[0] the[0] usual[0] cast[0] and[0] crew[0] bios[0] which[0] are[0] from[0] the[0] film's[0] original[0] press[0] release[0] kit[0] and[0] notably[0] leave[0] out[0] robert[0] englund[0] and[0] johnny[0] depp/dep[0] [[Sentence=-3,1=word max, 1-5]] and[0] the[0] film's[0] original[0] theatrical[0] trailer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
some dvd-rom features are also included , but since i don't have dvd-rom capabilities i can't really get into that . 	some dvd-rom features are also included , but since i don't have dvd-rom capabilities i can't really get into that .	1	-1	 some[0] dvd[0] rom[0] features[0] are[0] also[0] included[0] but[0] since[0] i[0] don't[0] have[0] dvd[0] rom[0] capabilities[0] i[0] can't[0] really[0] get[0] into[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the commentary track is entertaining and informative , but nothing spectacular . 	the commentary track is entertaining and informative , but nothing spectacular .	1	-1	 the[0] commentary[0] track[0] is[0] entertaining[0] and[0] informative[0] but[0] nothing[0] spectacular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first thing of note is that it's the same commentary track that was on the special edition laserdisc from a few years ago . 	the first thing of note is that it's the same commentary track that was on the special edition laserdisc from a few years ago .	2	-1	 the[0] first[0] thing[0] of[0] note[0] is[0] that[0] it's[0] the[0] same[0] commentary[0] track[0] that[0] was[0] on[0] the[0] special[1] edition[0] laserdisc[0] from[0] a[0] few[0] years[0] ago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not saying that's a negative thing , just pointing it out . 	i'm not saying that's a negative thing , just pointing it out .	1	-2	 i'm[0] not[0] saying[0] that's[0] a[0] negative[-1] thing[0] just[0] pointing[0] it[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everyone seems enthusiastic about being there , with the possible exception of john saxon , who just doesn't say much at all . 	everyone seems enthusiastic about being there , with the possible exception of john saxon , who just doesn't say much at all .	3	-1	 everyone[0] seems[0] enthusiastic[2] about[0] being[0] there[0] with[0] the[0] possible[0] exception[0] of[0] john[0] saxon[0] who[0] just[0] doesn't[0] say[0] much[0] at[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most of the time you'll forget he's even there . 	most of the time you'll forget he's even there .	1	-1	 most[0] of[0] the[0] time[0] you'll[0] forget[0] he's[0] even[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone else talks really quietly though for some reason , as if because they're commenting on a scary movie that they need to stay as quiet as possible . 	everyone else talks really quietly though for some reason , as if because they're commenting on a scary movie that they need to stay as quiet as possible .	1	-4	 everyone[0] else[0] talks[0] really[0] quietly[0] though[0] for[0] some[0] reason[0] as[0] if[0] because[0] they're[0] commenting[0] on[0] a[0] scary[-3] movie[0] that[0] they[0] need[0] to[0] stay[0] as[0] quiet[0] as[0] possible[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the bonus disc with the boxed set called the nightmare series encyclopedia features about 45 minutes worth of interviews relating to the first film of the series . 	the bonus disc with the boxed set called the nightmare series encyclopedia features about 45 minutes worth of interviews relating to the first film of the series .	1	-3	 the[0] bonus[0] disc[0] with[0] the[0] boxed[0] set[0] called[0] the[0] nightmare[-2] series[0] encyclopedia[0] features[0] about[0] 45[0] minutes[0] worth[0] of[0] interviews[0] relating[0] to[0] the[0] first[0] film[0] of[0] the[0] series[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also included is the original theatrical trailer and two alternate endings to the film . . . 	also included is the original theatrical trailer and two alternate endings to the film .<br> .<br> .	1	-1	 also[0] included[0] is[0] the[0] original[0] theatrical[0] trailer[0] and[0] two[0] alternate[0] endings[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however you can only access one easily . 	however you can only access one easily .	1	-1	 however[0] you[0] can[0] only[0] access[0] one[0] easily[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other is hidden in what's called " the labyrinth " , which might possibly be the most annoying feature of a dvd ever created . 	the other is hidden in what's called " the labyrinth " , which might possibly be the most annoying feature of a dvd ever created .	1	-3	 the[0] other[0] is[0] hidden[0] in[0] what's[0] called[0] the[0] labyrinth[0] which[0] might[0] possibly[0] be[0] the[0] most[0] annoying[-2] feature[0] of[0] a[0] dvd[0] ever[0] created[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
basically , it's an interactive game of sorts where you wander through different nightmare locations looking at objects which give you access to extra little snippets of footage , interviews , etc . somewhere in the labyrinth is the second alternate ending to the film . 	basically , it's an interactive game of sorts where you wander through different nightmare locations looking at objects which give you access to extra little snippets of footage , interviews , etc .<br> somewhere in the labyrinth is the second alternate ending to the film .	1	-3	 basically[0] it's[0] an[0] interactive[0] game[0] of[0] sorts[0] where[0] you[0] wander[0] through[0] different[0] nightmare[-2] locations[0] looking[0] at[0] objects[0] which[0] give[0] you[0] access[0] to[0] extra[0] little[0] snippets[0] of[0] footage[0] interviews[0] etc[0] [[Sentence=-3,1=word max, 1-5]] somewhere[0] in[0] the[0] labyrinth[0] is[0] the[0] second[0] alternate[0] ending[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
finding it though is both a chore and a bore . 	finding it though is both a chore and a bore .	1	-3	 finding[0] it[0] though[0] is[0] both[0] a[0] chore[-2] and[0] a[0] bore[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
