saw an advanced screening of the movie sniper last night , and i have to say i wasn't too impressed . 	Translation	Positive	Negative	EmotionRationale
this film is about an expert marine sniper , played by tom berenger , who is teamed with a hot-shot-young-no-experience-never-killed-a-man new partner to take out some drug-kingpins and military strong men in panama . 	this film is about an expert marine sniper , played by tom berenger , who is teamed with a hot-shot-young-no-experience-never-killed-a-man new partner to take out some drug-kingpins and military strong men in panama .	4	-2	 this[0] film[0] is[0] about[0] an[0] expert[0] marine[0] sniper[0] played[0] by[0] tom[0] berenger[0] who[0] is[0] teamed[0] with[0] a[0] hot[0] shot[-1] young[0] no[0] experience[0] never[0] killed[-3][NegatedDueToPreviousWord] a[0] man[0] new[0] partner[0] to[0] take[0] out[0] some[0] drug[0] kingpins[0] and[0] military[0] strong[0] men[0] in[0] panama[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
sound cliche ? 	sound cliche ?	1	-1	 sound[0] cliche[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's only the beginning . 	that's only the beginning .	1	-1	 that's[0] only[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
billy zane ( memphis belle ) played the rookie , and never seemed to get a handle on his character . 	billy zane ( memphis belle ) played the rookie , and never seemed to get a handle on his character .	1	-1	 billy[0] zane[0] memphis[0] belle[0] played[0] the[0] rookie[0] and[0] never[0] seemed[0] to[0] get[0] a[0] handle[0] on[0] his[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was so contrary and pig-headed in the beginning , you just wanted to smack him . 	he was so contrary and pig-headed in the beginning , you just wanted to smack him .	1	-2	 he[0] was[0] so[0] contrary[-1] and[0] pig[0] headed[0] in[0] the[0] beginning[0] you[0] just[0] wanted[0] to[0] smack[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then he goes " crazy " from the pressure , but seems to immediately snap out of it . 	then he goes " crazy " from the pressure , but seems to immediately snap out of it .	1	-2	 then[0] he[0] goes[0] crazy[-1] from[0] the[0] pressure[-1] but[0] seems[0] to[0] immediately[0] snap[0] out[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not sure if the blame should lie with the directing , editing , scriptwriting , or acting . . . 	i'm not sure if the blame should lie with the directing , editing , scriptwriting , or acting .<br> .<br> .	1	-2	 i'm[0] not[0] sure[0] if[0] the[0] blame[-1] should[0] lie[0] with[0] the[0] directing[0] editing[0] scriptwriting[0] or[0] acting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it didn't all come together . 	but it didn't all come together .	1	-1	 but[0] it[0] didn't[0] all[0] come[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think berenger is a pretty good actor , and he looked great in the part , covered in camo , face painted , stalking through the jungle with his high-power rifle . . . 	i think berenger is a pretty good actor , and he looked great in the part , covered in camo , face painted , stalking through the jungle with his high-power rifle .<br> .<br> .	3	-1	 i[0] think[0] berenger[0] is[0] a[0] pretty[2] good[1] actor[0] and[0] he[0] looked[0] great[2] in[0] the[0] part[0] covered[0] in[0] camo[0] face[0] painted[0] stalking[0] through[0] the[0] jungle[0] with[0] his[0] high[0] power[0] rifle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but once again , his character was given some pretty bad dialogue , and didn't react too logically to many of the situations . 	but once again , his character was given some pretty bad dialogue , and didn't react too logically to many of the situations .	2	-2	 but[0] once[0] again[0] his[0] character[0] was[0] given[0] some[0] pretty[2][-1 LastWordBoosterStrength] bad[-1] dialogue[0] and[0] didn't[0] react[0] too[0] logically[0] to[0] many[0] of[0] the[0] situations[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there was very little logical development in these characters . 	there was very little logical development in these characters .	1	-1	 there[0] was[0] very[0] little[0] logical[0] development[0] in[0] these[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my biggest problem with this film was it's tendency to put these two snipers in as * many * inches-from-death situations as possible . 	my biggest problem with this film was it's tendency to put these two snipers in as * many * inches-from-death situations as possible .	1	-3	 my[0] biggest[0] problem[-1] with[0] this[0] film[0] was[0] it's[0] tendency[0] to[0] put[0] these[0] two[0] snipers[0] in[0] as[0] many[0] inches[0] from[0] death[-2] situations[0] as[0] possible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they began to resemble g . i . joes , the greatest american hero . 	they began to resemble grin� .<br> i .<br> joes , the greatest american hero .	3	-1	 they[0] began[0] to[0] resemble[0] g[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] joes[0] the[0] greatest[2] american[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and of course their almost supernatural accuracy with their guns was called upon to get them out of far too many close calls . 	and of course their almost supernatural accuracy with their guns was called upon to get them out of far too many close calls .	1	-2	 and[0] of[0] course[0] their[0] almost[0] supernatural[0] accuracy[0] with[0] their[0] guns[-1] was[0] called[0] upon[0] to[0] get[0] them[0] out[0] of[0] far[0] too[0] many[0] close[0] calls[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now a lot of movies are stamped out of this mold , in fact that's what made die hard so much fun : the super-hero avenger type . 	now a lot of movies are stamped out of this mold , in fact that's what made die hard so much fun : the super-hero avenger type .	4	-2	 now[0] a[0] lot[0] of[0] movies[0] are[0] stamped[0] out[0] of[0] this[0] mold[0] in[0] fact[0] that's[0] what[0] made[0] die[0] hard[0] so[0] much[0] fun[1] the[0] super[2] hero[2][+1 MultiplePositiveWords] avenger[-1] type[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
so some will enjoy the action hero heroics , but i didn't think it fit with the nice tension that was built up in the earlier scenes , and the " real life " feel of covert operations in panama . 	so some will enjoy the action hero heroics , but i didn't think it fit with the nice tension that was built up in the earlier scenes , and the " real life " feel of covert operations in panama .	4	-3	 so[0] some[0] will[0] enjoy[2] the[0] action[0] hero[2] heroics[2][+1 MultiplePositiveWords] but[0] i[0] didn't[0] think[0] it[0] fit[0] with[0] the[0] nice[1] tension[-2] that[0] was[0] built[0] up[0] in[0] the[0] earlier[0] scenes[0] and[0] the[0] real[0] life[0] feel[0] of[0] covert[-1] operations[0] in[0] panama[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
a word must be said on the camera work , much of it was very nice . 	a word must be said on the camera work , much of it was very nice .	3	-1	 a[0] word[0] must[0] be[0] said[0] on[0] the[0] camera[0] work[0] much[0] of[0] it[0] was[0] very[0] nice[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the jungles of panama ( or their stand-ins in this case ) formed a very picturesque background . . . 	the jungles of panama ( or their stand-ins in this case ) formed a very picturesque background .<br> .<br> .	3	-1	 the[0] jungles[0] of[0] panama[0] or[0] their[0] stand[0] ins[0] in[0] this[0] case[0] formed[0] a[0] very[0] picturesque[1][1 LastWordBoosterStrength] background[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the drama of speeding bullets was captured using some nice trick photography . 	and the drama of speeding bullets was captured using some nice trick photography .	1	-2	 and[0] the[0] drama[0] of[0] speeding[0] bullets[-1] was[0] captured[-1] using[0] some[0] nice[1][-1 LastWordBoosterStrength] trick[-1] photography[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many have seen the slowed down " bullet-cam " following the projectile to its target . 	many have seen the slowed down " bullet-cam " following the projectile to its target .	1	-2	 many[0] have[0] seen[0] the[0] slowed[0] down[0] bullet[-1] cam[0] following[0] the[0] projectile[0] to[0] its[0] target[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was used well in the beginning to show the feverish nightmares berenger gets when remembering the moment of the kill . 	this was used well in the beginning to show the feverish nightmares berenger gets when remembering the moment of the kill .	1	-2	 this[0] was[0] used[0] well[0] in[0] the[0] beginning[0] to[0] show[0] the[0] feverish[-1] nightmares[0] berenger[0] gets[0] when[0] remembering[0] the[0] moment[0] of[0] the[0] kill[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was dramatic when used in flashback . . . but 	it was dramatic when used in flashback .<br> .<br> .<br> but	1	-1	 it[0] was[0] dramatic[0] when[0] used[0] in[0] flashback[0] [[Sentence=-1,1=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems the director liked the technique so much he started inserting these shots ( pardon the pun ) into the real time action . . . then 	it seems the director liked the technique so much he started inserting these shots ( pardon the pun ) into the real time action .<br> .<br> .<br> then	3	-1	 it[0] seems[0] the[0] director[0] liked[2] the[0] technique[0] so[0] much[0] he[0] started[0] inserting[0] these[0] shots[0] pardon[0] the[0] pun[0] into[0] the[0] real[0] time[0] action[0] [[Sentence=-1,3=word max, 1-5]] then[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
it just seemed silly . 	it just seemed silly .	1	-2	 it[0] just[0] seemed[0] silly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all in all , not a real dog : there is some nice action , good atmosphere , and pretty photography . 	all in all , not a real dog : there is some nice action , good atmosphere , and pretty photography .	3	-1	 all[0] in[0] all[0] not[0] a[0] real[0] dog[0] there[0] is[0] some[0] nice[1][-1 LastWordBoosterStrength] action[0] good[1] atmosphere[0] and[0] pretty[2] photography[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the plot is pretty lame , the acting didn't form a cohesive whole , and far too much thisclosefromdeath heroics . 	but the plot is pretty lame , the acting didn't form a cohesive whole , and far too much thisclosefromdeath heroics .	3	-3	 but[0] the[0] plot[0] is[0] pretty[2] lame[-2] the[0] acting[0] didn't[0] form[0] a[0] cohesive[0] whole[0] and[0] far[0] too[0] much[0] thisclosefromdeath[0] heroics[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
