and i thought " stigmata " would be the worst religiously-oriented thriller released this year . 	Translation	Positive	Negative	EmotionRationale
turns out i was wrong , because while " stigmata " was merely boring and self-important , " end of days " is completely inept on all fronts . 	turns out i was wrong , because while " stigmata " was merely boring and self-important , " end of days " is completely inept on all fronts .	1	-2	 turns[0] out[0] i[0] was[0] wrong[-1] because[0] while[0] stigmata[0] was[0] merely[0] boring[-1] and[0] self[0] important[0] end[0] of[0] days[0] is[0] completely[0] inept[0] on[0] all[0] fronts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a silly , incomprehensible , endlessly stupid mess . 	it's a silly , incomprehensible , endlessly stupid mess .	1	-2	 it's[0] a[0] silly[-1] incomprehensible[0] endlessly[0] stupid[-1] mess[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for a guy like me who grew up watching arnold schwarzenegger at his best , it's extremely disconcerting to see where the big man has ended up . 	for a guy like me who grew up watching arnold schwarzenegger at his best , it's extremely disconcerting to see where the big man has ended up .	2	-1	 for[0] a[0] guy[0] like[1] me[0] who[0] grew[0] up[0] watching[0] arnold[0] schwarzenegger[0] at[0] his[0] best[1] it's[0] extremely[0] disconcerting[0] to[0] see[0] where[0] the[0] big[0] man[0] has[0] ended[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the first time in recent memory , an arnold action movie ( and " batman & robin " doesn't count ) is no fun at all . 	for the first time in recent memory , an arnold action movie ( and " batman & robin " doesn't count ) is no fun at all .	2	-1	 for[0] the[0] first[0] time[0] in[0] recent[0] memory[0] an[0] arnold[0] action[0] movie[0] and[0] batman[0] &[0] robin[0] doesn't[0] count[0] is[0] no[0] fun[1] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " end of days " is a major stinker . 	 " end of days " is a major stinker .	1	-3	 end[0] of[0] days[0] is[0] a[0] major[0] stinker[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie opens in vatican city , 1979 . 	the movie opens in vatican city , 1979 .	1	-1	 the[0] movie[0] opens[0] in[0] vatican[0] city[0] 1979[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some catholic priests have observed an ancient prophecy , which says that a girl will be born on that night that satan will have targeted for impregnation . 	some catholic priests have observed an ancient prophecy , which says that a girl will be born on that night that satan will have targeted for impregnation .	1	-3	 some[0] catholic[0] priests[0] have[0] observed[0] an[0] ancient[0] prophecy[0] which[0] says[0] that[0] a[0] girl[0] will[0] be[0] born[0] on[0] that[0] night[0] that[0] satan[-2] will[0] have[0] targeted[0] for[0] impregnation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if he impregnates her between 11 and midnight on december 31 , 1999 , the world will be destroyed . 	if he impregnates her between 11 and midnight on december 31 , 199 , the world will be destroyed .	1	-3	 if[0] he[0] impregnates[0] her[0] between[0] 11[0] and[0] midnight[0] on[0] december[0] 31[0] 1999/199[0] the[0] world[0] will[0] be[0] destroyed[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the pope orders protection of this girl , though some priests believe she ought to be killed . 	the pope orders protection of this girl , though some priests believe she ought to be killed .	1	-4	 the[0] pope[0] orders[0] protection[0] of[0] this[0] girl[0] though[0] some[0] priests[0] believe[0] she[0] ought[0] to[0] be[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in new york , that very night , a girl is born to fulfill the prophecy . 	in new york , that very night , a girl is born to fulfil the prophecy .	1	-1	 in[0] new[0] york[0] that[0] very[0] night[0] a[0] girl[0] is[0] born[0] to[0] fulfill/fulfil[0] the[0] prophecy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
twenty years later , we meet jericho cane ( schwarzenegger ) , a suicidal ex-cop with a drinking problem . 	twenty years later , we meet jericho cane ( schwarzenegger ) , a suicidal ex-cop with a drinking problem .	1	-2	 twenty[0] years[0] later[0] we[0] meet[0] jericho[0] cane[0] schwarzenegger[0] a[0] suicidal[0] ex[0] cop[0] with[0] a[0] drinking[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
