plot summary : the year is 2024 . 	Translation	Positive	Negative	EmotionRationale
the ozone layer has long since gone and the earth is now protected from radiation by a shield invented by connor mccleod . 	the ozone layer has long since gone and the earth is now protected from radiation by a shield invented by connor mccleod .	1	-1	 the[0] ozone[0] layer[0] has[0] long[0] since[0] gone[0] and[0] the[0] earth[0] is[0] now[0] protected[0] from[0] radiation[0] by[0] a[0] shield[0] invented[0] by[0] connor[0] mccleod[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the shield , although saving lives , has made the atmosphere hot and humid . 	the shield , although saving lives , has made the atmosphere hot and humid .	1	-1	 the[0] shield[0] although[0] saving[0] lives[0] has[0] made[0] the[0] atmosphere[0] hot[0] and[0] humid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
connor is a mortal and a tired old man who has given up hope . 	connor is a mortal and a tired old man who has given up hope .	3	-2	 connor[0] is[0] a[0] mortal[0] and[0] a[0] tired[-1] old[0] man[0] who[0] has[0] given[0] up[0] hope[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on returning from the opera one night connor is accosted by the leader of a " terrorist " organisation . 	on returning from the opera one night connor is accosted by the leader of a " terrorist " organisation .	1	-3	 on[0] returning[0] from[0] the[0] opera[0] one[0] night[0] connor[0] is[0] accosted[-1] by[0] the[0] leader[0] of[0] a[0] terrorist[-2] organisation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they have tried to find out what the company that now runs the shield unit are covering up . 	they have tried to find out what the company that now runs the shield unit are covering up .	1	-1	 they[0] have[0] tried[0] to[0] find[0] out[0] what[0] the[0] company[0] that[0] now[0] runs[0] the[0] shield[0] unit[0] are[0] covering[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
connor is then attacked by two assassins sent by katana from the planet zeist ( like zeit--get it ? ) . 	connor is then attacked by two assassins sent by katana from the planet zeist ( like zeit-get it ?<br> ) .	2	-3	 connor[0] is[0] then[0] attacked[-2] by[0] two[0] assassins[-2] sent[0] by[0] katana[0] from[0] the[0] planet[0] zeist[0] like[1] zeit[0] get[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they fail and connor becomes immortal again by chopping their heads off . 	they fail and connor becomes immortal again by chopping their heads off .	2	-3	 they[0] fail[-2] and[0] connor[0] becomes[0] immortal[1] again[0] by[0] chopping[0] their[0] heads[0] off[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he then brings ramirez back to life in glencoe in scotland . 	he then brings ramirez back to life in glencoe in scotland .	1	-1	 he[0] then[0] brings[0] ramirez[0] back[0] to[0] life[0] in[0] glencoe[0] in[0] scotland[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both ramirez and connor are rebel leaders back on zeist and have been sent to earth as punishment . 	both ramirez and connor are rebel leaders back on zeist and have been sent to earth as punishment .	1	-2	 both[0] ramirez[0] and[0] connor[0] are[0] rebel[-1] leaders[0] back[0] on[0] zeist[0] and[0] have[0] been[0] sent[0] to[0] earth[0] as[0] punishment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
connor now has the option to return being the last one but opts to stay with his new found immortality and fight to find out about the company and the shield . 	connor now has the option to return being the last one but opts to stay with his new found immortality and fight to find out about the company and the shield .	1	-3	 connor[0] now[0] has[0] the[0] option[0] to[0] return[0] being[0] the[0] last[0] one[0] but[0] opts[0] to[0] stay[0] with[0] his[0] new[0] found[0] immortality[0] and[0] fight[-2] to[0] find[0] out[0] about[0] the[0] company[0] and[0] the[0] shield[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
katana meanwhile , fearing connor would return , sets out himself to kill the highlander . 	katana meanwhile , fearing connor would return , sets out himself to kill the highlander .	1	-3	 katana[0] meanwhile[0] fearing[-2] connor[0] would[0] return[0] sets[0] out[0] himself[0] to[0] kill[-1] the[0] highlander[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you have never seen it . 	if you have never seen it .	1	-1	 if[0] you[0] have[0] never[0] seen[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
being a fan of highlander and mr . connery , i was in the cinema as soon as i could to see highlander ii : the quickening . 	being a fan of highlander and mr .<br> connery , i was in the cinema as soon as i could to see highlander i : the quickening .	1	-1	 being[0] a[0] fan[0] of[0] highlander[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] connery[0] i[0] was[0] in[0] the[0] cinema[0] as[0] soon[0] as[0] i[0] could[0] to[0] see[0] highlander[0] ii/i[0] the[0] quickening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wish it had been quicker . 	i wish it had been quicker .	1	-1	 i[0] wish[0] it[0] had[0] been[0] quicker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
