overblown remake of the 1963 robert wise film of the same name ( based on shirley jackson's novel " the haunting of hill house " ) stars lili taylor as one of three " lab rats " that participate in a supposed " insomnia " study being initiated by liam neeson . 	Translation	Positive	Negative	EmotionRationale
he is actually conducting a study on the causes of fear and why the human mind is still affected by it . 	he is actually conducting a study on the causes of fear and why the human mind is still affected by it .	1	-4	 he[0] is[0] actually[0] conducting[0] a[0] study[0] on[0] the[0] causes[0] of[0] fear[-3] and[0] why[0] the[0] human[0] mind[0] is[0] still[0] affected[0] by[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he drags the test subjects out to a foreboding mansion where all types of " creepy " cgi effects scare the cast and try the audience's patience . 	he drags the test subjects out to a foreboding mansion where all types of " creepy " cgi effects scare the cast and try the audience's patience .	1	-4	 he[0] drags[0] the[0] test[0] subjects[0] out[0] to[0] a[0] foreboding[-1] mansion[0] where[0] all[0] types[0] of[0] creepy[0] cgi[0] effects[0] scare[-3] the[0] cast[0] and[0] try[0] the[0] audience's[0] patience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i know this question has been posed before , but why do people keep remaking good movies ? 	i know this question has been posed before , but why do people keep remaking good movies ?	2	-1	 i[0] know[0] this[0] question[0] has[0] been[0] posed[0] before[0] but[0] why[0] do[0] people[0] keep[0] remaking[0] good[1] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the original was a great psychological horror film . 	the original was a great psychological horror film .	3	-4	 the[0] original[0] was[0] a[0] great[2] psychological[0] horror[-3] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this new version is dull and very decidedly not scary . 	this new version is dull and very decidedly not scary .	4	-2	 this[0] new[0] version[0] is[0] dull[-1] and[0] very[0] decidedly[0] not[0] scary[-3][NegatedDueToPreviousWord] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in fact , i feel it is downright impossible to make a modern day pg-13 horror movie that is scary . 	in fact , i feel it is downright impossible to make a modern day pg-13 horror movie that is scary .	1	-4	 in[0] fact[0] i[0] feel[0] it[0] is[0] downright[0] impossible[0] to[0] make[0] a[0] modern[0] day[0] pg[0] -13[0] horror[-3] movie[0] that[0] is[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unless you find obvious computer generated special effects frightening , then there's nothing in this film that will raise hackles . 	unless you find obvious computer generated special effects frightening , then there's nothing in this film that will raise hackles .	2	-4	 unless[0] you[0] find[0] obvious[0] computer[0] generated[0] special[1] effects[0] frightening[-3] then[0] there's[0] nothing[0] in[0] this[0] film[0] that[0] will[0] raise[0] hackles[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i nearly fell asleep twice during the film , and probably would have if they guy two rows behind me didn't seem to have such a personal relationship with the characters that he felt he needed to discuss every decision they made with them as the film progressed . 	i nearly fell asleep twice during the film , and probably would have if they guy two rows behind me didn't seem to have such a personal relationship with the characters that he felt he needed to discuss every decision they made with them as the film progressed .	1	-1	 i[0] nearly[0] fell[0] asleep[0] twice[0] during[0] the[0] film[0] and[0] probably[0] would[0] have[0] if[0] they[0] guy[0] two[0] rows[0] behind[0] me[0] didn't[0] seem[0] to[0] have[0] such[0] a[0] personal[0] relationship[0] with[0] the[0] characters[0] that[0] he[0] felt[0] he[0] needed[0] to[0] discuss[0] every[0] decision[0] they[0] made[0] with[0] them[0] as[0] the[0] film[0] progressed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's sad to see such an amazing cast wasted so badly . 	it's sad to see such an amazing cast wasted so badly .	3	-4	 it's[0] sad[-3] to[0] see[0] such[0] an[0] amazing[2] cast[0] wasted[-1] so[0] badly[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
owen wilson spends most of the film wandering the halls of the house , and the script does no justice to his wonderful comic ability . 	owen wilson spends most of the film wandering the halls of the house , and the script does no justice to his wonderful comic ability .	3	-1	 owen[0] wilson[0] spends[0] most[0] of[0] the[0] film[0] wandering[0] the[0] halls[0] of[0] the[0] house[0] and[0] the[0] script[0] does[0] no[0] justice[0] to[0] his[0] wonderful[2] comic[0] ability[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
catherine zeta-jones ( always nice to look at ) is given the woefully underwritten role of a bi-sexual insomniac that gets to run out of her bedroom perplexed every time some strange noise occurs . 	catherine zeta-jones ( always nice to look at ) is given the woefully underwritten role of a bi-sexual insomniac that gets to run out of her bedroom perplexed every time some strange noise occurs .	2	-3	 catherine[0] zeta[0] jones[0] always[0] nice[1] to[0] look[0] at[0] is[0] given[0] the[0] woefully[-2] underwritten[0] role[0] of[0] a[0] bi[0] sexual[0] insomniac[0] that[0] gets[0] to[0] run[0] out[0] of[0] her[0] bedroom[0] perplexed[-1] every[0] time[0] some[0] strange[0] noise[0] occurs[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
liam neeson pops in from time to time to talk into his tape recorder and attempt to convince the others that he has as much knowledge about what's going on as the rest of them do . 	liam neeson pops in from time to time to talk into his tape recorder and attempt to convince the others that he has as much knowledge about what's going on as the rest of them do .	1	-1	 liam[0] neeson[0] pops[0] in[0] from[0] time[0] to[0] time[0] to[0] talk[0] into[0] his[0] tape[0] recorder[0] and[0] attempt[0] to[0] convince[0] the[0] others[0] that[0] he[0] has[0] as[0] much[0] knowledge[0] about[0] what's[0] going[0] on[0] as[0] the[0] rest[0] of[0] them[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , poor lili taylor , the center of the film , gets the brunt of the cgi effects thrown at her while everyone else gets to scream and try to rescue her . 	finally , poor lili taylor , the center of the film , gets the brunt of the cgi effects thrown at her while everyone else gets to scream and try to rescue her .	1	-4	 finally[0] poor[-1] lili[0] taylor[0] the[0] center[0] of[0] the[0] film[0] gets[0] the[0] brunt[0] of[0] the[0] cgi[0] effects[0] thrown[0] at[0] her[0] while[0] everyone[0] else[0] gets[0] to[0] scream[-3] and[0] try[0] to[0] rescue[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
apparently , a subplot involving a tryst between zeta-jones and taylor's characters was filmed but removed . 	apparently , a subplot involving a tryst between zeta-jones and taylor's characters was filmed but removed .	1	-1	 apparently[0] a[0] subplot[0] involving[0] a[0] tryst[0] between[0] zeta[0] jones[0] and[0] taylor's[0] characters[0] was[0] filmed[0] but[0] removed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
