the new austin powers film continues a movie tradition begun in the eighties . 	Translation	Positive	Negative	EmotionRationale
produce something , anything , that will get the high school and junior high kids in the theater because they buy more soda and popcorn than senior citizens . 	produce something , anything , that will get the high school and junior high kids in the theater because they buy more soda and popcorn than senior citizens .	1	-1	 produce[0] something[0] anything[0] that[0] will[0] get[0] the[0] high[0] school[0] and[0] junior[0] high[0] kids[0] in[0] the[0] theater[0] because[0] they[0] buy[0] more[0] soda[0] and[0] popcorn[0] than[0] senior[0] citizens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the usual hallmarks of this filmmaking tradition are all here . 	the usual hallmarks of this filmmaking tradition are all here .	1	-1	 the[0] usual[0] hallmarks[0] of[0] this[0] filmmaking[0] tradition[0] are[0] all[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gross humor , sex jokes , silly sight gags , more sex jokes . 	gross humor , sex jokes , silly sight gags , more sex jokes .	3	-2	 gross[-1] humor[2] sex[0] jokes[1] silly[-1] sight[0] gags[0] more[0] sex[0] jokes[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and the film is a strong contender in the current race to be cruder , grosser and more outrageous than that last film . 	and the film is a strong contender in the current race to be cruder , grosser and more outrageous than that last film .	1	-3	 and[0] the[0] film[0] is[0] a[0] strong[0] contender[0] in[0] the[0] current[0] race[0] to[0] be[0] cruder[-1] grosser[-1] and[0] more[0] outrageous[-2] than[0] that[0] last[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what the film is not , however , is funny . 	what the film is not , however , is funny .	2	-1	 what[0] the[0] film[0] is[0] not[0] however[0] is[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot centers around the return of dr . evil , who goes back in time to steal austin powers' mojo ( a liquid with red stuff in it extracted from austin's pelvis ) which gives austin his sexual prowess and the charisma to defeat his enemies . 	the plot centers around the return of dr .<br> evil , who goes back in time to steal austin powers' mojo ( a liquid with red stuff in it extracted from austin's pelvis ) which gives austin his sexual prowess and the charisma to defeat his enemies .	1	-3	 the[0] plot[0] centers[0] around[0] the[0] return[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] who[0] goes[0] back[0] in[0] time[0] to[0] steal[-2] austin[0] powers'[0] mojo[0] a[0] liquid[0] with[0] red[0] stuff[0] in[0] it[0] extracted[0] from[0] austin's[0] pelvis[0] which[0] gives[0] austin[0] his[0] sexual[0] prowess[0] and[0] the[0] charisma[0] to[0] defeat[0] his[0] enemies[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
austin must go after him , and returns to the swinging sixties where free love and sexy secret agents had their heyday . 	austin must go after him , and returns to the swinging sixties where free love and sexy secret agents had their heyday .	3	-1	 austin[0] must[0] go[0] after[0] him[0] and[0] returns[0] to[0] the[0] swinging[0] sixties[0] where[0] free[0] love[2] and[0] sexy[2] secret[0] agents[0] had[0] their[0] heyday[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i almost avoided this film because i did not like the original . 	i almost avoided this film because i did not like the original .	1	-2	 i[0] almost[0] avoided[-1] this[0] film[0] because[0] i[0] did[0] not[0] like[1][NegatedDueToPreviousWord] the[0] original[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the films premise sounded like an excellent comic vehicle and the film received many good reviews . 	but the films premise sounded like an excellent comic vehicle and the film received many good reviews .	4	-1	 but[0] the[0] films[0] premise[0] sounded[0] like[1] an[0] excellent[3] comic[0] vehicle[0] and[0] the[0] film[0] received[0] many[0] good[1] reviews[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i wish i had stuck to my first impression . 	i wish i had stuck to my first impression .	1	-1	 i[0] wish[0] i[0] had[0] stuck[0] to[0] my[0] first[0] impression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
myers is trying to be the jerry lewis of this generation . 	myers is trying to be the jerry lewis of this generation .	1	-1	 myers[0] is[0] trying[0] to[0] be[0] the[0] jerry[0] lewis[0] of[0] this[0] generation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he has the talent to do it , at least as an actor . 	and he has the talent to do it , at least as an actor .	2	-1	 and[0] he[0] has[0] the[0] talent[1] to[0] do[0] it[0] at[0] least[0] as[0] an[0] actor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the material he is working with here , much of it his own , falls short of anything resembling comic genius . 	but the material he is working with here , much of it his own , falls short of anything resembling comic genius .	1	-1	 but[0] the[0] material[0] he[0] is[0] working[0] with[0] here[0] much[0] of[0] it[0] his[0] own[0] falls[0] short[0] of[0] anything[0] resembling[0] comic[0] genius[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
