absolute power , the new film produced and directed by clint eastwood , attempts to be a thriller set in the world of hypocritical presidents and their murderous political staff . 	Translation	Positive	Negative	EmotionRationale
it is about as thrilling as a lecture on the mating habits of the south american grasshopper . 	it is about as thrilling as a lecture on the mating habits of the south american grasshopper .	4	-1	 it[0] is[0] about[0] as[0] thrilling[3] as[0] a[0] lecture[0] on[0] the[0] mating[0] habits[0] of[0] the[0] south[0] american[0] grasshopper[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one can only wonder how an utterly absurd script like the one written by william goldman could have ever interested eastwood . 	one can only wonder how an utterly absurd script like the one written by william goldman could have ever interested eastwood .	2	-2	 one[0] can[0] only[0] wonder[0] how[0] an[0] utterly[0] absurd[-1] script[0] like[1] the[0] one[0] written[0] by[0] william[0] goldman[0] could[0] have[0] ever[0] interested[1] eastwood[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not only is the plot unbelievable and contrived , but even the writing itself lacks any consistency or intelligence . 	not only is the plot unbelievable and contrived , but even the writing itself lacks any consistency or intelligence .	1	-2	 not[0] only[0] is[0] the[0] plot[0] unbelievable[-1] and[0] contrived[0] but[0] even[0] the[0] writing[0] itself[0] lacks[0] any[0] consistency[0] or[0] intelligence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
continually underestimating the audience , the film gives us information we already know or dont even need . 	continually underestimating the audience , the film gives us information we already know or dont even need .	1	-1	 continually[0] underestimating[0] the[0] audience[0] the[0] film[0] gives[0] us[0] information[0] we[0] already[0] know[0] or[0] dont[0] even[0] need[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
details essential to the story are so improbably convenient they are annoying ( like why would two unprepared secret service men carry two night-vision goggles in their car ? ) . 	details essential to the story are so improbably convenient they are annoying ( like why would two unprepared secret service men carry two night-vision goggles in their car ?<br> ) .	2	-3	 details[0] essential[0] to[0] the[0] story[0] are[0] so[0] improbably[0] convenient[0] they[0] are[0] annoying[-2] like[1] why[0] would[0] two[0] unprepared[0] secret[0] service[0] men[0] carry[0] two[0] night[0] vision[0] goggles[0] in[0] their[0] car[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
oddly enough , the initial setup for absolute power offers interesting possibilities . 	oddly enough , the initial setup for absolute power offers interesting possibilities .	2	-1	 oddly[0] enough[0] the[0] initial[0] setup[0] for[0] absolute[0] power[0] offers[0] interesting[1] possibilities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a masterful jewel-thief ( played by clint eastwood ) witnesses the murder of the wife of a powerful millionaire ( played by e . g . 	a masterful jewel-thief ( played by clint eastwood ) witnesses the murder of the wife of a powerful millionaire ( played by e .<br> grin� .	1	-4	 a[0] masterful[0] jewel[0] thief[-1] played[0] by[0] clint[0] eastwood[0] witnesses[0] the[0] murder[-3] of[0] the[0] wife[0] of[0] a[0] powerful[0] millionaire[0] played[0] by[0] e[0] [[Sentence=-4,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
marshall ) . 	marshal ) .	1	-1	 marshall/marshal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while robbing one of marshalls mansions , he is forced to hide in the bedrooms vault . 	while robbing one of marshals mansions , he is forced to hide in the bedrooms vault .	1	-1	 while[0] robbing[0] one[0] of[0] marshalls/marshals[0] mansions[0] he[0] is[0] forced[0] to[0] hide[0] in[0] the[0] bedrooms[0] vault[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there , through a two-way mirror , he sees the wife and another man engage in passionate foreplay . 	there , through a two-way mirror , he sees the wife and another man engage in passionate foreplay .	3	-1	 there[0] through[0] a[0] two[0] way[0] mirror[0] he[0] sees[0] the[0] wife[0] and[0] another[0] man[0] engage[0] in[0] passionate[2] foreplay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
