for " original sin , " the road to the screen has been rocky . 	Translation	Positive	Negative	EmotionRationale
initially slated for release last november , the film was bumped twice , finally landing in the dog days of summer 2001 . 	initially slated for release last november , the film was bumped twice , finally landing in the dog days of summer 2001 .	1	-1	 initially[0] slated[0] for[0] release[0] last[0] november[0] the[0] film[0] was[0] bumped[0] twice[0] finally[0] landing[0] in[0] the[0] dog[0] days[0] of[0] summer[0] 2001[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
advance screenings of the film were denied to all but a few critics , generally a sign that the studio realizes it has a dud on its hands . 	advance screenings of the film were denied to all but a few critics , generally a sign that the studio realizes it has a dud on its hands .	1	-2	 advance[0] screenings[0] of[0] the[0] film[0] were[0] denied[-1] to[0] all[0] but[0] a[0] few[0] critics[0] generally[0] a[0] sign[0] that[0] the[0] studio[0] realizes[0] it[0] has[0] a[0] dud[0] on[0] its[0] hands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so is " original sin " really all that bad ? 	so is " original sin " really all that bad ?	1	-2	 so[0] is[0] original[0] sin[-1] really[0] all[0] that[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes it is , but the melodrama does offer some rewards . 	yes it is , but the melodrama does offer some rewards .	1	-1	 yes[0] it[0] is[0] but[0] the[0] melodrama[0] does[0] offer[0] some[0] rewards[1][-1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the location settings are gorgeous and there is a healthy sprinkling of t&a ( with angelina jolie providing the " t " and antonio banderas the " a " ) . 	the location settings are gorgeous and there is a healthy sprinkling of t&a ( with angelina jolie providing the " t " and antonio banderas the " a " ) .	3	-1	 the[0] location[0] settings[0] are[0] gorgeous[2] and[0] there[0] is[0] a[0] healthy[0] sprinkling[0] of[0] t&a[0] with[0] angelina[0] jolie[0] providing[0] the[0] t[0] and[0] antonio[0] banderas[0] the[0] a[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
more importantly , the movie is entertainingly bad . 	more importantly , the movie is entertainingly bad .	1	-2	 more[0] importantly[0] the[0] movie[0] is[0] entertainingly[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
veteran readers know that , as a rule , i don't encourage people to patronize lousy films . 	veteran readers know that , as a rule , i don't encourage people to patronize lousy films .	1	-3	 veteran[0] readers[0] know[0] that[0] as[0] a[0] rule[0] i[0] don't[0] encourage[1][NegatedDueToPreviousWord] people[0] to[0] patronize[0] lousy[-2] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of the time , there are plenty of quality offerings on the marketplace that are more deserving of our money and besides , the " let's go laugh at the failings of others " mindset reflects an elitism that makes me uncomfortable . 	most of the time , there are plenty of quality offerings on the marketplace that are more deserving of our money and besides , the " let's go laugh at the failings of others " mindset reflects an elitism that makes me uncomfortable .	2	-3	 most[0] of[0] the[0] time[0] there[0] are[0] plenty[0] of[0] quality[0] offerings[0] on[0] the[0] marketplace[0] that[0] are[0] more[0] deserving[0] of[0] our[0] money[0] and[0] besides[0] the[0] let's[0] go[0] laugh[1] at[0] the[0] failings[-2] of[0] others[0] mindset[0] reflects[0] an[0] elitism[0] that[0] makes[0] me[0] uncomfortable[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but things are different this summer . 	but things are different this summer .	1	-1	 but[0] things[0] are[0] different[0] this[0] summer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quality films , to put it mildly , have been few and far between , so as far as i'm concerned , it's fair to find our kicks where we may . 	quality films , to put it mildly , have been few and far between , so as far as i'm concerned , it's fair to find our kicks where we may .	1	-2	 quality[0] films[0] to[0] put[0] it[0] mildly[0] have[0] been[0] few[0] and[0] far[0] between[0] so[0] as[0] far[0] as[0] i'm[0] concerned[-1] it's[0] fair[0] to[0] find[0] our[0] kicks[-1] where[0] we[0] may[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
