if you don't think kevin kline in drag is funny , wait ? til you see will smith in drag-it's even less funny . 	Translation	Positive	Negative	EmotionRationale
by the time jim west ( smith ) disguised himself as a belly dancer to bail his captured comrade , artemus gordon ( kline ) , from the clutches of evil dr . loveless ( branagh ) , i was unequivocally bored by wild wild west , the new summer blockbuster from men in black director barry sonnenfeld . 	by the time jim west ( smith ) disguised himself as a belly dancer to bail his captured comrade , artemus gordon ( kline ) , from the clutches of evil dr .<br> loveless ( branagh ) , i was unequivocally bored by wild wild west , the new summer blockbuster from men in black director barry sonnenfeld .	1	-3	 by[0] the[0] time[0] jim[0] west[0] smith[0] disguised[0] himself[0] as[0] a[0] belly[0] dancer[0] to[0] bail[-1] his[0] captured[-1] comrade[0] artemus[0] gordon[0] kline[0] from[0] the[0] clutches[0] of[0] evil[-2] dr[0] [[Sentence=-3,1=word max, 1-5]] loveless[-2] branagh[0] i[0] was[0] unequivocally[0] bored[-1] by[0] wild[0] wild[0] west[0] the[0] new[0] summer[0] blockbuster[-1] from[0] men[0] in[0] black[0] director[0] barry[0] sonnenfeld[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is the old west really a breeding ground for high comedy , anyway ? 	is the old west really a breeding ground for high comedy , anyway ?	1	-1	 is[0] the[0] old[0] west[0] really[0] a[0] breeding[0] ground[0] for[0] high[0] comedy[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( if your answer is no , then you recall rustler's rhapsody or back to the future part iii ; if your answer is yes , you're thinking of blazing saddles , but that movie was a parody of the western genre , not a nineteenth century romp . ) 	 ( if your answer is no , then you recall rustler's rhapsody or back to the future part i ; if your answer is yes , you're thinking of blazing saddles , but that movie was a parody of the western genre , not a nineteenth century romp .<br> )	2	-1	 if[0] your[0] answer[0] is[0] no[0] then[0] you[0] recall[0] rustler's[0] rhapsody[0] or[0] back[0] to[0] the[0] future[0] part[0] iii/i[0][+0.6 MultipleLetters] if[0] your[0] answer[0] is[0] yes[0] you're[0] thinking[0] of[0] blazing[0] saddles[0] but[0] that[0] movie[0] was[0] a[0] parody[0] of[0] the[0] western[0] genre[0] not[0] a[0] nineteenth[0] century[0] romp[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1869 . jim west is a quick-draw lawman who teams up with brainiac federal agent gordon , under orders from president grant ( kline again , whose impression , for all we know , is dead-on ) , to apprehend legless loveless , the mad inventor who is plotting to divvy up the united states and sell it back to britain and spain . 	1869 .<br> jim west is a quick-draw lawman who teams up with brainiac federal agent gordon , under orders from president grant ( kline again , whose impression , for all we know , is dead-on ) , to apprehend legless loveless , the mad inventor who is plotting to divy up the united states and sell it back to britain and spain .	1	-3	 1869[0] [[Sentence=-1,1=word max, 1-5]] jim[0] west[0] is[0] a[0] quick[0] draw[0] lawman[0] who[0] teams[0] up[0] with[0] brainiac[0] federal[0] agent[0] gordon[0] under[0] orders[0] from[0] president[0] grant[0] kline[0] again[0] whose[0] impression[0] for[0] all[0] we[0] know[0] is[0] dead[-2] on[0] to[0] apprehend[0] legless[0] loveless[-2] the[0] mad[-1] inventor[0] who[0] is[0] plotting[0] to[0] divvy/divy[0] up[0] the[0] united[0] states[0] and[0] sell[0] it[0] back[0] to[0] britain[0] and[0] spain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how will loveless accomplish this ? 	how will loveless accomplish this ?	2	-3	 how[0] will[0] loveless[-2] accomplish[1] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
well , by hulking around the desert in an enormous , mechanical tarantula , of course . 	well , by hulking around the desert in an enormous , mechanical tarantula , of course .	1	-1	 well[0] by[0] hulking[0] around[0] the[0] desert[0] in[0] an[0] enormous[0] mechanical[0] tarantula[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bosomy dance hall girl rita escobar ( hayek ) , whose scientist father was kidnapped by loveless , joins west and gordon on their gadget-filled train . 	bosomy dance hall girl rita escobar ( hayek ) , whose scientist father was kidnapped by loveless , joins west and gordon on their gadget-filled train .	1	-3	 bosomy[0] dance[0] hall[0] girl[0] rita[0] escobar[0] hayek[0] whose[0] scientist[0] father[0] was[0] kidnapped[0] by[0] loveless[-2] joins[0] west[0] and[0] gordon[0] on[0] their[0] gadget[0] filled[0] train[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( gordon first discovers rita in a cage , waiting to be rescued . ) 	 ( gordon first discovers rita in a cage , waiting to be rescued .<br> )	1	-1	 gordon[0] first[0] discovers[0] rita[0] in[0] a[0] cage[0] waiting[0] to[0] be[0] rescued[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
racial politics obviously prevented the filmmakers from pairing dull rita romantically with west , despite the movie's " hip " attitude toward the black thing . 	racial politics obviously prevented the filmmakers from pairing dull rita romantically with west , despite the movie's " hip " attitude toward the black thing .	4	-2	 racial[0] politics[0] obviously[0] prevented[0] the[0] filmmakers[0] from[0] pairing[0] dull[-1] rita[0] romantically[3] with[0] west[0] despite[0] the[0] movie's[0] hip[0] attitude[0] toward[0] the[0] black[0] thing[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 ( west automatically shoots anyone who calls him a " nigger " before that person can finish speaking the word . 	 ( west automatically shoots anyone who calls him a " niger " before that person can finish speaking the word .	1	-2	 west[0] automatically[0] shoots[-1] anyone[0] who[0] calls[0] him[0] a[0] nigger/niger[0] before[0] that[0] person[0] can[0] finish[0] speaking[0] the[0] word[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
super . ) 	super .<br> )	3	-1	 super[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at any rate , i kept waiting for rita to say something humourous , but she's a walking dress-up toy . 	at any rate , i kept waiting for rita to say something humourous , but she's a walking dress-up toy .	3	-1	 at[0] any[0] rate[0] i[0] kept[0] waiting[0] for[0] rita[0] to[0] say[0] something[0] humourous[2] but[0] she's[0] a[0] walking[0] dress[0] up[0] toy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( her single comic moment is also the best shot of the film : she bashfully reveals bare bumcheeks through the peek-a-boo flap of her pyjamas . ) 	 ( her single comic moment is also the best shot of the film : she bashfully reveals bare bumcheeks through the peek-a-boo flap of her pyjamas .<br> )	2	-3	 her[0] single[0] comic[0] moment[0] is[0] also[0] the[0] best[1] shot[-1] of[0] the[0] film[0] she[0] bashfully[-2] reveals[0] bare[0] bumcheeks[0] through[0] the[0] peek[0] a[0] boo[0] flap[0] of[0] her[0] pyjamas[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jim west is the role that finally stymied will smith , whose comic timing has always been hit or miss , as episodes of " the fresh prince of bel-air " demonstrate . 	jim west is the role that finally stymied will smith , whose comic timing has always been hit or miss , as episodes of " the fresh prince of bel-air " demonstrate .	2	-2	 jim[0] west[0] is[0] the[0] role[0] that[0] finally[0] stymied[0] will[0] smith[0] whose[0] comic[0] timing[0] has[0] always[0] been[0] hit[0] or[0] miss[-1] as[0] episodes[0] of[0] the[0] fresh[0] prince[0] of[0] bel[0] air[0] demonstrate[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
smith's a better reactor than actor , which is why he was so thoroughly engaging in men in black-he didn't start out a hero . 	smith's a better reactor than actor , which is why he was so thoroughly engaging in men in black-he didn't start out a hero .	3	-1	 smith's[0] a[0] better[0] reactor[0] than[0] actor[0] which[0] is[0] why[0] he[0] was[0] so[0] thoroughly[0] engaging[0] in[0] men[0] in[0] black[0] he[0] didn't[0] start[0] out[0] a[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in wild wild west he's required to exude eastwood cool and amuse at the same time ( and from frame one ) , a difficult feat i'm not sure any living performer could pull off . 	in wild wild west he's required to exude eastwood cool and amuse at the same time ( and from frame one ) , a difficult feat i'm not sure any living performer could pull off .	2	-2	 in[0] wild[0] wild[0] west[0] he's[0] required[0] to[0] exude[0] eastwood[0] cool[1] and[0] amuse[1] at[0] the[0] same[0] time[0] and[0] from[0] frame[0] one[0] a[0] difficult[-1] feat[0] i'm[0] not[0] sure[0] any[0] living[0] performer[0] could[0] pull[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
