talk about beating a dead horse ! 	Translation	Positive	Negative	EmotionRationale
when home alone was released in 1990 , it was a breath of fresh air , and the final box office tally indicated how much audiences appreciated a genuinely-funny family film . 	when home alone was released in 1990 , it was a breath of fresh air , and the final box office tally indicated how much audiences appreciated a genuinely-funny family film .	2	-1	 when[0] home[0] alone[0] was[0] released[0] in[0] 1990[0] it[0] was[0] a[0] breath[0] of[0] fresh[0] air[0] and[0] the[0] final[0] box[0] office[0] tally[0] indicated[0] how[0] much[0] audiences[0] appreciated[1] a[0] genuinely[0] funny[1] family[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the unexpectedly high gross guaranteed a sequel , so , two years later , we were subjected to home alone 2 , which might as well have been called clone alone for all of the originality it exhibited . 	the unexpectedly high gross guaranteed a sequel , so , two years later , we were subjected to home alone 2 , which might as well have been called clone alone for all of the originality it exhibited .	1	-2	 the[0] unexpectedly[-1] high[0] gross[-1] guaranteed[0] a[0] sequel[0] so[0] two[0] years[0] later[0] we[0] were[0] subjected[0] to[0] home[0] alone[0] 2[0] which[0] might[0] as[0] well[0] have[0] been[0] called[0] clone[0] alone[0] for[0] all[0] of[0] the[0] originality[0] it[0] exhibited[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for john hughes , two home alone movies weren't enough ? he began recycling the same kinds of villains and situations in almost every movie he was involved with , including a pathetic box office bomb called baby's day out , last year's live-action 101 dalmatians , and this year's flubber . 	for john hughes , two home alone movies weren't enough ?<br> he began recycling the same kinds of villains and situations in almost every movie he was involved with , including a pathetic box office bomb called baby's day out , last year's live-action 101 dalmatians , and this year's flubber .	1	-3	 for[0] john[0] hughes[0] two[0] home[0] alone[0] movies[0] weren't[0] enough[0] [[Sentence=-1,1=word max, 1-5]] he[0] began[0] recycling[0] the[0] same[0] kinds[0] of[0] villains[-2] and[0] situations[0] in[0] almost[0] every[0] movie[0] he[0] was[0] involved[0] with[0] including[0] a[0] pathetic[-2] box[0] office[0] bomb[-1] called[0] baby's[0] day[0] out[0] last[0] year's[0] live[0] action[0] 101[0] dalmatians[0] and[0] this[0] year's[0] flubber[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now , inexplicably , hughes has exhumed not only these worn-out plot elements , but the " home alone " name as well . 	now , inexplicably , hughes has exhumed not only these worn-out plot elements , but the " home alone " name as well .	1	-2	 now[0] inexplicably[0] hughes[0] has[0] exhumed[0] not[0] only[0] these[0] worn[-1] out[0] plot[0] elements[0] but[0] the[0] home[0] alone[0] name[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result ? 1997's worst sequel ( edging out speed 2 and batman and robin ) , home alone 3 . 	the result ?<br> 1997's worst sequel ( edging out speed 2 and batman and robin ) , home alone 3 .	1	-3	 the[0] result[0] [[Sentence=-1,1=word max, 1-5]] 1997's[0] worst[-2] sequel[0] edging[0] out[0] speed[0] 2[0] and[0] batman[0] and[0] robin[0] home[0] alone[0] 3[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by changing the characters , hughes ( who wrote and co-produced the film ) , along with his co-conspirator , director raja gosnell , has attempted to inject new life into a series that is way past the point of cardiac arrest . 	by changing the characters , hughes ( who wrote and co-produced the film ) , along with his co-conspirator , director raja gosnell , has attempted to inject new life into a series that is way past the point of cardiac arrest .	1	-2	 by[0] changing[0] the[0] characters[0] hughes[0] who[0] wrote[0] and[0] co[0] produced[0] the[0] film[0] along[0] with[0] his[0] co[0] conspirator[-1] director[0] raja[0] gosnell[0] has[0] attempted[0] to[0] inject[0] new[0] life[0] into[0] a[0] series[0] that[0] is[0] way[0] past[0] the[0] point[0] of[0] cardiac[0] arrest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the new kid , alex pruitt , is played by alex d . linz ( one fine day ) , and the only thing he has going for him is terminal cuteness . 	the new kid , alex pruitt , is played by alex d .<br> linz ( one fine day ) , and the only thing he has going for him is terminal cuteness .	3	-1	 the[0] new[0] kid[0] alex[0] pruitt[0] is[0] played[0] by[0] alex[0] d[0] [[Sentence=-1,1=word max, 1-5]] linz[0] one[0] fine[2] day[0] and[0] the[0] only[0] thing[0] he[0] has[0] going[0] for[0] him[0] is[0] terminal[0] cuteness[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's not half as interesting as macaulay culkin once was . 	he's not half as interesting as macaulay culkin once was .	2	-1	 he's[0] not[0] half[0] as[0] interesting[1] as[0] macaulay[0] culkin[0] once[0] was[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the villains , pale copies of joe pesci and daniel stern , are even less engaging than the pair of idiots in flubber . 	the villains , pale copies of joe pesci and daniel stern , are even less engaging than the pair of idiots in flubber .	1	-3	 the[0] villains[-2] pale[0] copies[0] of[0] joe[0] pesci[0] and[0] daniel[0] stern[-1] are[0] even[0] less[0] engaging[0] than[0] the[0] pair[0] of[0] idiots[-2] in[0] flubber[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in home alone 3 , there are four of them ( olek krupa , david thornton , lenny von dohlen , and rya kihlstedt ) , but all that means is an opportunity for twice as many pratfalls . 	in home alone 3 , there are four of them ( olek krupa , david thornton , lenny von dohlen , and rya kihlstedt ) , but all that means is an opportunity for twice as many pratfalls .	1	-1	 in[0] home[0] alone[0] 3[0] there[0] are[0] four[0] of[0] them[0] olek[0] krupa[0] david[0] thornton[0] lenny[0] von[0] dohlen[0] and[0] rya[0] kihlstedt[0] but[0] all[0] that[0] means[0] is[0] an[0] opportunity[0] for[0] twice[0] as[0] many[0] pratfalls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
