 " practical magic , " is a film that is so misguided in so many ways that it makes you wonder how such talented and high-profile actors would even get involved in an embarrassing clap-trap like this one . 	Translation	Positive	Negative	EmotionRationale
the film stars sandra bullock and nicole kidman as sally and gillian owens , two sisters whose family comes from a long line of witches , spanning back 200 years . 	the film stars sandra bullock and nicole kidman as sally and gillian owens , two sisters whose family comes from a long line of witches , spanning back 200 years .	1	-1	 the[0] film[0] stars[0] sandra[0] bullock[0] and[0] nicole[0] kidman[0] as[0] sally[0] and[0] gillian[0] owens[0] two[0] sisters[0] whose[0] family[0] comes[0] from[0] a[0] long[0] line[0] of[0] witches[0] spanning[0] back[0] 200[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the start , their parents die when they are still children , and they go to live with their two zany aunts ( stockard channing and dianne wiest ) . 	at the start , their parents die when they are still children , and they go to live with their two zany aunts ( stockard channing and dianne wiest ) .	1	-1	 at[0] the[0] start[0] their[0] parents[0] die[0] when[0] they[0] are[0] still[0] children[0] and[0] they[0] go[0] to[0] live[0] with[0] their[0] two[0] zany[0] aunts[0] stockard[0] channing[0] and[0] dianne[0] wiest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
switch to the present day , gillian , who is the stronger , more rebellious sibling , leaves home , and meets up with a dark , abusive guy ( goran visjnic ) , while sally stays in their hometown , meets and falls in love with a sweet , caring man , has two children , and then is devastated when her husband is hit by a truck and killed ( come to think of it , she's not too devastated since she gets over it in about two minutes ) . 	switch to the present day , gillian , who is the stronger , more rebellious sibling , leaves home , and meets up with a dark , abusive guy ( goran visjnic ) , while sally stays in their hometown , meets and falls in love with a sweet , caring man , has two children , and then is devastated when her husband is hit by a truck and killed ( come to think of it , she's not too devastated since she gets over it in about two minutes ) .	5	-5	 switch[0] to[0] the[0] present[0] day[0] gillian[0] who[0] is[0] the[0] stronger[0] more[0] rebellious[-1] sibling[0] leaves[0] home[0] and[0] meets[0] up[0] with[0] a[0] dark[0] abusive[-3] guy[0] goran[0] visjnic[0] while[0] sally[0] stays[0] in[0] their[0] hometown[0] meets[0] and[0] falls[0] in[0] love[2] with[0] a[0] sweet[1] caring[2] man[0] has[0] two[0] children[0] and[0] then[0] is[0] devastated[-4] when[0] her[0] husband[0] is[0] hit[0] by[0] a[0] truck[0] and[0] killed[-3] come[0] to[0] think[0] of[0] it[0] she's[0] not[0] too[0] devastated[-4][NegatedDueToPreviousWord] since[0] she[0] gets[0] over[0] it[0] in[0] about[0] two[0] minutes[0] [[Sentence=-5,5=word max, 1-5]][[[5,-5 max of sentences]]]
when gillian calls sally to come get her after having another abusive spat with visjnic , they accidentally murder him , and in desperation , bury the body in the backyard of their aunts' house . 	when gillian calls sally to come get her after having another abusive spat with visjnic , they accidentally murder him , and in desperation , bury the body in the backyard of their aunts' house .	1	-4	 when[0] gillian[0] calls[0] sally[0] to[0] come[0] get[0] her[0] after[0] having[0] another[0] abusive[-3] spat[0] with[0] visjnic[0] they[0] accidentally[-1] murder[-3] him[0] and[0] in[0] desperation[-2] bury[-2][-1 MultiplePositiveWords] the[0] body[0] in[0] the[0] backyard[0] of[0] their[0] aunts'[0] house[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
add to this wildly convoluted story subplots involving the dead rising and an exorcism , not to mention a spattering of " light-hearted whimsy , " and you have a pretty good idea how messy " practical magic " is . 	add to this wildly convoluted story subplots involving the dead rising and an exorcism , not to mention a spattering of " light-hearted whimsy , " and you have a pretty good idea how messy " practical magic " is .	3	-3	 add[0] to[0] this[0] wildly[0] convoluted[0] story[0] subplots[0] involving[0] the[0] dead[-2] rising[0] and[0] an[0] exorcism[0] not[0] to[0] mention[0] a[0] spattering[0] of[0] light[0] hearted[0] whimsy[0] and[0] you[0] have[0] a[0] pretty[2] good[1] idea[0] how[0] messy[0] practical[0] magic[0] is[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after seeing the film , i reflected that there was not even one scene , or element , that i liked or enjoyed . 	after seeing the film , i reflected that there was not even one scene , or element , that i liked or enjoyed .	3	-1	 after[0] seeing[0] the[0] film[0] i[0] reflected[0] that[0] there[0] was[0] not[0] even[0] one[0] scene[0] or[0] element[0] that[0] i[0] liked[2] or[0] enjoyed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is a comedy , to be sure , but all of the humor falls astoundingly flat , and the occasional dramatic moments are the least bit touching . 	it is a comedy , to be sure , but all of the humor falls astoundingly flat , and the occasional dramatic moments are the least bit touching .	3	-1	 it[0] is[0] a[0] comedy[0] to[0] be[0] sure[0] but[0] all[0] of[0] the[0] humor[2] falls[0] astoundingly[0] flat[0] and[0] the[0] occasional[0] dramatic[0] moments[0] are[0] the[0] least[0] bit[0] touching[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is not charming or entertaining in any way . 	it is not charming or entertaining in any way .	1	-2	 it[0] is[0] not[0] charming[1][NegatedDueToPreviousWord] or[0] entertaining[0] in[0] any[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and then to top it off , we've got this dark , but bird-brained story of an evil spirit taking over gillian's body . 	and then to top it off , we've got this dark , but bird-brained story of an evil spirit taking over gillian's body .	1	-3	 and[0] then[0] to[0] top[0] it[0] off[0] we've[0] got[0] this[0] dark[0] but[0] bird[0] brained[0] story[0] of[0] an[0] evil[-2] spirit[0] taking[0] over[0] gillian's[0] body[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
