it rocks-actually , lots of rocks fly at us or from us , in slow or fast motion , at several points in the film . 	Translation	Positive	Negative	EmotionRationale
they seem like dangerous rocks because they kind of twirl through the air instead of just propelling forward , and when they land-once in a while , when we need a break from the space sequences-they cause damage enough to destroy the chrysler building and the like . 	they seem like dangerous rocks because they kind of twirl through the air instead of just propelling forward , and when they land-once in a while , when we need a break from the space sequences-they cause damage enough to destroy the chrysler building and the like .	2	-3	 they[0] seem[0] like[1] dangerous[-1] rocks[0] because[0] they[0] kind[1] of[0] twirl[0] through[0] the[0] air[0] instead[0] of[0] just[0] propelling[0] forward[0] and[0] when[0] they[0] land[0] once[0] in[0] a[0] while[0] when[0] we[0] need[0] a[0] break[0] from[0] the[0] space[0] sequences[0] they[0] cause[0] damage[0] enough[0] to[0] destroy[-2] the[0] chrysler[0] building[0] and[0] the[0] like[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( nary a mention of these apocalyptic events is made after they occur . ) 	 ( nary a mention of these apocalyptic events is made after they occur .<br> )	1	-1	 nary[0] a[0] mention[0] of[0] these[0] apocalyptic[0] events[0] is[0] made[0] after[0] they[0] occur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they also just might be the most interesting element of armageddon , a steroid user's answer to deep impact . 	they also just might be the most interesting element of armageddon , a steroid user's answer to deep impact .	2	-1	 they[0] also[0] just[0] might[0] be[0] the[0] most[0] interesting[1] element[0] of[0] armageddon[0] a[0] steroid[0] user's[0] answer[0] to[0] deep[0] impact[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bruce willis stars as harry stamper , a famed oil-driller commissioned by the white house and nasa to stop a giant asteroid before it travels beyond " zero barrier " and destroys our planet . 	bruce willis stars as harry stamper , a famed oil-driller commissioned by the white house and nasa to stop a giant asteroid before it travels beyond " zero barrier " and destroys our planet .	1	-3	 bruce[0] willis[0] stars[0] as[0] harry[0] stamper[0] a[0] famed[0] oil[0] driller[0] commissioned[0] by[0] the[0] white[0] house[0] and[0] nasa[0] to[0] stop[0] a[0] giant[0] asteroid[0] before[0] it[0] travels[0] beyond[0] zero[0] barrier[-1] and[0] destroys[-2] our[0] planet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why an oil driller ? 	why an oil driller ?	1	-1	 why[0] an[0] oil[0] driller[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they require someone experience with deep-core mining to plant a nuclear missile into said asteroid . 	they require someone experience with deep-core mining to plant a nuclear missile into said asteroid .	1	-1	 they[0] require[0] someone[0] experience[0] with[0] deep[0] core[0] mining[0] to[0] plant[0] a[0] nuclear[0] missile[0] into[0] said[0] asteroid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( in one unintentionally ( ? ) 	 ( in one unintentionally ( ?<br> )	1	-1	 in[0] one[0] unintentionally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hilarious sequence , nasa asks harry to inspect a deep-core driller they built based on his blueprints ; it is poorly constructed-harry criticizes almost every aspect of it . 	hilarious sequence , nasa asks harry to inspect a deep-core driller they built based on his blueprints ; it is poorly constructed-harry criticizes almost every aspect of it .	3	-2	 hilarious[2] sequence[0] nasa[0] asks[0] harry[0] to[0] inspect[0] a[0] deep[0] core[0] driller[0] they[0] built[0] based[0] on[0] his[0] blueprints[0] it[0] is[0] poorly[-1] constructed[0] harry[0] criticizes[-1] almost[0] every[0] aspect[0] of[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we trust nasa to build space shuttles ? ) 	we trust nasa to build space shuttles ?<br> )	2	-1	 we[0] trust[1] nasa[0] to[0] build[0] space[0] shuttles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
harry assembles the obligatory " ragtag " bunch of " cowboys " , including a blond guy , a fat guy , a black guy , a wiseass , and the man who is sleeping with his daughter ( affleck ) . 	harry assembles the obligatory " ragtag " bunch of " cowboys " , including a blond guy , a fat guy , a black guy , a wiseass , and the man who is sleeping with his daughter ( affleck ) .	1	-2	 harry[0] assembles[0] the[0] obligatory[0] ragtag[0] bunch[0] of[0] cowboys[0] including[0] a[0] blond[0] guy[0] a[0] fat[-1] guy[0] a[0] black[0] guy[0] a[0] wiseass[0] and[0] the[0] man[0] who[0] is[0] sleeping[0] with[0] his[0] daughter[0] affleck[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
