 * * * the following review contains some harsh language . . . 	Translation	Positive	Negative	EmotionRationale
but what did you expect when you clicked on this title ? 	but what did you expect when you clicked on this title ?	1	-1	 but[0] what[0] did[0] you[0] expect[0] when[0] you[0] clicked[0] on[0] this[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * 	 * * *	1	-1	[[[0,0 max of sentences]]]
cast : kristen holly smith , danica sheridan , alex boling , michael dotson , sonya hensley , janet krajeski , sabrina lu , dionysius burbano , calvin grant , jeff b . harmon written and directed by : jeff b . harmon running time : 97 minutes 	cast : kristen holly smith , danica sheridan , alex boling , michael dotson , sonya hensley , janet krajeski , sabrina lu , dionysius burbano , calvin grant , jeff b .<br> harmon written and directed by : jeff b .<br> harmon running time : 97 minutes	2	-1	 cast[0] kristen[0] holly[0] smith[0] danica[0] sheridan[0] alex[0] boling[0] michael[0] dotson[0] sonya[0] hensley[0] janet[0] krajeski[0] sabrina[0] lu[0] dionysius[0] burbano[0] calvin[0] grant[0] jeff[0] b[0] [[Sentence=-1,1=word max, 1-5]] harmon[1] written[0] and[0] directed[0] by[0] jeff[0] b[0] [[Sentence=-1,2=word max, 1-5]] harmon[1] running[0] time[0] 97[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the thought of losing you makes me all vomity inside . " 	 " the thought of losing you makes me all vomity inside .<br> "	1	-3	 the[0] thought[0] of[0] losing[-2] you[0] makes[0] me[0] all[0] vomity[-2] inside[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
--- blatz balinski ( danica sheridan ) laments the fact that her lesbian lover , april ( kristen holly smith ) , has just received a telegram from her ex-fiance . 	- blatz balinski ( danica sheridan ) laments the fact that her lesbian lover , april ( kristen holly smith ) , has just received a telegram from her ex-fiance .	4	-2	 blatz[0] balinski[0] danica[0] sheridan[0] laments[-1] the[0] fact[0] that[0] her[0] lesbian[0] lover[3] april[0] kristen[0] holly[0] smith[0] has[0] just[0] received[0] a[0] telegram[0] from[0] her[0] ex[0] fiance[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
isle of lesbos is an incredibly offensive musical comedy about april pfferpot ( smith ) , a resident of the small town of bumfuck , arkansas who is about to get married to high school sweetheart and football hero dick dickson ( michael dotson ) . 	isle of lesbos is an incredibly offensive musical comedy about april pfferpot ( smith ) , a resident of the small town of bumfuck , arkansas who is about to get married to high school sweetheart and football hero dick dickson ( michael dotson ) .	4	-5	 isle[0] of[0] lesbos[0] is[0] an[0] incredibly[0] offensive[-2][-2 LastWordBoosterStrength] musical[0] comedy[0] about[0] april[0] pfferpot[0] smith[0] a[0] resident[0] of[0] the[0] small[0] town[0] of[0] bumfuck[0] arkansas[0] who[0] is[0] about[0] to[0] get[0] married[0] to[0] high[0] school[0] sweetheart[3] and[0] football[0] hero[2] dick[0] dickson[0] michael[0] dotson[0] [[Sentence=-5,4=word max, 1-5]][[[4,-5 max of sentences]]]
when april gets extreme cold feet she runs home , sticks a gun in her mouth , and pulls the trigger . 	when april gets extreme cold feet she runs home , sticks a gun in her mouth , and pulls the trigger .	1	-2	 when[0] april[0] gets[0] extreme[0] cold[-1] feet[0] she[0] runs[0] home[0] sticks[0] a[0] gun[-1] in[0] her[0] mouth[0] and[0] pulls[0] the[0] trigger[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of killing herself , she is magically transported through her mirror into the isle of lesbos , an alternate dimension where lesbians rule and no men are allowed ( except for lance , the homosexual toilet cleaner/slave ) . 	instead of killing herself , she is magically transported through her mirror into the isle of lesbos , an alternate dimension where lesbians rule and no men are allowed ( except for lance , the homosexual toilet cleaner/slave ) .	1	-2	 instead[0] of[0] killing[-1] herself[0] she[0] is[0] magically[0] transported[0] through[0] her[0] mirror[0] into[0] the[0] isle[0] of[0] lesbos[0] an[0] alternate[0] dimension[0] where[0] lesbians[0] rule[0] and[0] no[0] men[0] are[0] allowed[0] except[0] for[0] lance[0] the[0] homosexual[0] toilet[0] cleaner/slave[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
april loves her new home and friends , but dick and her parents are not so ready to give her up . 	april loves her new home and friends , but dick and her parents are not so ready to give her up .	3	-1	 april[0] loves[2] her[0] new[0] home[0] and[0] friends[1] but[0] dick[0] and[0] her[0] parents[0] are[0] not[0] so[0] ready[0] to[0] give[0] her[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mr . and ms . pfferpot ( director jeff b . harmon and janet krajeski ) decide they need medical help so they enlist the aid of dr . sigmoid colon ( also jeff b . harmon ) , who claims he can cure homosexuality . 	mr .<br> and ms .<br> pfferpot ( director jeff b .<br> harmon and janet krajeski ) decide they need medical help so they enlist the aid of dr .<br> sigmoid colon ( also jeff b .<br> harmon ) , who claims he can cure homosexuality .	2	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] and[0] ms[0] [[Sentence=-1,1=word max, 1-5]] pfferpot[0] director[0] jeff[0] b[0] [[Sentence=-1,1=word max, 1-5]] harmon[1] and[0] janet[0] krajeski[0] decide[0] they[0] need[0] medical[0] help[0] so[0] they[0] enlist[0] the[0] aid[0] of[0] dr[0] [[Sentence=-1,2=word max, 1-5]] sigmoid[0] colon[0] also[0] jeff[0] b[0] [[Sentence=-1,1=word max, 1-5]] harmon[1] who[0] claims[0] he[0] can[0] cure[0] homosexuality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in actuality , dr . colon is homosexual as well and begins his special " treatment " on dick dickson ( unbeknownst to dick ) . 	in actuality , dr .<br> colon is homosexual as well and begins his special " treatment " on dick dickson ( unbeknownst to dick ) .	2	-1	 in[0] actuality[0] dr[0] [[Sentence=-1,1=word max, 1-5]] colon[0] is[0] homosexual[0] as[0] well[0] and[0] begins[0] his[0] special[1] treatment[0] on[0] dick[0] dickson[0] unbeknownst[0] to[0] dick[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when april turns down dick's demand for her to return to bumfuck , he decides to take matters in his own hands and attack the isle of lesbos rambo-style . 	when april turns down dick's demand for her to return to bumfuck , he decides to take matters in his own hands and attack the isle of lesbos rambo-style .	1	-3	 when[0] april[0] turns[0] down[0] dick's[0] demand[0] for[0] her[0] to[0] return[0] to[0] bumfuck[0] he[0] decides[0] to[0] take[0] matters[0] in[0] his[0] own[0] hands[0] and[0] attack[-2] the[0] isle[0] of[0] lesbos[0] rambo[0] style[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead of leveling the place he falls in love with lance ( alex boling ) and the two of them , along with april and her lover blatz , get married . 	instead of leveling the place he falls in love with lance ( alex boling ) and the two of them , along with april and her lover blatz , get married .	4	-1	 instead[0] of[0] leveling[0] the[0] place[0] he[0] falls[0] in[0] love[2] with[0] lance[0] alex[0] boling[0] and[0] the[0] two[0] of[0] them[0] along[0] with[0] april[0] and[0] her[0] lover[3] blatz[0] get[0] married[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 ( note to the filmmaker : why did the character of lance make asides to the camera followed by silence that i'm assuming was inserted for the purpose of waiting until the laughter of the audience had subsided ? ) 	 ( note to the filmmaker : why did the character of lance make asides to the camera followed by silence that i'm assuming was inserted for the purpose of waiting until the laughter of the audience had subsided ?<br> )	2	-1	 note[0] to[0] the[0] filmmaker[0] why[0] did[0] the[0] character[0] of[0] lance[0] make[0] asides[0] to[0] the[0] camera[0] followed[0] by[0] silence[0] that[0] i'm[0] assuming[0] was[0] inserted[0] for[0] the[0] purpose[0] of[0] waiting[0] until[0] the[0] laughter[1] of[0] the[0] audience[0] had[0] subsided[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
april's parents , feeling like there is no recourse , call in a favor to president clinton and send a nuclear bomb ( whose circuitry inexplicably is made up of a homosexual performer ) their way . 	april's parents , feeling like there is no recourse , call in a favor to president clinton and send a nuclear bomb ( whose circuitry inexplicably is made up of a homosexual performer ) their way .	2	-2	 april's[0] parents[0] feeling[0] like[1] there[0] is[0] no[0] recourse[0] call[0] in[0] a[0] favor[1] to[0] president[0] clinton[0] and[0] send[0] a[0] nuclear[0] bomb[-1] whose[0] circuitry[0] inexplicably[0] is[0] made[0] up[0] of[0] a[0] homosexual[0] performer[0] their[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the bomb is a dud thanks to the work of the " circuitry " and they re-wire it and send it back to washington d . c . , destroying it . 	the bomb is a dud thanks to the work of the " circuitry " and they re-wire it and send it back to washington d .<br> c .<br> , destroying it .	2	-3	 the[0] bomb[-1] is[0] a[0] dud[0] thanks[1] to[0] the[0] work[0] of[0] the[0] circuitry[0] and[0] they[0] re[0] wire[0] it[0] and[0] send[0] it[0] back[0] to[0] washington[0] d[0] [[Sentence=-2,2=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] destroying[-2] it[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
mr . and ms . pfferpot give up trying to get their daughter back and instead decide to join her as they have some alternative sexual practices of their own . 	mr .<br> and ms .<br> pfferpot give up trying to get their daughter back and instead decide to join her as they have some alternative sexual practices of their own .	1	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] and[0] ms[0] [[Sentence=-1,1=word max, 1-5]] pfferpot[0] give[0] up[0] trying[0] to[0] get[0] their[0] daughter[0] back[0] and[0] instead[0] decide[0] to[0] join[0] her[0] as[0] they[0] have[0] some[0] alternative[0] sexual[0] practices[0] of[0] their[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not sure if writer/director/co-star jeff b . harmon was purposely trying to offend people because he believes in some of the ideas his movie presents or if he was just going for cheap laughs . 	i'm not sure if writer/director/co-star jeff b .<br> harmon was purposely trying to offend people because he believes in some of the ideas his movie presents or if he was just going for cheap laughs .	2	-3	 i'm[0] not[0] sure[0] if[0] writer/director/co[0] star[0] jeff[0] b[0] [[Sentence=-1,1=word max, 1-5]] harmon[1] was[0] purposely[0] trying[0] to[0] offend[-2] people[0] because[0] he[0] believes[0] in[0] some[0] of[0] the[0] ideas[0] his[0] movie[0] presents[0] or[0] if[0] he[0] was[0] just[0] going[0] for[0] cheap[-1] laughs[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
either way , he manages to present some of the most offensive material i have ever seen in a movie . 	either way , he manages to present some of the most offensive material i have ever seen in a movie .	1	-3	 either[0] way[0] he[0] manages[0] to[0] present[0] some[0] of[0] the[0] most[0] offensive[-2] material[0] i[0] have[0] ever[0] seen[0] in[0] a[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film opens with a preacher running a small african-american child out of town , and then later moves on to the hanging of a michael jackson impersonator by the ku klux klan ( during a jaunty musical number ) , preceded by remarks about " gays and straights finally being able to put their differences behind them and work together to hate others , such as the jews " . 	the film opens with a preacher running a small african-american child out of town , and then later moves on to the hanging of a michael jackson impersonator by the ku klux klan ( during a jaunty musical number ) , preceded by remarks about " gays and straights finally being able to put their differences behind them and work together to hate others , such as the jews " .	1	-4	 the[0] film[0] opens[0] with[0] a[0] preacher[0] running[0] a[0] small[0] african[0] american[0] child[0] out[0] of[0] town[0] and[0] then[0] later[0] moves[0] on[0] to[0] the[0] hanging[0] of[0] a[0] michael[0] jackson[0] impersonator[0] by[0] the[0] ku[0] klux[0] klan[0] during[0] a[0] jaunty[0] musical[0] number[0] preceded[0] by[0] remarks[0] about[0] gays[0] and[0] straights[0] finally[0] being[0] able[0] to[0] put[0] their[0] differences[0] behind[0] them[0] and[0] work[0] together[0] to[0] hate[-3] others[0] such[0] as[0] the[0] jews[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if harmon was merely trying to point out how idiotic society can be , then i apologize for being so harsh on elements of his film , but it is presented so mean spiritedly that i can't help but feel like he had some serious intent . 	if harmon was merely trying to point out how idiotic society can be , then i apologize for being so harsh on elements of his film , but it is presented so mean spiritedly that i can't help but feel like he had some serious intent .	2	-3	 if[0] harmon[1] was[0] merely[0] trying[0] to[0] point[0] out[0] how[0] idiotic[-2] society[0] can[0] be[0] then[0] i[0] apologize[0] for[0] being[0] so[0] harsh[-1] on[0] elements[0] of[0] his[0] film[0] but[0] it[0] is[0] presented[0] so[0] mean[0] spiritedly[0] that[0] i[0] can't[0] help[0] but[0] feel[0] like[1] he[0] had[0] some[0] serious[-1][--1 LastWordBoosterStrength] intent[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as for the entire central theme of the movie , i'm afraid that it's one that i just don't get . 	as for the entire central theme of the movie , i'm afraid that it's one that i just don't get .	1	-4	 as[0] for[0] the[0] entire[0] central[0] theme[0] of[0] the[0] movie[0] i'm[0] afraid[-3] that[0] it's[0] one[0] that[0] i[0] just[0] don't[0] get[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i tried to keep an open mind while watching it , but the homosexual elements were just too prevalent for my tastes . 	i tried to keep an open mind while watching it , but the homosexual elements were just too prevalent for my tastes .	1	-1	 i[0] tried[0] to[0] keep[0] an[0] open[0] mind[0] while[0] watching[0] it[0] but[0] the[0] homosexual[0] elements[0] were[0] just[0] too[0] prevalent[0] for[0] my[0] tastes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was hard enough to watch them bash other races and sexes without them preaching about the virtues of being homosexual and accepted by society . 	it was hard enough to watch them bash other races and sexes without them preaching about the virtues of being homosexual and accepted by society .	3	-1	 it[0] was[0] hard[0] enough[0] to[0] watch[0] them[0] bash[0] other[0] races[0] and[0] sexes[0] without[0] them[0] preaching[0] about[0] the[0] virtues[2] of[0] being[0] homosexual[0] and[0] accepted[0] by[0] society[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
how does one expect to be accepted if they are just as guilty of non-acceptance ? 	how does one expect to be accepted if they are just as guilty of non-acceptance ?	1	-4	 how[0] does[0] one[0] expect[0] to[0] be[0] accepted[0] if[0] they[0] are[0] just[0] as[0] guilty[-3] of[0] non[0] acceptance[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'm not prone to judging anyone and i believe that people should be free to explore whatever avenues they wish free from the scornful eye of society , but don't force your particular rhetoric down my throat if you aren't going to show the same respect for my preferences that you wish from me . 	i'm not prone to judging anyone and i believe that people should be free to explore whatever avenues they wish free from the scornful eye of society , but don't force your particular rhetoric down my throat if you aren't going to show the same respect for my preferences that you wish from me .	3	-2	 i'm[0] not[0] prone[0] to[0] judging[0] anyone[0] and[0] i[0] believe[0] that[0] people[0] should[0] be[0] free[0] to[0] explore[0] whatever[0] avenues[0] they[0] wish[0] free[0] from[0] the[0] scornful[-1] eye[0] of[0] society[0] but[0] don't[0] force[-1][NegatedDueToPreviousWord] your[0] particular[0] rhetoric[0] down[0] my[0] throat[0] if[0] you[0] aren't[0] going[0] to[0] show[0] the[0] same[0] respect[2] for[0] my[0] preferences[0] that[0] you[0] wish[0] from[0] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
again , maybe i'm missing the satirical point that harmon is trying to make , but if so , i think it could have been handled a little more tactfully . 	again , maybe i'm missing the satirical point that harmon is trying to make , but if so , i think it could have been handled a little more tactfully .	2	-1	 again[0] maybe[0] i'm[0] missing[0] the[0] satirical[0] point[0] that[0] harmon[1] is[0] trying[0] to[0] make[0] but[0] if[0] so[0] i[0] think[0] it[0] could[0] have[0] been[0] handled[0] a[0] little[0] more[0] tactfully[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as far as musical comedies go , isle of lesbos is no trey parker and matt stone musical , but a good portion of the songs are maddeningly catchy . 	as far as musical comedies go , isle of lesbos is no trey parker and matt stone musical , but a good portion of the songs are maddeningly catchy .	2	-3	 as[0] far[0] as[0] musical[0] comedies[0] go[0] isle[0] of[0] lesbos[0] is[0] no[0] trey[0] parker[0] and[0] matt[0] stone[0] musical[0] but[0] a[0] good[1] portion[0] of[0] the[0] songs[0] are[0] maddeningly[-2] catchy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
despite the disturbing visuals , " mom and apple pie " stuck with me for the rest of the day . 	despite the disturbing visuals , " mom and apple pie " stuck with me for the rest of the day .	1	-2	 despite[0] the[0] disturbing[-1] visuals[0] mom[0] and[0] apple[0] pie[0] stuck[0] with[0] me[0] for[0] the[0] rest[0] of[0] the[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
speaking of disturbing visuals , " wedding bells ain't ringing " could have been a decent song , but the accompanying visuals of spousal abuse are more harrowing than this film should be displaying . 	speaking of disturbing visuals , " wedding bells ain't ringing " could have been a decent song , but the accompanying visuals of spousal abuse are more harrowing than this film should be displaying .	1	-4	 speaking[0] of[0] disturbing[-1] visuals[0] wedding[0] bells[0] ain't[0] ringing[0] could[0] have[0] been[0] a[0] decent[0] song[0] but[0] the[0] accompanying[0] visuals[0] of[0] spousal[0] abuse[-3] are[0] more[0] harrowing[0] than[0] this[0] film[0] should[0] be[0] displaying[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
