your first clue that something isn't gonna be quite right with the movie you're about to see : it's heavily christmas-themed and its release date is , oh , say , at the end of february . 	Translation	Positive	Negative	EmotionRationale
your second clue that something isn't gonna be quite right with the movie you're about to see : charlize theron , one of the movie's dubious stars , makes an appearance on the daily show in which , when asked if her new movie's any good , she replies with the equivalent of a verbal sigh . . . 	your second clue that something isn't gonna be quite right with the movie you're about to see : charlize theron , one of the movie's dubious stars , makes an appearance on the daily show in which , when asked if her new movie's any good , she replies with the equivalent of a verbal sigh .<br> .<br> .	2	-2	 your[0] second[0] clue[0] that[0] something[0] isn't[0] gonna[0] be[0] quite[0] right[0] with[0] the[0] movie[0] you're[0] about[0] to[0] see[0] charlize[0] theron[0] one[0] of[0] the[0] movie's[0] dubious[-1] stars[0] makes[0] an[0] appearance[0] on[0] the[0] daily[0] show[0] in[0] which[0] when[0] asked[0] if[0] her[0] new[0] movie's[0] any[0] good[1] she[0] replies[0] with[0] the[0] equivalent[0] of[0] a[0] verbal[0] sigh[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
assuring us that , yeah , it sure is a movie , all right ! 	assuring us that , yeah , it sure is a movie , all right !	1	-1	 assuring[0] us[0] that[0] yeah[0] it[0] sure[0] is[0] a[0] movie[0] all[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and there's some scenes like those you'd expect to find in a movie , and there's some action . . . 	and there's some scenes like those you'd expect to find in a movie , and there's some action .<br> .<br> .	2	-1	 and[0] there's[0] some[0] scenes[0] like[1] those[0] you'd[0] expect[0] to[0] find[0] in[0] a[0] movie[0] and[0] there's[0] some[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and there's other . . . 	and there's other .<br> .<br> .	1	-1	 and[0] there's[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stuff . . . 	stuff .<br> .<br> .	1	-1	 stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too . 	too .	1	-1	 too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how to immediately grab my attention : open your movie with five dead guys in santa claus suits . 	how to immediately grab my attention : open your movie with five dead guys in santa claus suits .	1	-3	 how[0] to[0] immediately[0] grab[-1] my[0] attention[0] open[0] your[0] movie[0] with[0] five[0] dead[-2] guys[0] in[0] santa[0] claus[0] suits[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then show a caption reading " six days earlier . . . " 	then show a caption reading " six days earlier .<br> .<br> .<br> "	1	-1	 then[0] show[0] a[0] caption[0] reading[0] six[0] days[0] earlier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ya know , i was honestly interested to find out what killed all those poor santas . . . 	ya know , i was honestly interested to find out what killed all those poor santas .<br> .<br> .	2	-4	 ya[0] know[0] i[0] was[0] honestly[0] interested[1] to[0] find[0] out[0] what[0] killed[-3] all[0] those[0] poor[-1] santas[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
how to immediately lose my attention : follow your opening scene with a terminally dull nice-guys-who-don't-deserve-to-be-in-prison scene . 	how to immediately lose my attention : follow your opening scene with a terminally dull nice-guys-who-don't-deserve-to-be-in-prison scene .	2	-2	 how[0] to[0] immediately[0] lose[-1] my[0] attention[0] follow[0] your[0] opening[0] scene[0] with[0] a[0] terminally[0] dull[-1] nice[1] guys[0] who[0] don't[0] deserve[0] to[0] be[0] in[0] prison[-1] scene[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
