tri-star ; rated r ( language , sexual situations , violence ) ; 87 minutes 	Translation	Positive	Negative	EmotionRationale
director and writer : darren stein 	director and writer : darren stein	1	-1	 director[0] and[0] writer[0] darren[0] stein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cast : rose mcgowan , rebecca gayheart , judy greer , julie benz , chad christ , ethan erickson , carol kane , pam grier , tatyana m . ali . 	cast : rose mcgowan , rebecca gayheart , judy greer , julie benz , chad christ , ethan erickson , carol kane , pam grier , tatyana m .<br> ali .	1	-1	 cast[0] rose[0] mcgowan[0] rebecca[0] gayheart[0] judy[0] greer[0] julie[0] benz[0] chad[0] christ[0] ethan[0] erickson[0] carol[0] kane[0] pam[0] grier[0] tatyana[0] m[0] [[Sentence=-1,1=word max, 1-5]] ali[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
review by : geoff berkshire 	review by : geoff berkshire	1	-1	 review[0] by[0] geoff[0] berkshire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jawbreaker is the very definition of a " rip-off . " 	jawbreaker is the very definition of a " rip-off .<br> "	1	-2	 jawbreaker[0] is[0] the[0] very[0] definition[0] of[0] a[0] rip[-1] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this uninspired teen comedy takes equal parts carrie ( 1976 ) , heathers ( 1989 ) and clueless ( 1995 ) and mixes in all the necessary teen movie clich ? s . 	this uninspired teen comedy takes equal parts carrie ( 1976 ) , heathers ( 1989 ) and clueless ( 1995 ) and mixes in all the necessary teen movie clich ?<br> s .	1	-1	 this[0] uninspired[0] teen[0] comedy[0] takes[0] equal[0] parts[0] carrie[0] 1976[0] heathers[0] 1989[0] and[0] clueless[0] 1995[0] and[0] mixes[0] in[0] all[0] the[0] necessary[0] teen[0] movie[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way writer/director darren stein forgets to give the film a life of its own . 	along the way writer/director darren stein forgets to give the film a life of its own .	1	-1	 along[0] the[0] way[0] writer/director[0] darren[0] stein[0] forgets[0] to[0] give[0] the[0] film[0] a[0] life[0] of[0] its[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with a voice over from geeky fern mayo ( judy greer ) about the four most popular girls at reagan high : courtney shayne ( rose mcgowan ) who can basically be summed up as satan in heels , julie freeman ( rebecca gayheart ) a good girl with the face of a supermodel , marcie fox ( julie benz ) a dim-witted blonde who demands that people call her " foxy " , and liz purr ( charlotte roldan ) an angel in disguise . 	the film opens with a voice over from geeky fern mayo ( judy greer ) about the four most popular girls at reagan high : courtney shayne ( rose mcgowan ) who can basically be summed up as satan in heels , julie freeman ( rebecca gayheart ) a good girl with the face of a supermodel , marcie fox ( julie benz ) a dim-witted blonde who demands that people call her " foxy " , and liz pur ( charlotte roldan ) an angel in disguise .	2	-3	 the[0] film[0] opens[0] with[0] a[0] voice[0] over[0] from[0] geeky[0] fern[0] mayo[0] judy[0] greer[0] about[0] the[0] four[0] most[0] popular[0] girls[0] at[0] reagan[0] high[0] courtney[0] shayne[0] rose[0] mcgowan[0] who[0] can[0] basically[0] be[0] summed[0] up[0] as[0] satan[-2] in[0] heels[0] julie[0] freeman[0] rebecca[0] gayheart[0] a[0] good[1] girl[0] with[0] the[0] face[0] of[0] a[0] supermodel[0] marcie[0] fox[0] julie[0] benz[0] a[0] dim[-1] witted[0] blonde[0] who[0] demands[0] that[0] people[0] call[0] her[0] foxy[0] and[0] liz[0] purr/pur[0] charlotte[0] roldan[0] an[0] angel[0] in[0] disguise[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
liz is everyone's favorite because she's both beautiful and kind . 	liz is everyone's favorite because she's both beautiful and kind .	3	-1	 liz[0] is[0] everyone's[0] favorite[1] because[0] she's[0] both[0] beautiful[2] and[0] kind[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
liz is about to turn 17 and , as a prank , courtney convinces the other girls to help her in kidnapping liz on her birthday morning . 	liz is about to turn 17 and , as a prank , courtney convinces the other girls to help her in kidnapping liz on her birthday morning .	1	-1	 liz[0] is[0] about[0] to[0] turn[0] 17[0] and[0] as[0] a[0] prank[0] courtney[0] convinces[0] the[0] other[0] girls[0] to[0] help[0] her[0] in[0] kidnapping[0] liz[0] on[0] her[0] birthday[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in order to keep liz from making any noise courtney stuffs a jawbreaker into her mouth before they gag her . 	in order to keep liz from making any noise courtney stuffs a jawbreaker into her mouth before they gag her .	1	-1	 in[0] order[0] to[0] keep[0] liz[0] from[0] making[0] any[0] noise[0] courtney[0] stuffs[0] a[0] jawbreaker[0] into[0] her[0] mouth[0] before[0] they[0] gag[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
