you think that these people only exist in the movies , but trust me , they're as real as life . 	Translation	Positive	Negative	EmotionRationale
i once talked to a guy who thought the united states government was putting satellites into orbit which could fry an individual person's brain with microwaves . 	i once talked to a guy who thought the united states government was putting satellites into orbit which could fry an individual person's brain with microwaves .	1	-1	 i[0] once[0] talked[0] to[0] a[0] guy[0] who[0] thought[0] the[0] united[0] states[0] government[0] was[0] putting[0] satellites[0] into[0] orbit[0] which[0] could[0] fry[0] an[0] individual[0] person's[0] brain[0] with[0] microwaves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then i sat in a room full of people who believed that the government rigged state elections . 	then i sat in a room full of people who believed that the government rigged state elections .	1	-1	 then[0] i[0] sat[0] in[0] a[0] room[0] full[0] of[0] people[0] who[0] believed[0] that[0] the[0] government[0] rigged[0] state[0] elections[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i even listened to a man who swore that nicotine was an additive that cigarette companies put in their products for the specific goal of getting people addicted . 	i even listened to a man who swore that nicotine was an additive that cigarette companies put in their products for the specific goal of getting people addicted .	1	-2	 i[0] even[0] listened[0] to[0] a[0] man[0] who[0] swore[-1] that[0] nicotine[0] was[0] an[0] additive[0] that[0] cigarette[0] companies[0] put[0] in[0] their[0] products[0] for[0] the[0] specific[0] goal[0] of[0] getting[0] people[0] addicted[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these people had what are known as " conspiracy theories " - ideas about how unseen forces work to deceive and control the public . 	these people had what are known as " conspiracy theories " - ideas about how unseen forces work to deceive and control the public .	1	-2	 these[0] people[0] had[0] what[0] are[0] known[0] as[0] conspiracy[-1] theories[0] ideas[0] about[0] how[0] unseen[0] forces[0] work[0] to[0] deceive[-1] and[0] control[0] the[0] public[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a little imagination goes a long way . 	a little imagination goes a long way .	1	-1	 a[0] little[0] imagination[0] goes[0] a[0] long[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in richard donner's conspiracy theory , jerry fletcher ( mel gibson ) is a new york city cab driver who seems to have a conspiracy theory about everything . 	in richard donner's conspiracy theory , jerry fletcher ( mel gibson ) is a new york city cab driver who seems to have a conspiracy theory about everything .	1	-2	 in[0] richard[0] donner's[0] conspiracy[-1] theory[0] jerry[0] fletcher[0] mel[0] gibson[0] is[0] a[0] new[0] york[0] city[0] cab[0] driver[0] who[0] seems[0] to[0] have[0] a[0] conspiracy[-1] theory[0] about[0] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his latest , that nasa is trying to kill the president by causing an earthquake from the space shuttle , might sound outrageous to us , but is all in a day's work for him . 	his latest , that nasa is trying to kill the president by causing an earthquake from the space shuttle , might sound outrageous to us , but is all in a day's work for him .	1	-3	 his[0] latest[0] that[0] nasa[0] is[0] trying[0] to[0] kill[-1] the[0] president[0] by[0] causing[0] an[0] earthquake[0] from[0] the[0] space[0] shuttle[0] might[0] sound[0] outrageous[-2] to[0] us[0] but[0] is[0] all[0] in[0] a[0] day's[0] work[0] for[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he combs the newspaper , looking for tidbits that leave telltale warnings about the goings-on behind the scenes , and from there jerry draws his conclusions . 	he combs the newspaper , looking for tidbits that leave telltale warnings about the goings-on behind the scenes , and from there jerry draws his conclusions .	1	-1	 he[0] combs[0] the[0] newspaper[0] looking[0] for[0] tidbits[0] that[0] leave[0] telltale[0] warnings[0] about[0] the[0] goings[0] on[0] behind[0] the[0] scenes[0] and[0] from[0] there[0] jerry[0] draws[0] his[0] conclusions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
upstanding citizen that he is , he tries to convince alice sutton ( julia roberts ) of the justice department that the president must be warned . 	upstanding citizen that he is , he tries to convince alice sutton ( julia roberts ) of the justice department that the president must be warned .	1	-1	 upstanding[0] citizen[0] that[0] he[0] is[0] he[0] tries[0] to[0] convince[0] alice[0] sutton[0] julia[0] roberts[0] of[0] the[0] justice[0] department[0] that[0] the[0] president[0] must[0] be[0] warned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucky gal , alice , who met jerry when he saved her from a couple of muggers and has had to listen to his theories during the six months since . 	lucky get a life� , alice , who met jerry when he saved her from a couple of muggers and has had to listen to his theories during the six months since .	2	-1	 lucky[1] gal[0] alice[0] who[0] met[0] jerry[0] when[0] he[0] saved[1] her[0] from[0] a[0] couple[0] of[0] muggers[0] and[0] has[0] had[0] to[0] listen[0] to[0] his[0] theories[0] during[0] the[0] six[0] months[0] since[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
