guilt . guilt is something i felt while watching basic instinct for the ninth time ; the penultimate t & a thriller , basic instinct made my last few teenage years worth living . 	Translation	Positive	Negative	EmotionRationale
but i know so well that it's a terrible film , made by a terrible director incapable of feeling guilt . 	but i know so well that it's a terrible film , made by a terrible director incapable of feeling guilt .	1	-4	 but[0] i[0] know[0] so[0] well[0] that[0] it's[0] a[0] terrible[-3] film[0] made[0] by[0] a[0] terrible[-3] director[0] incapable[-1] of[0] feeling[0] guilt[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
verhoeven went on to make the even more offensive showgirls and , on november seventh , 1997 , unleashed starship troopers to innocent moviegoers like me , who cannot control the urge to see giant bug movies . 	verhoeven went on to make the even more offensive showgirls and , on november seventh , 1997 , unleashed starship troopers to innocent moviegoers like me , who cannot control the urge to see giant bug movies .	2	-3	 verhoeven[0] went[0] on[0] to[0] make[0] the[0] even[0] more[0] offensive[-2] showgirls[0] and[0] on[0] november[0] seventh[0] 1997[0] unleashed[0] starship[0] troopers[0] to[0] innocent[1] moviegoers[0] like[1] me[0] who[0] cannot[0] control[0] the[0] urge[0] to[0] see[0] giant[0] bug[-1] movies[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the pic begins with the most unintentional laugh of the year . 	the pic begins with the most unintentional laugh of the year .	2	-1	 the[0] pic[0] begins[0] with[0] the[0] most[0] unintentional[0] laugh[1] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a simple , white on black title card reads " starship troopers " -my friends and i speculated that the night before the prints were shipped , verhoeven realized he forgot the credits . 	a simple , white on black title card reads " starship troopers " -my friends and i speculated that the night before the prints were shipped , verhoeven realized he forgot the credits .	2	-1	 a[0] simple[0] white[0] on[0] black[0] title[0] card[0] reads[0] starship[0] troopers[0] my[0] friends[1] and[0] i[0] speculated[0] that[0] the[0] night[0] before[0] the[0] prints[0] were[0] shipped[0] verhoeven[0] realized[0] he[0] forgot[0] the[0] credits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
is this how a hundred million dollar movie should open ? 	is this how a hundred million dollar movie should open ?	1	-1	 is[0] this[0] how[0] a[0] hundred[0] million[0] dollar[0] movie[0] should[0] open[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
were the rest of the film that subdued . . . 	were the rest of the film that subdued .<br> .<br> .	1	-1	 were[0] the[0] rest[0] of[0] the[0] film[0] that[0] subdued[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starship troopers is about a group of white , blond-haired himbos and bimbos who all have spanish last names . 	starship troopers is about a group of white , blond-haired himbos and bimbos who all have spanish last names .	1	-1	 starship[0] troopers[0] is[0] about[0] a[0] group[0] of[0] white[0] blond[0] haired[0] himbos[0] and[0] bimbos[0] who[0] all[0] have[0] spanish[0] last[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they graduate high school , join the military , and then , rather curiously , decide to travel to an alien planet and destroy all lifeforms on that planet . 	they graduate high school , join the military , and then , rather curiously , decide to travel to an alien planet and destroy all lifeforms on that planet .	1	-3	 they[0] graduate[0] high[0] school[0] join[0] the[0] military[0] and[0] then[0] rather[0] curiously[0] decide[0] to[0] travel[0] to[0] an[0] alien[-1] planet[0] and[0] destroy[-2] all[0] lifeforms[0] on[0] that[0] planet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is so incomprehensible , and told so bombastically , it's akin to 129 minutes of someone screaming punishments at you in a foreign tongue . 	the story is so incomprehensible , and told so bombastically , it's akin to 129 minutes of someone screaming punishments at you in a foreign tongue .	1	-4	 the[0] story[0] is[0] so[0] incomprehensible[0] and[0] told[0] so[0] bombastically[-1] it's[0] akin[0] to[0] 129[0] minutes[0] of[0] someone[0] screaming[-3] punishments[-1] at[0] you[0] in[0] a[0] foreign[-1] tongue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( aside , club lovers will be happy to know that dance music hasn't changed in the future . ) 	 ( aside , club lovers will be happy to know that dance music hasn't changed in the future .<br> )	4	-1	 aside[0] club[0] lovers[3] will[0] be[0] happy[1] to[0] know[0] that[0] dance[0] music[0] hasn't[0] changed[0] in[0] the[0] future[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one plus : starship troopers contains some very funny sequences , specifically the newsreels of the future . 	one plus : starship troopers contains some very funny sequences , specifically the newsreels of the future .	3	-1	 one[0] plus[0] starship[0] troopers[0] contains[0] some[0] very[0] funny[1][1 LastWordBoosterStrength] sequences[0] specifically[0] the[0] newsreels[0] of[0] the[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hysterically funny , actually . 	hysterically funny , actually .	2	-1	 hysterically[0] funny[1] actually[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the cynicism of these reports left me curious as to whether verhoeven felt pessimistic about the story in between . 	but the cynicism of these reports left me curious as to whether verhoeven felt pessimistic about the story in between .	1	-3	 but[0] the[0] cynicism[-1] of[0] these[0] reports[0] left[0] me[0] curious[0] as[0] to[0] whether[0] verhoeven[0] felt[0] pessimistic[-2] about[0] the[0] story[0] in[0] between[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
