 " from the director of " the nightmare before christmas " it said in the previews , which i'm guessing was said to get people to go see the movie , obviously it hasn't worked since the $75 million dollar movie has yet to break $5 million . 	Translation	Positive	Negative	EmotionRationale
to each it's own however , since " monkey bone " is not only a bad movie all together , but technically well-made . 	to each it's own however , since " monkey bone " is not only a bad movie all together , but technically well-made .	1	-2	 to[0] each[0] it's[0] own[0] however[0] since[0] monkey[0] bone[0] is[0] not[0] only[0] a[0] bad[-1] movie[0] all[0] together[0] but[0] technically[0] well[0] made[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a tragic waste of talent and incredible visual effects . 	a tragic waste of talent and incredible visual effects .	2	-3	 a[0] tragic[-2] waste[-1] of[0] talent[1] and[0] incredible[0] visual[0] effects[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
stu miley is the genius behind the new phenomena " monkey bone " a crude comic strip , that everyone wants to merchandise , they go to great links to get it as well , including dollars that let out fart powder . 	stu miley is the genius behind the new phenomena " monkey bone " a crude comic strip , that everyone wants to merchandise , they go to great links to get it as well , including dollars that let out fart powder .	3	-2	 stu[0] miley[0] is[0] the[0] genius[0] behind[0] the[0] new[0] phenomena[0] monkey[0] bone[0] a[0] crude[-1] comic[0] strip[0] that[0] everyone[0] wants[0] to[0] merchandise[0] they[0] go[0] to[0] great[2] links[0] to[0] get[0] it[0] as[0] well[0] including[0] dollars[0] that[0] let[0] out[0] fart[0] powder[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when stu and his girlfriend , julie ( bridget fonda ) are in a freak car accident ( you'll see ) stu goes into a coma , and while in his coma stu travels to i'm guessing dark town , where all the characters in dreams come to life . 	when stu and his girlfriend , julie ( bridget fonda ) are in a freak car accident ( you'll see ) stu goes into a coma , and while in his coma stu travels to i'm guessing dark town , where all the characters in dreams come to life .	1	-2	 when[0] stu[0] and[0] his[0] girlfriend[0] julie[0] bridget[0] fonda[0] are[0] in[0] a[0] freak[-1] car[0] accident[-1] you'll[0] see[0] stu[0] goes[0] into[0] a[0] coma[0] and[0] while[0] in[0] his[0] coma[0] stu[0] travels[0] to[0] i'm[0] guessing[0] dark[0] town[0] where[0] all[0] the[0] characters[0] in[0] dreams[0] come[0] to[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
people are stuck in this town , with their nightmares roaming around them . 	people are stuck in this town , with their nightmares roaming around them .	1	-1	 people[0] are[0] stuck[0] in[0] this[0] town[0] with[0] their[0] nightmares[0] roaming[0] around[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when stu spots monkey bone ( whom he really can't stand ) he tries to keep him under control . 	when stu spots monkey bone ( whom he really can't stand ) he tries to keep him under control .	1	-1	 when[0] stu[0] spots[0] monkey[0] bone[0] whom[0] he[0] really[0] can't[0] stand[0] he[0] tries[0] to[0] keep[0] him[0] under[0] control[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
making a new friend kitty ( rose mcgowan ) he learns that if he gets an exit pass from death , he can go back up and live his life . 	making a new friend kitty ( rose mcgowan ) he learns that if he gets an exit pass from death , he can go back up and live his life .	2	-3	 making[0] a[0] new[0] friend[1] kitty[0] rose[0] mcgowan[0] he[0] learns[0] that[0] if[0] he[0] gets[0] an[0] exit[-1] pass[0] from[0] death[-2] he[0] can[0] go[0] back[0] up[0] and[0] live[0] his[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when monkey bone and stu steal a pass , monkey bone becomes a trader and takes it and goes into stu's body . 	when monkey bone and stu steal a pass , monkey bone becomes a trader and takes it and goes into stu's body .	1	-3	 when[0] monkey[0] bone[0] and[0] stu[0] steal[-2] a[0] pass[0] monkey[0] bone[0] becomes[0] a[0] trader[0] and[0] takes[0] it[0] and[0] goes[0] into[0] stu's[0] body[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now monkey bone must get everyone to buy these dolls with nightmare powder , so everyone has nightmares . . . or 	now monkey bone must get everyone to buy these dolls with nightmare powder , so everyone has nightmares .<br> .<br> .<br> or	1	-3	 now[0] monkey[0] bone[0] must[0] get[0] everyone[0] to[0] buy[0] these[0] dolls[0] with[0] nightmare[-2] powder[0] so[0] everyone[0] has[0] nightmares[0] [[Sentence=-3,1=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
something like that . 	something like that .	2	-1	 something[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
