there is a scene in patch adams in which patch is in the center of a courtroom , surrounded by people who are giving him a lively standing ovation because of his strong-worded attack on a group of stoic doctors . 	Translation	Positive	Negative	EmotionRationale
when i noticed that the audience with whom i saw this film was reacting the same way , i realized that i was going to have a hard time finding someone who agrees with me about the quality of the picture . 	when i noticed that the audience with whom i saw this film was reacting the same way , i realized that i was going to have a hard time finding someone who agrees with me about the quality of the picture .	1	-1	 when[0] i[0] noticed[0] that[0] the[0] audience[0] with[0] whom[0] i[0] saw[0] this[0] film[0] was[0] reacting[0] the[0] same[0] way[0] i[0] realized[0] that[0] i[0] was[0] going[0] to[0] have[0] a[0] hard[0] time[0] finding[0] someone[0] who[0] agrees[0] with[0] me[0] about[0] the[0] quality[0] of[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see , patch adams revolted me beyond all boundaries . 	you see , patch adams revolted me beyond all boundaries .	1	-2	 you[0] see[0] patch[0] adams[0] revolted[-1] me[0] beyond[0] all[0] boundaries[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i hated this movie for every second that i sat watching it , and i actively hate it now , days later , with the simpering , superficial , nauseatingly sentimental images forever plaguing my memories . 	i hated this movie for every second that i sat watching it , and i actively hate it now , days later , with the simpering , superficial , nauseatingly sentimental images forever plaguing my memories .	3	-4	 i[0] hated[-3] this[0] movie[0] for[0] every[0] second[0] that[0] i[0] sat[0] watching[0] it[0] and[0] i[0] actively[0] hate[-3] it[0] now[0] days[0] later[0] with[0] the[0] simpering[0] superficial[-1] nauseatingly[0] sentimental[2] images[0] forever[0] plaguing[0] my[0] memories[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i hate every element of the film , beginning with tom shadyac's shameless direction , and all the way up to the misguided and mishandled themes that the screenplay wants so desperately to convey . 	i hate every element of the film , beginning with tom shadyac's shameless direction , and all the way up to the misguided and mishandled themes that the screenplay wants so desperately to convey .	1	-4	 i[0] hate[-3] every[0] element[0] of[0] the[0] film[0] beginning[0] with[0] tom[0] shadyac's[0] shameless[-2] direction[0] and[0] all[0] the[0] way[0] up[0] to[0] the[0] misguided[0] and[0] mishandled[-1] themes[0] that[0] the[0] screenplay[0] wants[0] so[0] desperately[-2] to[0] convey[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the badness of patch adams is stupefying . 	the badness of patch adams is stupefying .	1	-3	 the[0] badness[-2] of[0] patch[0] adams[0] is[0] stupefying[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's confounding . 	it's confounding .	1	-2	 it's[0] confounding[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can't believe a film can be this bad . 	i can't believe a film can be this bad .	1	-2	 i[0] can't[0] believe[0] a[0] film[0] can[0] be[0] this[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and yet , it's based on a real man who probably has a good point to make . 	and yet , it's based on a real man who probably has a good point to make .	2	-1	 and[0] yet[0] it's[0] based[0] on[0] a[0] real[0] man[0] who[0] probably[0] has[0] a[0] good[1] point[0] to[0] make[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the film , patch is played by the undefeatable and indefatigable robin williams , in a performance of such insulting pathos and sledgehammer sympathy that i wonder now if he is even human . 	in the film , patch is played by the undefeatable and indefatigable robin williams , in a performance of such insulting pathos and sledgehammer sympathy that i wonder now if he is even human .	1	-3	 in[0] the[0] film[0] patch[0] is[0] played[0] by[0] the[0] undefeatable[0] and[0] indefatigable[0] robin[0] williams[0] in[0] a[0] performance[0] of[0] such[0] insulting[-2] pathos[0] and[0] sledgehammer[0] sympathy[0] that[0] i[0] wonder[0] now[0] if[0] he[0] is[0] even[0] human[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the beginning of the film , patch commits himself to a mental institution because he doesn't want to kill himself . 	in the beginning of the film , patch commits himself to a mental institution because he doesn't want to kill himself .	1	-2	 in[0] the[0] beginning[0] of[0] the[0] film[0] patch[0] commits[0] himself[0] to[0] a[0] mental[0] institution[0] because[0] he[0] doesn't[0] want[0] to[0] kill[-1] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
