synopsis : valerie , a high school junior who doesn't look a day under 22 , writes bad poetry , complains about how much she hates school , fantasizes about a young guy on trial for raping and murdering six women , chooses him as a pen pal , and plays hooky to see him in court . 	Translation	Positive	Negative	EmotionRationale
after a jailbreak , the killer puts on big sunglasses , wears a half-buttoned jacket , and uses his fatal charm to go after valerie . 	after a jailbreak , the killer puts on big sunglasses , wears a half-buttoned jacket , and uses his fatal charm to go after valerie .	2	-3	 after[0] a[0] jailbreak[-1] the[0] killer[-1] puts[0] on[0] big[0] sunglasses[0] wears[0] a[0] half[0] buttoned[0] jacket[0] and[0] uses[0] his[0] fatal[-2] charm[1] to[0] go[0] after[0] valerie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
comments : " alan smithee " directed fatal charm , which should have been more appropriately titled " fatal bore " or " fatal crap " . 	comments : " alan smithee " directed fatal charm , which should have been more appropriately titled " fatal bore " or " fatal crap " .	2	-4	 comments[0] alan[0] smithee[0] directed[0] fatal[-2] charm[1] which[0] should[0] have[0] been[0] more[0] appropriately[0] titled[0] fatal[-2] bore[-1] or[0] fatal[-2] crap[-2][-1 MultiplePositiveWords] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you find out that a film you're about to see is directed by " alan smithee , " then you should seriously , seriously , seriously consider watching something , anything , else . 	if you find out that a film you're about to see is directed by " alan smithee , " then you should seriously , seriously , seriously consider watching something , anything , else .	1	-1	 if[0] you[0] find[0] out[0] that[0] a[0] film[0] you're[0] about[0] to[0] see[0] is[0] directed[0] by[0] alan[0] smithee[0] then[0] you[0] should[0] seriously[0] seriously[0] seriously[0] consider[0] watching[0] something[0] anything[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " alan smithee " is a pseudonym which a number of directors have used when they produce something really bad . 	 " alan smithee " is a pseudonym which a number of directors have used when they produce something really bad .	1	-3	 alan[0] smithee[0] is[0] a[0] pseudonym[0] which[0] a[0] number[0] of[0] directors[0] have[0] used[0] when[0] they[0] produce[0] something[0] really[0] bad[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
frankly , i'd be embarrassed if i had directed this turkey , so i think i understand why the director might have picked the " alan smithee " moniker for this film . 	frankly , i'd be embarrassed if i had directed this turkey , so i think i understand why the director might have picked the " alan smithee " moniker for this film .	1	-3	 frankly[0] i'd[0] be[0] embarrassed[-2] if[0] i[0] had[0] directed[0] this[0] turkey[0] so[0] i[0] think[0] i[0] understand[0] why[0] the[0] director[0] might[0] have[0] picked[0] the[0] alan[0] smithee[0] moniker[0] for[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
where to begin with this painfully poor thriller ? 	where to begin with this painfully poor thriller ?	2	-4	 where[0] to[0] begin[0] with[0] this[0] painfully[-3] poor[-1] thriller[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
let's start with the acting . 	let's start with the acting .	1	-1	 let's[0] start[0] with[0] the[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's pretty bad . 	it's pretty bad .	3	-2	 it's[0] pretty[2] bad[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
amanda peterson plays valerie and shows at least some talent ( the rest of the cast don't ) , even though her performance isn't exactly stellar material . 	amanda peterson plays valerie and shows at least some talent ( the rest of the cast don't ) , even though her performance isn't exactly stellar material .	2	-1	 amanda[0] peterson[0] plays[1] valerie[0] and[0] shows[0] at[0] least[0] some[0] talent[1][-1 LastWordBoosterStrength] the[0] rest[0] of[0] the[0] cast[0] don't[0] even[0] though[0] her[0] performance[0] isn't[0] exactly[0] stellar[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she's also miscast ; she seems way too old to still have a year of high school to complete . 	she's also miscast ; she seems way too old to still have a year of high school to complete .	1	-1	 she's[0] also[0] miscast[0] she[0] seems[0] way[0] too[0] old[0] to[0] still[0] have[0] a[0] year[0] of[0] high[0] school[0] to[0] complete[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
