are you like me ? 	Translation	Positive	Negative	EmotionRationale
do you get annoyed seeing people talk on their cellulars in public places , shouting out loud , not giving a ratt's ass about anyone around them , and basically just wallowing in their own self-importance ? 	do you get annoyed seeing people talk on their cellulars in public places , shouting out loud , not giving a ratt's ass about anyone around them , and basically just wallowing in their own self-importance ?	1	-3	 do[0] you[0] get[0] annoyed[-2] seeing[0] people[0] talk[0] on[0] their[0] cellulars[0] in[0] public[0] places[0] shouting[0] out[0] loud[0] not[0] giving[0] a[0] ratt's[0] ass[0] about[0] anyone[0] around[0] them[0] and[0] basically[0] just[0] wallowing[-1][--1 LastWordBoosterStrength] in[0] their[0] own[0] self[0] importance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
well if you are , than you will most likely agree with my rating of this film since it basically features a trio of annoying ladies bickering away on the phone for an hour and a half . . . only to make up and hug in the end . 	well if you are , than you will most likely agree with my rating of this film since it basically features a trio of annoying ladies bickering away on the phone for an hour and a half .<br> .<br> .<br> only to make up and hug in the end .	3	-3	 well[0] if[0] you[0] are[0] than[0] you[0] will[0] most[0] likely[0] agree[0] with[0] my[0] rating[0] of[0] this[0] film[0] since[0] it[0] basically[0] features[0] a[0] trio[0] of[0] annoying[-2] ladies[0] bickering[0] away[0] on[0] the[0] phone[0] for[0] an[0] hour[0] and[0] a[0] half[0] [[Sentence=-3,1=word max, 1-5]] only[0] to[0] make[0] up[0] and[0] hug[2] in[0] the[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-3 max of sentences]]]
aaaaaaaahhhh . . . 	ah .<br> .<br> .	1	-1	 aaaaaaaahhhh/ah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plot : three grown-up sisters living their own separate lives , begin to re-establish their communication lines when their dear old dad falls ill . 	plot : three grown-up sisters living their own separate lives , begin to re-establish their communication lines when their dear old dad falls ill .	2	-2	 plot[0] three[0] grown[0] up[0] sisters[0] living[0] their[0] own[0] separate[0] lives[0] begin[0] to[0] re[0] establish[0] their[0] communication[0] lines[0] when[0] their[0] dear[1] old[0] dad[0] falls[0] ill[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
critique : this would be a good movie if it wasn't for the fact that it's got very little to say , features uncaring people sharing annoying phone conversations , is chockfull of bad acting moments and provides less emotional satisfaction than any third-rate after-school special . 	critique : this would be a good movie if it wasn't for the fact that it's got very little to say , features uncaring people sharing annoying phone conversations , is chockfull of bad acting moments and provides less emotional satisfaction than any third-rate after-school special .	2	-3	 critique[0] this[0] would[0] be[0] a[0] good[1] movie[0] if[0] it[0] wasn't[0] for[0] the[0] fact[0] that[0] it's[0] got[0] very[0] little[0] to[0] say[0] features[0] uncaring[0] people[0] sharing[0] annoying[-2] phone[0] conversations[0] is[0] chockfull[0] of[0] bad[-1] acting[0] moments[0] and[0] provides[0] less[0] emotional[-1] satisfaction[1] than[0] any[0] third[0] rate[0] after[0] school[0] special[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and i'm being nice ! 	and i'm being nice !	2	-1	 and[0] i'm[0] being[0] nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how junk like this gets made is beyond me , but happy am i that the ephron sisters will finally be dealt a professional blow , considering the regurgitation level of their material had just about reached its limit . 	how junk like this gets made is beyond me , but happy am i that the ephron sisters will finally be dealt a professional blow , considering the regurgitation level of their material had just about reached its limit .	2	-2	 how[0] junk[-1] like[1] this[0] gets[0] made[0] is[0] beyond[0] me[0] but[0] happy[1] am[0] i[0] that[0] the[0] ephron[0] sisters[0] will[0] finally[0] be[0] dealt[0] a[0] professional[0] blow[0] considering[0] the[0] regurgitation[0] level[0] of[0] their[0] material[0] had[0] just[0] about[0] reached[0] its[0] limit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only true emotional moment demonstrated between meg ryan's character and her dad in this film is when he hugs her and swings her around at a christmas tree lot . 	the only true emotional moment demonstrated between meg ryan's character and her dad in this film is when he hugs her and swings her around at a christmas tree lot .	3	-2	 the[0] only[0] true[1] emotional[-1] moment[0] demonstrated[0] between[0] meg[0] ryan's[0] character[0] and[0] her[0] dad[0] in[0] this[0] film[0] is[0] when[0] he[0] hugs[2] her[0] and[0] swings[0] her[0] around[0] at[0] a[0] christmas[0] tree[0] lot[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
wow . . . how 	wow .<br> .<br> .<br> how	3	-1	 wow[2] [[Sentence=-1,3=word max, 1-5]] how[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
deep . 	deep .	1	-1	 deep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
