out of sight director steven sorderbergh baffles the hell out of us all in the limey , a cold , uninvolving , confusing new thriller . 	Translation	Positive	Negative	EmotionRationale
though the plot description may at first seem like it came from the pen of elmore leonard ( author of out of sight , as well as jackie brown , get shorty and pulp fiction ) , after you watch it , you realize that it's not nearly good enough . 	though the plot description may at first seem like it came from the pen of elmore leonard ( author of out of sight , as well as jackie brown , get shorty and pulp fiction ) , after you watch it , you realize that it's not nearly good enough .	2	-2	 though[0] the[0] plot[0] description[0] may[0] at[0] first[0] seem[0] like[1] it[0] came[0] from[0] the[0] pen[0] of[0] elmore[0] leonard[0] author[0] of[0] out[0] of[0] sight[0] as[0] well[0] as[0] jackie[0] brown[0] get[0] shorty[0] and[0] pulp[0] fiction[0] after[0] you[0] watch[0] it[0] you[0] realize[0] that[0] it's[0] not[0] nearly[0] good[1][NegatedDueToPreviousWord] enough[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in an aggressively non-linear fashion , the limey ( li * mey , noun : an english gentleman ) tells the story of wilson ( terrence stamp ) , a british ex-con just released from a 9 year stint in prison for armed robbery . 	in an aggressively non-linear fashion , the limey ( li * mey , noun : an english gentleman ) tells the story of wilson ( terrence stamp ) , a british ex-con just released from a 9 year stint in prison for armed robbery .	1	-3	 in[0] an[0] aggressively[-2] non[0] linear[0] fashion[0] the[0] limey[0] li[0] mey[0] noun[0] an[0] english[0] gentleman[0] tells[0] the[0] story[0] of[0] wilson[0] terrence[0] stamp[0] a[0] british[0] ex[0] con[0] just[0] released[0] from[0] a[0] 9[0] year[0] stint[0] in[0] prison[-1] for[0] armed[0] robbery[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he has come to the us to seek vengeance for the death of his daughter jenny . 	he has come to the us to seek vengeance for the death of his daughter jenny .	1	-3	 he[0] has[0] come[0] to[0] the[0] us[0] to[0] seek[0] vengeance[-2] for[0] the[0] death[-2] of[0] his[0] daughter[0] jenny[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he doesn't know much about the circumstances of her demise , all he has is a name : terry valentine . 	he doesn't know much about the circumstances of her demise , all he has is a name : terry valentine .	1	-2	 he[0] doesn't[0] know[0] much[0] about[0] the[0] circumstances[0] of[0] her[0] demise[-1] all[0] he[0] has[0] is[0] a[0] name[0] terry[0] valentine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
valentine was jenny's former boyfriend , a wealthy and corrupt record executive . 	valentine was jenny's former boyfriend , a wealthy and corrupt record executive .	1	-3	 valentine[0] was[0] jenny's[0] former[0] boyfriend[0] a[0] wealthy[0] and[0] corrupt[-2] record[0] executive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's played by peter fonda , in his first major role since the terrific ulee's gold in 1997 . 	he's played by peter fonda , in his first major role since the terrific ulee's gold in 1997 .	4	-1	 he's[0] played[0] by[0] peter[0] fonda[0] in[0] his[0] first[0] major[0] role[0] since[0] the[0] terrific[3] ulee's[0] gold[0] in[0] 1997[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
seeking valentine's reclusive place of residence turns out to be no easy task for wilson . 	seeking valentine's reclusive place of residence turns out to be no easy task for wilson .	1	-1	 seeking[0] valentine's[0] reclusive[0] place[0] of[0] residence[0] turns[0] out[0] to[0] be[0] no[0] easy[0] task[0] for[0] wilson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he finally finds the impressive abode high in the mountains and sneaks in just as valentine is having a big party . 	he finally finds the impressive abode high in the mountains and sneaks in just as valentine is having a big party .	2	-2	 he[0] finally[0] finds[0] the[0] impressive[1] abode[0] high[0] in[0] the[0] mountains[0] and[0] sneaks[-1] in[0] just[0] as[0] valentine[0] is[0] having[0] a[0] big[0] party[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he winds up breaking his cover eventually , setting off valentine's head of security and valentine himself , who decides to run for it . 	he winds up breaking his cover eventually , setting off valentine's head of security and valentine himself , who decides to run for it .	2	-1	 he[0] winds[0] up[0] breaking[0] his[0] cover[0] eventually[0] setting[0] off[0] valentine's[0] head[0] of[0] security[1] and[0] valentine[0] himself[0] who[0] decides[0] to[0] run[0] for[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what a mess . 	what a mess .	1	-1	 what[0] a[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have no problem when films refuse to be constricted by the linearity of time -- pulp fiction , which twisted time every which way , was a masterpiece -- but i do take exception to movies that decide to play around with it for no reason other than to confuse the viewer . 	i have no problem when films refuse to be constricted by the linearity of time - pulp fiction , which twisted time every which way , was a masterpiece - but i do take exception to movies that decide to play around with it for no reason other than to confuse the viewer .	1	-2	 i[0] have[0] no[0] problem[-1] when[0] films[0] refuse[-1] to[0] be[0] constricted[0] by[0] the[0] linearity[0] of[0] time[0] pulp[0] fiction[0] which[0] twisted[0] time[0] every[0] which[0] way[0] was[0] a[0] masterpiece[0] but[0] i[0] do[0] take[0] exception[0] to[0] movies[0] that[0] decide[0] to[0] play[0] around[0] with[0] it[0] for[0] no[0] reason[0] other[0] than[0] to[0] confuse[-1] the[0] viewer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the limey does exactly that . 	the limey does exactly that .	1	-1	 the[0] limey[0] does[0] exactly[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
