how do you judge a film that is so bad , but intentionally so ? 	Translation	Positive	Negative	EmotionRationale
in spiceworld , the highly popular singing group the spice girls accomplish their major goal : mocking themselves with a purposely cheezy film and having a lot of fun doing it . 	in spiceworld , the highly popular singing group the spice girls accomplish their major goal : mocking themselves with a purposely cheezy film and having a lot of fun doing it .	2	-3	 in[0] spiceworld[0] the[0] highly[0] popular[0] singing[0] group[0] the[0] spice[0] girls[0] accomplish[1] their[0] major[0] goal[0] mocking[-2] themselves[0] with[0] a[0] purposely[0] cheezy[0] film[0] and[0] having[0] a[0] lot[0] of[0] fun[1] doing[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if that was their goal , they did a fantastic job . 	if that was their goal , they did a fantastic job .	3	-1	 if[0] that[0] was[0] their[0] goal[0] they[0] did[0] a[0] fantastic[2] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so is it fair to give it such a low grade when it wasn't really meant to be much better than this ? 	so is it fair to give it such a low grade when it wasn't really meant to be much better than this ?	1	-2	 so[0] is[0] it[0] fair[0] to[0] give[0] it[0] such[0] a[0] low[-1] grade[0] when[0] it[0] wasn't[0] really[0] meant[0] to[0] be[0] much[0] better[0] than[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
honestly , i'd rather see this film before many others i gave higher grades , so does that mean i graded it inaccurately ? 	honestly , i'd rather see this film before many others i gave higher grades , so does that mean i graded it inaccurately ?	1	-1	 honestly[0] i'd[0] rather[0] see[0] this[0] film[0] before[0] many[0] others[0] i[0] gave[0] higher[0] grades[0] so[0] does[0] that[0] mean[0] i[0] graded[0] it[0] inaccurately[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
truth be known , i don't really think i can answer this question . 	truth be known , i don't really think i can answer this question .	2	-1	 truth[1] be[0] known[0] i[0] don't[0] really[0] think[0] i[0] can[0] answer[0] this[0] question[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to understand spiceworld , you have to understand the spice girls . 	to understand spiceworld , you have to understand the spice girls .	1	-1	 to[0] understand[0] spiceworld[0] you[0] have[0] to[0] understand[0] the[0] spice[0] girls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unless you're very * very * young , or fairly older , you probably have at least heard of them . 	unless you're very * very * young , or fairly older , you probably have at least heard of them .	1	-1	 unless[0] you're[0] very[0] very[0] young[0] or[0] fairly[0] older[0] you[0] probably[0] have[0] at[0] least[0] heard[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're a group of five busty british babes who've had #1 hit singles and whose debut album sold millions . 	they're a group of five busty british babes who've had #1 hit singles and whose debut album sold millions .	1	-1	 they're[0] a[0] group[0] of[0] five[0] busty[0] british[0] babes[0] who've[0] had[0] #1[0] hit[0] singles[0] and[0] whose[0] debut[0] album[0] sold[0] millions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're primarily adored by pre-teen girls who hope someday the contents of their training bras might match those of ginger spice's ( real name : geri haliwell ) wonderbra . 	they're primarily adored by pre-teen girls who hope someday the contents of their training bras might match those of ginger spice's ( real name : geri haliwell ) wonderbra .	4	-1	 they're[0] primarily[0] adored[3] by[0] pre[0] teen[0] girls[0] who[0] hope[2] someday[0] the[0] contents[0] of[0] their[0] training[0] bras[0] might[0] match[0] those[0] of[0] ginger[0] spice's[0] real[0] name[0] geri[0] haliwell[0] wonderbra[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
all five of the girls have these " spicy " names for which they are better known than their real names . 	all five of the girls have these " spicy " names for which they are better known than their real names .	1	-1	 all[0] five[0] of[0] the[0] girls[0] have[0] these[0] spicy[0] names[0] for[0] which[0] they[0] are[0] better[0] known[0] than[0] their[0] real[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is the aforementioned ginger spice , as well as sporty spice ( melanie chisholm , or mel c . ) , scary spice ( melanie brown , or mel b . ) , baby spice ( emma bunton ) , and posh spice ( victoria addams ) , and all of them , to some degree or another , resemble their stage names . 	there is the aforementioned ginger spice , as well as sporty spice ( melanie chisholm , or mel c .<br> ) , scary spice ( melanie brown , or mel b .<br> ) , baby spice ( emma bunton ) , and posh spice ( victoria addams ) , and all of them , to some degree or another , resemble their stage names .	2	-4	 there[0] is[0] the[0] aforementioned[0] ginger[0] spice[0] as[0] well[0] as[0] sporty[0] spice[0] melanie[0] chisholm[0] or[0] mel[0] c[0] [[Sentence=-1,1=word max, 1-5]] scary[-3] spice[0] melanie[0] brown[0] or[0] mel[0] b[0] [[Sentence=-4,1=word max, 1-5]] baby[1] spice[0] emma[0] bunton[0] and[0] posh[0] spice[0] victoria[0] addams[0] and[0] all[0] of[0] them[0] to[0] some[0] degree[0] or[0] another[0] resemble[0] their[0] stage[0] names[0] [[Sentence=-1,2=word max, 1-5]][[[2,-4 max of sentences]]]
the spice girls took the world by storm , and spiceworld is actually a good- humored spoof of all that transpired during their quick rise to fame . 	the spice girls took the world by storm , and spiceworld is actually a good- humored spoof of all that transpired during their quick rise to fame .	3	-2	 the[0] spice[0] girls[0] took[0] the[0] world[0] by[0] storm[-1] and[0] spiceworld[0] is[0] actually[0] a[0] good[1] humored[2] spoof[0] of[0] all[0] that[0] transpired[0] during[0] their[0] quick[0] rise[0] to[0] fame[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
