robin hood : men in tights is another mel-brooks-produced film in the classic tradition of movies like blazing saddles and young frankenstein . 	Translation	Positive	Negative	EmotionRationale
mel brooks is well known for his comic look at regular life , his fast paced dialogue and sharp wit . 	mel brooks is well known for his comic look at regular life , his fast paced dialogue and sharp wit .	1	-1	 mel[0] brooks[0] is[0] well[0] known[0] for[0] his[0] comic[0] look[0] at[0] regular[0] life[0] his[0] fast[0] paced[0] dialogue[0] and[0] sharp[0] wit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , robin hood : men in tights has none of the easy going humor of blazing saddles , none of the fun acting of young frankenstein , is devoid of the charm of spaceballs , and is even lacking the good , solid dialogue of history of the world . 	unfortunately , robin hood : men in tights has none of the easy going humor of blazing saddles , none of the fun acting of young frankenstein , is devoid of the charm of spaceballs , and is even lacking the good , solid dialogue of history of the world .	3	-2	 unfortunately[-1] robin[0] hood[0] men[0] in[0] tights[0] has[0] none[0] of[0] the[0] easy[0] going[0] humor[2] of[0] blazing[0] saddles[0] none[0] of[0] the[0] fun[1] acting[0] of[0] young[0] frankenstein[0] is[0] devoid[-1] of[0] the[0] charm[1] of[0] spaceballs[0] and[0] is[0] even[0] lacking[0] the[0] good[1] solid[0] dialogue[0] of[0] history[0] of[0] the[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is , in short , one of the worst movies i have seen mel brooks , or anybody else , produce . 	it is , in short , one of the worst movies i have seen mel brooks , or anybody else , produce .	1	-3	 it[0] is[0] in[0] short[0] one[0] of[0] the[0] worst[-2] movies[0] i[0] have[0] seen[0] mel[0] brooks[0] or[0] anybody[0] else[0] produce[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot borrows heavily from the well-received kevin costner movie of last year , robin hood : prince of thieves . 	the plot borrows heavily from the well-received kevin costner movie of last year , robin hood : prince of thieves .	1	-2	 the[0] plot[0] borrows[0] heavily[0] from[0] the[0] well[0] received[0] kevin[0] costner[0] movie[0] of[0] last[0] year[0] robin[0] hood[0] prince[0] of[0] thieves[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is not surprising in and of itself , and could have been used to great comic effect , mainly by parodying scenes from the orginal movie . 	this is not surprising in and of itself , and could have been used to great comic effect , mainly by parodying scenes from the orginal movie .	3	-1	 this[0] is[0] not[0] surprising[0] in[0] and[0] of[0] itself[0] and[0] could[0] have[0] been[0] used[0] to[0] great[2] comic[0] effect[0] mainly[0] by[0] parodying[0] scenes[0] from[0] the[0] orginal[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mel brooks does not take advantage of this , however , and uses the film to launch several ideas into the air , none of which connect and none of which are explained later on . 	mel brooks does not take advantage of this , however , and uses the film to launch several ideas into the air , none of which connect and none of which are explained later on .	1	-1	 mel[0] brooks[0] does[0] not[0] take[0] advantage[0] of[0] this[0] however[0] and[0] uses[0] the[0] film[0] to[0] launch[0] several[0] ideas[0] into[0] the[0] air[0] none[0] of[0] which[0] connect[0] and[0] none[0] of[0] which[0] are[0] explained[0] later[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's scenes could be shuffled around in any order and one would be hard pressed to notice . 	the movie's scenes could be shuffled around in any order and one would be hard pressed to notice .	1	-1	 the[0] movie's[0] scenes[0] could[0] be[0] shuffled[0] around[0] in[0] any[0] order[0] and[0] one[0] would[0] be[0] hard[0] pressed[0] to[0] notice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cary elwes , of princess bride fame , plays robin of loxley , a man who was captured in the crusades , fighting with king richard . 	cary elwes , of princess bride fame , plays robin of loxley , a man who was captured in the crusades , fighting with king richard .	2	-3	 cary[0] elwes[0] of[0] princess[0] bride[0] fame[0] plays[1] robin[0] of[0] loxley[0] a[0] man[0] who[0] was[0] captured[-1] in[0] the[0] crusades[0] fighting[-2] with[0] king[0] richard[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he escapes and , joining with a man named achoo ( i am sure you can see the obvious joke ) , fights in england to reclaim his name and the throne for richard , which has been captured by evil prince john , played by funny comic richard lewis . 	he escapes and , joining with a man named achoo ( i am sure you can see the obvious joke ) , fights in england to reclaim his name and the throne for richard , which has been captured by evil prince john , played by funny comic richard lewis .	2	-3	 he[0] escapes[0] and[0] joining[0] with[0] a[0] man[0] named[0] achoo[0] i[0] am[0] sure[0] you[0] can[0] see[0] the[0] obvious[0] joke[1] fights[-2] in[0] england[0] to[0] reclaim[0] his[0] name[0] and[0] the[0] throne[0] for[0] richard[0] which[0] has[0] been[0] captured[-1] by[0] evil[-2] prince[0] john[0] played[0] by[0] funny[1] comic[0] richard[0] lewis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he also tries for the love of maid marian and attempts to overthrow the evil " sheriff of rottingham " . 	he also tries for the love of maid marian and attempts to overthrow the evil " sheriff of rottingham " .	3	-3	 he[0] also[0] tries[0] for[0] the[0] love[2] of[0] maid[0] marian[0] and[0] attempts[0] to[0] overthrow[-1] the[0] evil[-2] sheriff[0] of[0] rottingham[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a good adventure plot that is sadly unused . 	a good adventure plot that is sadly unused .	2	-2	 a[0] good[1] adventure[0] plot[0] that[0] is[0] sadly[-1] unused[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
elwes and lewis are both excellent comics , but the dialogue in the movie is simply excruciating . 	elwes and lewis are both excellent comics , but the dialogue in the movie is simply excruciating .	4	-5	 elwes[0] and[0] lewis[0] are[0] both[0] excellent[3] comics[0] but[0] the[0] dialogue[0] in[0] the[0] movie[0] is[0] simply[0] excruciating[-4] [[Sentence=-5,4=word max, 1-5]][[[4,-5 max of sentences]]]
neither actor has any good words to work with , and the lines simply aren't funny , nor believable . 	neither actor has any good words to work with , and the lines simply aren't funny , nor believable .	2	-2	 neither[0] actor[0] has[0] any[0] good[1] words[0] to[0] work[0] with[0] and[0] the[0] lines[0] simply[0] aren't[0] funny[1][NegatedDueToPreviousWord] nor[0] believable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps the worst example of this is when the group of merry men encounter a man playing a macaulay culkin clone from the hit movie home alone . 	perhaps the worst example of this is when the group of merry men encounter a man playing a macaulay culkin clone from the hit movie home alone .	2	-3	 perhaps[0] the[0] worst[-2] example[0] of[0] this[0] is[0] when[0] the[0] group[0] of[0] merry[1] men[0] encounter[0] a[0] man[0] playing[1] a[0] macaulay[0] culkin[0] clone[0] from[0] the[0] hit[0] movie[0] home[0] alone[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this particular scene is so out of place and so badly acted , and followed by so many other scenes of equal miserable ideas , that i really felt like leaving the theatre . 	this particular scene is so out of place and so badly acted , and followed by so many other scenes of equal miserable ideas , that i really felt like leaving the theatre .	2	-3	 this[0] particular[0] scene[0] is[0] so[0] out[0] of[0] place[0] and[0] so[0] badly[-1] acted[0] and[0] followed[0] by[0] so[0] many[0] other[0] scenes[0] of[0] equal[0] miserable[-2] ideas[0] that[0] i[0] really[0] felt[0] like[1] leaving[0] the[0] theatre[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
much of the audience continued to look at their watches throughout , and some left the theatre . 	much of the audience continued to look at their watches throughout , and some left the theatre .	1	-1	 much[0] of[0] the[0] audience[0] continued[0] to[0] look[0] at[0] their[0] watches[0] throughout[0] and[0] some[0] left[0] the[0] theatre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chuckles were few and far between , and they mostly dealt with visual jokes ( such as an old , beaten up horse from " rent-a-wreck " ) then from any dialogue whatsoever . 	chuckles were few and far between , and they mostly dealt with visual jokes ( such as an old , beaten up horse from " rent-a-wreck " ) then from any dialogue whatsoever .	3	-2	 chuckles[2] were[0] few[0] and[0] far[0] between[0] and[0] they[0] mostly[0] dealt[0] with[0] visual[0] jokes[1] such[0] as[0] an[0] old[0] beaten[0] up[0] horse[0] from[0] rent[0] a[0] wreck[-1] then[0] from[0] any[0] dialogue[0] whatsoever[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
scenes that could have been classics , such as the archery contest , are ruined by poor acting . 	scenes that could have been classics , such as the archery contest , are ruined by poor acting .	1	-2	 scenes[0] that[0] could[0] have[0] been[0] classics[0] such[0] as[0] the[0] archery[0] contest[0] are[0] ruined[-1] by[0] poor[-1] acting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the largest problem with the movie is that it is simply offensive . 	perhaps the largest problem with the movie is that it is simply offensive .	1	-3	 perhaps[0] the[0] largest[0] problem[-1] with[0] the[0] movie[0] is[0] that[0] it[0] is[0] simply[0] offensive[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the basic plot , that robin has received a key that will unlock the chastity belt of maid marian , is not witty nor funny . 	the basic plot , that robin has received a key that will unlock the chastity belt of maid marian , is not witty nor funny .	2	-1	 the[0] basic[0] plot[0] that[0] robin[0] has[0] received[0] a[0] key[0] that[0] will[0] unlock[0] the[0] chastity[0] belt[0] of[0] maid[0] marian[0] is[0] not[0] witty[0] nor[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mel brooks as a circumcision-giving rabbi is also offensive to me and others in the audience ( not all jewish , either ) . 	mel brooks as a circumcision-giving rabbi is also offensive to me and others in the audience ( not all jewish , either ) .	1	-3	 mel[0] brooks[0] as[0] a[0] circumcision[0] giving[0] rabbi[0] is[0] also[0] offensive[-2] to[0] me[0] and[0] others[0] in[0] the[0] audience[0] not[0] all[0] jewish[0] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie simply tries to hard trying to be funny and by and large fails . 	the movie simply tries to hard trying to be funny and by and large fails .	2	-3	 the[0] movie[0] simply[0] tries[0] to[0] hard[0] trying[0] to[0] be[0] funny[1] and[0] by[0] and[0] large[0] fails[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the addition of a blind man who stumbles around , falling off cliffs , walking into ledges and being a general buffoon could have had some humorous potential , but is also made terribly offensive . 	the addition of a blind man who stumbles around , falling off cliffs , walking into ledges and being a general buffoon could have had some humorous potential , but is also made terribly offensive .	2	-4	 the[0] addition[0] of[0] a[0] blind[-1] man[0] who[0] stumbles[0] around[0] falling[0] off[0] cliffs[0] walking[0] into[0] ledges[0] and[0] being[0] a[0] general[0] buffoon[-1] could[0] have[0] had[0] some[0] humorous[2][-1 LastWordBoosterStrength] potential[0] but[0] is[0] also[0] made[0] terribly[-3] offensive[-2][-1 MultiplePositiveWords] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the only reason to see this movie is the surprise actor at the end who plays king richard . 	the only reason to see this movie is the surprise actor at the end who plays king richard .	2	-1	 the[0] only[0] reason[0] to[0] see[0] this[0] movie[0] is[0] the[0] surprise[0] actor[0] at[0] the[0] end[0] who[0] plays[1] king[0] richard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is well worth waiting for , if you can stand an hour and half of unfunny dialogue , excruciating visual humor , old puns , ancient jokes and bad acting . 	he is well worth waiting for , if you can stand an hour and half of unfunny dialogue , excruciating visual humor , old puns , ancient jokes and bad acting .	3	-5	 he[0] is[0] well[0] worth[0] waiting[0] for[0] if[0] you[0] can[0] stand[0] an[0] hour[0] and[0] half[0] of[0] unfunny[0] dialogue[0] excruciating[-4] visual[0] humor[2] old[0] puns[0] ancient[0] jokes[1] and[0] bad[-1] acting[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
if you can't , don't even bother watching this miserable film . 	if you can't , don't even bother watching this miserable film .	2	-3	 if[0] you[0] can't[0] don't[0] even[0] bother[-1][NegatedDueToPreviousWord] watching[0] this[0] miserable[-2] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
