one night , during a torrential downpour that flooded the streets , we went to see -- what else -- hard rain . 	Translation	Positive	Negative	EmotionRationale
 " so , are we all going to die ? " 	 " so , are we all going to die ?<br> "	1	-1	 so[0] are[0] we[0] all[0] going[0] to[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sheriff ( randy quaid ) asks in the story's opening line as he evacuates his flooded town . 	the sheriff ( randy quaid ) asks in the story's opening line as he evacuates his flooded town .	1	-1	 the[0] sheriff[0] randy[0] quaid[0] asks[0] in[0] the[0] story's[0] opening[0] line[0] as[0] he[0] evacuates[0] his[0] flooded[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer is pretty much yes , but not nearly soon enough . 	the answer is pretty much yes , but not nearly soon enough .	3	-1	 the[0] answer[0] is[0] pretty[2] much[0] yes[0] but[0] not[0] nearly[0] soon[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and to add insult to injury , the supposedly dead , regretfully , often turn out not to be so . 	and to add insult to injury , the supposedly dead , regretfully , often turn out not to be so .	1	-3	 and[0] to[0] add[0] insult[-2] to[0] injury[-1] the[0] supposedly[0] dead[-2] regretfully[-1] often[0] turn[0] out[0] not[0] to[0] be[0] so[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
populating this bad tv-movie-of-the-week material are a host of talented actors . 	populating this bad tv-movie-of-the-week material are a host of talented actors .	2	-2	 populating[0] this[0] bad[-1] tv[0] movie[0] of[0] the[0] week[0] material[0] are[0] a[0] host[0] of[0] talented[1] actors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one can only hope they were rewarded handsomely for acting in this hopelessly muddled picture . 	one can only hope they were rewarded handsomely for acting in this hopelessly muddled picture .	3	-4	 one[0] can[0] only[0] hope[2] they[0] were[0] rewarded[1] handsomely[1] for[0] acting[0] in[0] this[0] hopelessly[-3] muddled[-1] picture[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
besides the obvious hardships of acting most scenes while dog paddling in the water , they will all receive black marks on their records for appearing in this dismal movie . 	besides the obvious hardships of acting most scenes while dog paddling in the water , they will all receive black marks on their records for appearing in this dismal movie .	1	-2	 besides[0] the[0] obvious[0] hardships[-1] of[0] acting[0] most[0] scenes[0] while[0] dog[0] paddling[0] in[0] the[0] water[0] they[0] will[0] all[0] receive[0] black[0] marks[0] on[0] their[0] records[0] for[0] appearing[0] in[0] this[0] dismal[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
graham yost's script serves up one cliche after another for the actors , who thankfully managed to mumble quite a few of the lines . 	graham yost's script serves up one cliche after another for the actors , who thankfully managed to mumble quite a few of the lines .	2	-2	 graham[0] yost's[0] script[0] serves[0] up[0] one[0] cliche[0] after[0] another[0] for[0] the[0] actors[0] who[0] thankfully[1] managed[0] to[0] mumble[-1] quite[0] a[0] few[0] of[0] the[0] lines[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
director mikael salomon's staging is so confusing that you may have trouble figuring out what is happening . 	director mikael salomon's staging is so confusing that you may have trouble figuring out what is happening .	1	-2	 director[0] mikael[0] salomon's[0] staging[0] is[0] so[0] confusing[-1] that[0] you[0] may[0] have[0] trouble[-1] figuring[0] out[0] what[0] is[0] happening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the befuddled presentation is exacerbated by peter menzies , jr . 's dark and ugly cinematography . 	the befuddled presentation is exacerbated by peter menzies , jr .<br> 's dark and ugly cinematography .	1	-3	 the[0] befuddled[0] presentation[0] is[0] exacerbated[0] by[0] peter[0] menzies[0] jr[0] [[Sentence=-1,1=word max, 1-5]] 's[0] dark[0] and[0] ugly[-2] cinematography[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
