the above is dialogue from this film , taken almost completely in context , and not jazzed up a bit to make it more inept than it is . 	Translation	Positive	Negative	EmotionRationale
it is spoken between two of the protagonists somewhere in the film , and basically serves as a perfect example of what this film is about , especially if you realize that this exchange is meant to be taken seriously . 	it is spoken between two of the protagonists somewhere in the film , and basically serves as a perfect example of what this film is about , especially if you realize that this exchange is meant to be taken seriously .	2	-1	 it[0] is[0] spoken[0] between[0] two[0] of[0] the[0] protagonists[0] somewhere[0] in[0] the[0] film[0] and[0] basically[0] serves[0] as[0] a[0] perfect[1] example[0] of[0] what[0] this[0] film[0] is[0] about[0] especially[0] if[0] you[0] realize[0] that[0] this[0] exchange[0] is[0] meant[0] to[0] be[0] taken[0] seriously[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mr . gregg " i'm-having-a-mid-life-crisis " araki , the writer and director of this film , wants to show how important teenagers are , and wants to show how they feel in such a horrible , horrible world . 	mr .<br> gregg " i'm-having-a-mid-life-crisis " araki , the writer and director of this film , wants to show how important teenagers are , and wants to show how they feel in such a horrible , horrible world .	1	-5	 mr[0] [[Sentence=-1,1=word max, 1-5]] gregg[0] i'm[0] having[0] a[0] mid[0] life[0] crisis[-2] araki[0] the[0] writer[0] and[0] director[0] of[0] this[0] film[0] wants[0] to[0] show[0] how[0] important[0] teenagers[0] are[0] and[0] wants[0] to[0] show[0] how[0] they[0] feel[0] in[0] such[0] a[0] horrible[-3] horrible[-3][-1 MultiplePositiveWords] world[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
and how does he show it ? 	and how does he show it ?	1	-1	 and[0] how[0] does[0] he[0] show[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by really cheap surrealism , and moronic exchanges like this . 	by really cheap surrealism , and moronic exchanges like this .	2	-3	 by[0] really[0] cheap[-1][-1 LastWordBoosterStrength] surrealism[0] and[0] moronic[-2] exchanges[0] like[1] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
oh , and it gets better . 	oh , and it gets better .	1	-1	 oh[0] and[0] it[0] gets[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a similar bit of dialogue is said in the middle of , oh i dunno , the fiftieth sex scene in this film ( i'm not counting the several masturbation scenes ) . 	a similar bit of dialogue is said in the middle of , oh i dunno , the fiftieth sex scene in this film ( i'm not counting the several masturbation scenes ) .	1	-1	 a[0] similar[0] bit[0] of[0] dialogue[0] is[0] said[0] in[0] the[0] middle[0] of[0] oh[0] i[0] dunno[0] the[0] fiftieth[0] sex[0] scene[0] in[0] this[0] film[0] i'm[0] not[0] counting[0] the[0] several[0] masturbation[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in it , one of the protagonists is humping away on top of another , and he says to her something along the lines of " do you ever wonder what life is all about ? " 	in it , one of the protagonists is humping away on top of another , and he says to her something along the lines of " do you ever wonder what life is all about ?<br> "	1	-1	 in[0] it[0] one[0] of[0] the[0] protagonists[0] is[0] humping[0] away[0] on[0] top[0] of[0] another[0] and[0] he[0] says[0] to[0] her[0] something[0] along[0] the[0] lines[0] of[0] do[0] you[0] ever[0] wonder[0] what[0] life[0] is[0] all[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sorry , man : foreplay takes place before the act of coitus . 	sorry , man : foreplay takes place before the act of coitus .	1	-2	 sorry[-1] man[0] foreplay[0] takes[0] place[0] before[0] the[0] act[0] of[0] coitus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , what do you expect : the film was written and directed by a guy who can't even spell his first name right ( yes , i know it's a cheap joke , but it had to be done ) . 	of course , what do you expect : the film was written and directed by a guy who can't even spell his first name right ( yes , i know it's a cheap joke , but it had to be done ) .	2	-2	 of[0] course[0] what[0] do[0] you[0] expect[0] the[0] film[0] was[0] written[0] and[0] directed[0] by[0] a[0] guy[0] who[0] can't[0] even[0] spell[0] his[0] first[0] name[0] right[0] yes[0] i[0] know[0] it's[0] a[0] cheap[-1] joke[1] but[0] it[0] had[0] to[0] be[0] done[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the doom generation " is advertised as a road trip movie about people who go around killing others who attack them , and also as another " teen angst " film ( one of the slogans is " teen is a four-letter word " - hardy har har ) . 	 " the doom generation " is advertised as a road trip movie about people who go around killing others who attack them , and also as another " teen angst " film ( one of the slogans is " teen is a four-letter word " - hardy har har ) .	1	-3	 the[0] doom[-1] generation[0] is[0] advertised[0] as[0] a[0] road[0] trip[0] movie[0] about[0] people[0] who[0] go[0] around[0] killing[-1] others[0] who[0] attack[-2] them[0] and[0] also[0] as[0] another[0] teen[0] angst[0] film[0] one[0] of[0] the[0] slogans[0] is[0] teen[0] is[0] a[0] four[0] letter[0] word[0] hardy[0] har[0] har[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a film about two angsty teens - amy blue ( rose macgowan , who would later play the buxom tatum in " scream " ) and jordon white ( james duval , who would go on to play randy quaid's son in " independence day " ) - who pick up an angsty homicidal maniac , xavier red ( jonathan schaech , who would go on to play the angsty lead guitarist in " that thing you do ! " 	it's a film about two angsty teens - amy blue ( rose macgowan , who would later play the buxom tatum in " scream " ) and jordon white ( james duval , who would go on to play randy quaid's son in " independence day " ) - who pick up an angsty homicidal maniac , xavier red ( jonathan schaech , who would go on to play the angsty lead guitarist in " that thing you do !<br> "	1	-4	 it's[0] a[0] film[0] about[0] two[0] angsty[0] teens[0] amy[0] blue[0] rose[0] macgowan[0] who[0] would[0] later[0] play[0] the[0] buxom[0] tatum[0] in[0] scream[-3] and[0] jordon[0] white[0] james[0] duval[0] who[0] would[0] go[0] on[0] to[0] play[0] randy[0] quaid's[0] son[0] in[0] independence[0] day[0] who[0] pick[0] up[0] an[0] angsty[0] homicidal[0] maniac[-2] xavier[0] red[0] jonathan[0] schaech[0] who[0] would[0] go[0] on[0] to[0] play[0] the[0] angsty[0] lead[0] guitarist[0] in[0] that[0] thing[0] you[0] do[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
