while watching loser , it occurred to me that amy heckerling's true genius as a film-maker is casting . 	Translation	Positive	Negative	EmotionRationale
in fast times at ridgemont high , she gave us sean penn's jeff spicoli ; in look who's talking , she turned bruce willis into a wise-cracking baby and provided john travolta with is first career revival ; in clueless , she found a star vehicle for the adorableness that is ( or was ) alicia silverstone . 	in fast times at ridgemont high , she gave us sean penn's jeff spicoli ; in look who's talking , she turned bruce willis into a wise-cracking baby and provided john travolta with is first career revival ; in clueless , she found a star vehicle for the adorableness that is ( or was ) alicia silverstone .	4	-1	 in[0] fast[0] times[0] at[0] ridgemont[0] high[0] she[0] gave[0] us[0] sean[0] penn's[0] jeff[0] spicoli[0] in[0] look[0] who's[0] talking[0] she[0] turned[0] bruce[0] willis[0] into[0] a[0] wise[0] cracking[0] baby[1] and[0] provided[0] john[0] travolta[0] with[0] is[0] first[0] career[0] revival[0] in[0] clueless[0] she[0] found[0] a[0] star[0] vehicle[0] for[0] the[0] adorableness[3] that[0] is[0] or[0] was[0] alicia[0] silverstone[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she seems to understand instinctively how to find performers the audience will like in spite of their flaws . 	she seems to understand instinctively how to find performers the audience will like in spite of their flaws .	2	-4	 she[0] seems[0] to[0] understand[0] instinctively[0] how[0] to[0] find[0] performers[0] the[0] audience[0] will[0] like[1] in[0] spite[-3] of[0] their[0] flaws[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
unfortunately , she may also be starting to understand that she understands . 	unfortunately , she may also be starting to understand that she understands .	1	-2	 unfortunately[-1] she[0] may[0] also[0] be[0] starting[0] to[0] understand[0] that[0] she[0] understands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
giving appealing actors an appealing script creates likeable movies . 	giving appealing actors an appealing script creates likeable movies .	3	-1	 giving[0] appealing[0] actors[0] an[0] appealing[0] script[0] creates[0] likeable[2] movies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
giving appealing actors a script in which their appeal _is_ the movie makes for unexpectedly awful films like loser . 	giving appealing actors a script in which their appeal _is_ the movie makes for unexpectedly awful films like loser .	2	-4	 giving[0] appealing[0] actors[0] a[0] script[0] in[0] which[0] their[0] appeal[0] _is_[0] the[0] movie[0] makes[0] for[0] unexpectedly[-1] awful[-3] films[0] like[1] loser[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
naturally , heckerling makes her protagonist an all-around swell guy . 	naturally , heckerling makes her protagonist an all-around swell guy .	1	-1	 naturally[0] heckerling[0] makes[0] her[0] protagonist[0] an[0] all[0] around[0] swell[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul tannek ( jason biggs ) is a small-town boy who gets a scholarship to nyu , then instantly finds himself an island of compassion and diligence in the cold-hearted big city . 	paul tannek ( jason biggs ) is a small-town boy who gets a scholarship to nyu , then instantly finds himself an island of compassion and diligence in the cold-hearted big city .	2	-2	 paul[0] tannek[0] jason[0] biggs[0] is[0] a[0] small[0] town[0] boy[0] who[0] gets[0] a[0] scholarship[0] to[0] nyu[0] then[0] instantly[0] finds[0] himself[0] an[0] island[0] of[0] compassion[1] and[0] diligence[0] in[0] the[0] cold[-1] hearted[0] big[0] city[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
paul is the kind of guy who gives up his seat on the subway to an elderly woman ; his roommates adam ( zak orth ) , chris ( tom sadoski ) and noah ( jimmi simpson ) are the kind of guys who blast their music and let their waterbeds leak all over paul . 	paul is the kind of guy who gives up his seat on the subway to an elderly woman ; his roommates adam ( zak orth ) , chris ( tom sadoski ) and noah ( jimmi simpson ) are the kind of guys who blast their music and let their waterbeds leak all over paul .	2	-2	 paul[0] is[0] the[0] kind[1] of[0] guy[0] who[0] gives[0] up[0] his[0] seat[0] on[0] the[0] subway[0] to[0] an[0] elderly[0] woman[0] his[0] roommates[0] adam[0] zak[0] orth[0] chris[0] tom[0] sadoski[0] and[0] noah[0] jimmi[0] simpson[0] are[0] the[0] kind[1] of[0] guys[0] who[0] blast[0] their[0] music[0] and[0] let[0] their[0] waterbeds[0] leak[-1] all[0] over[0] paul[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
paul is also the kind of guy who adores girls from afar , in this case the lovely dora diamond ( mena suvari ) . 	paul is also the kind of guy who adores girls from afar , in this case the lovely dora diamond ( mena suvari ) .	4	-1	 paul[0] is[0] also[0] the[0] kind[1] of[0] guy[0] who[0] adores[3] girls[0] from[0] afar[0] in[0] this[0] case[0] the[0] lovely[1] dora[0] diamond[0] mena[0] suvari[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
dora has problems of her own , including a shortage of funds to pay her tuition and a relationship with a professor , edward alcott ( greg kinnear ) , that's more than slightly one-sided . 	dora has problems of her own , including a shortage of funds to pay her tuition and a relationship with a professor , edward alcott ( greg kinnear ) , that's more than slightly one-sided .	1	-2	 dora[0] has[0] problems[-1] of[0] her[0] own[0] including[0] a[0] shortage[-1] of[0] funds[0] to[0] pay[0] her[0] tuition[0] and[0] a[0] relationship[0] with[0] a[0] professor[0] edward[0] alcott[0] greg[0] kinnear[0] that's[0] more[0] than[0] slightly[0] one[0] sided[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
