the art of woo attempts to be one of those films like breakfast at tiffany's in which the audience is rooting for some sweet , vulnerable , irresistible woman to work out her problems and to find happiness . 	Translation	Positive	Negative	EmotionRationale
the problem is that helen lee who writes and directs seems to have written alessa woo ( played by sook-yin lee ) as neither sweet nor vulnerable and she is quite resistible . 	the problem is that helen lee who writes and directs seems to have written alessa woo ( played by sook-yin lee ) as neither sweet nor vulnerable and she is quite resistible .	2	-3	 the[0] problem[-1] is[0] that[0] helen[0] lee[0] who[0] writes[0] and[0] directs[0] seems[0] to[0] have[0] written[0] alessa[0] woo[0] played[0] by[0] sook[0] yin[0] lee[0] as[0] neither[0] sweet[1] nor[0] vulnerable[-2] and[0] she[0] is[0] quite[0] resistible[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
alessa is a young woman who happens to be a brilliant art dealer in the toronto art scene . 	alessa is a young woman who happens to be a brilliant art dealer in the toronto art scene .	2	-1	 alessa[0] is[0] a[0] young[0] woman[0] who[0] happens[0] to[0] be[0] a[0] brilliant[1] art[0] dealer[0] in[0] the[0] toronto[0] art[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is some sort of alternate world art scene where people pay tens of thousands of dollars for paintings by talented beginners and dealers in these paintings fly back and forth to places like switzerland . 	this is some sort of alternate world art scene where people pay tens of thousands of dollars for paintings by talented beginners and dealers in these paintings fly back and forth to places like switzerland .	2	-1	 this[0] is[0] some[0] sort[0] of[0] alternate[0] world[0] art[0] scene[0] where[0] people[0] pay[0] tens[0] of[0] thousands[0] of[0] dollars[0] for[0] paintings[0] by[0] talented[1] beginners[0] and[0] dealers[0] in[0] these[0] paintings[0] fly[0] back[0] and[0] forth[0] to[0] places[0] like[1] switzerland[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the most knowledgeable of the art dealers is alessa . 	one of the most knowledgeable of the art dealers is alessa .	1	-1	 one[0] of[0] the[0] most[0] knowledgeable[0] of[0] the[0] art[0] dealers[0] is[0] alessa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she also happens to be the center of adulation of her friends and every party has suitors camped outside her window . 	she also happens to be the center of adulation of her friends and every party has suitors camped outside her window .	2	-1	 she[0] also[0] happens[0] to[0] be[0] the[0] center[0] of[0] adulation[0] of[0] her[0] friends[1] and[0] every[0] party[0] has[0] suitors[0] camped[0] outside[0] her[0] window[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
next door to alessa moves struggling genius artist and native american ben crowchild ( adam beach ) . 	next door to alessa moves struggling genius artist and native american ben crowchild ( adam beach ) .	1	-2	 next[0] door[0] to[0] alessa[0] moves[0] struggling[-1] genius[0] artist[0] and[0] native[0] american[0] ben[0] crowchild[0] adam[0] beach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he sees that behind the facade that there is really a sad little girl within alessa who really will not be happy with the rich art collector she is dating . 	he sees that behind the facade that there is really a sad little girl within alessa who really will not be happy with the rich art collector she is dating .	1	-4	 he[0] sees[0] that[0] behind[0] the[0] facade[0] that[0] there[0] is[0] really[0] a[0] sad[-3] little[0] girl[0] within[0] alessa[0] who[0] really[0] will[0] not[0] be[0] happy[1][NegatedDueToPreviousWord] with[0] the[0] rich[0] art[0] collector[0] she[0] is[0] dating[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ben gets emotionally involved with alessa . 	ben gets emotionally involved with alessa .	1	-1	 ben[0] gets[0] emotionally[0] involved[0] with[0] alessa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( as alessa so delicately puts it , " we were bosom buddies , now we're fuck buddies . " ) 	 ( as alessa so delicately puts it , " we were bosom buddies , now we're fuck buddies .<br> " )	1	-3	 as[0] alessa[0] so[0] delicately[0] puts[0] it[0] we[0] were[0] bosom[0] buddies[0] now[0] we're[0] fuck[-2] buddies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but alessa will have to decide whether she wants love with ben or wealth with her rich suitor . 	but alessa will have to decide whether she wants love with ben or wealth with her rich suitor .	3	-1	 but[0] alessa[0] will[0] have[0] to[0] decide[0] whether[0] she[0] wants[0] love[2] with[0] ben[0] or[0] wealth[0] with[0] her[0] rich[0] suitor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
