conventional wisdom among collectibles retailers is that children's items begin to dramatically escalate in price about twenty-five or thirty years after the item was made . 	Translation	Positive	Negative	EmotionRationale
that's when the kids of that time have jobs , disposable income and a desire to re-visit the awe and wonderment of childhood that has disappeared from their lives . 	that's when the kids of that time have jobs , disposable income and a desire to re-visit the awe and wonderment of childhood that has disappeared from their lives .	1	-1	 that's[0] when[0] the[0] kids[0] of[0] that[0] time[0] have[0] jobs[0] disposable[0] income[0] and[0] a[0] desire[0] to[0] re[0] visit[0] the[0] awe[0] and[0] wonderment[0] of[0] childhood[0] that[0] has[0] disappeared[0] from[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
check out the prices of toys from the late sixties and you'll find that yogi bear lunch boxes are demanding big bucks . 	check out the prices of toys from the late sixties and you'll find that yogi bear lunch boxes are demanding big bucks .	1	-1	 check[0] out[0] the[0] prices[0] of[0] toys[0] from[0] the[0] late[0] sixties[0] and[0] you'll[0] find[0] that[0] yogi[0] bear[0] lunch[0] boxes[0] are[0] demanding[0] big[0] bucks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a heavy nostalgia nowadays for the late sixties and early seventies and nowhere is it more apparent than on the big screen . 	there's a heavy nostalgia nowadays for the late sixties and early seventies and nowhere is it more apparent than on the big screen .	1	-1	 there's[0] a[0] heavy[0] nostalgia[0] nowadays[0] for[0] the[0] late[0] sixties[0] and[0] early[0] seventies[0] and[0] nowhere[0] is[0] it[0] more[0] apparent[0] than[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boomers are now mostly in their forties and fifties and have lived in the work-a-day world for a long time . 	boomers are now mostly in their forties and fifties and have lived in the work-a-day world for a long time .	1	-1	 boomers[0] are[0] now[0] mostly[0] in[0] their[0] forties[0] and[0] fifties[0] and[0] have[0] lived[0] in[0] the[0] work[0] a[0] day[0] world[0] for[0] a[0] long[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they'd like to re-capture some of that fun they remember from days of yore . 	they'd like to re-capture some of that fun they remember from days of yore .	2	-2	 they'd[0] like[1] to[0] re[0] capture[-1] some[0] of[0] that[0] fun[1] they[0] remember[0] from[0] days[0] of[0] yore[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hollywood seems more than eager to churn out product to help them . 	hollywood seems more than eager to churn out product to help them .	1	-1	 hollywood[0] seems[0] more[0] than[0] eager[0] to[0] churn[0] out[0] product[0] to[0] help[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directors are zealous to put their stamp on icons from that time . 	directors are zealous to put their stamp on icons from that time .	1	-1	 directors[0] are[0] zealous[0] to[0] put[0] their[0] stamp[0] on[0] icons[0] from[0] that[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for the most part they're messing it up . 	and for the most part they're messing it up .	1	-1	 and[0] for[0] the[0] most[0] part[0] they're[0] messing[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " mission impossible " , " lost in space " , " godzilla " , " zorro " . 	 " mission impossible " , " lost in space " , " godzilla " , " zorro " .	1	-1	 mission[0] impossible[0] lost[0] in[0] space[0] godzilla[0] zorro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of these successfully capture the originals . 	none of these successfully capture the originals .	3	-2	 none[0] of[0] these[0] successfully[2] capture[-1] the[0] originals[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
