i wish i could have been in the pitch meeting for this ridiculous notion of a sports film . 	Translation	Positive	Negative	EmotionRationale
i bet it was some hotshot warner brothers agent with an dark armani suit and manicured fingernails saying , " it would be a very light comedic version of any given sunday , and we could throw in the hoosiers angle with the casting of gene hackman as the tough but determined coach . 	i bet it was some hotshot warner brothers agent with an dark armani suit and manicured fingernails saying , " it would be a very light comedic version of any given sunday , and we could throw in the hoosiers angle with the casting of gene hackman as the tough but determined coach .	1	-2	 i[0] bet[0] it[0] was[0] some[0] hotshot[0] warner[0] brothers[0] agent[0] with[0] an[0] dark[0] armani[0] suit[0] and[0] manicured[0] fingernails[0] saying[0] it[0] would[0] be[0] a[0] very[0] light[0] comedic[0] version[0] of[0] any[0] given[0] sunday[0] and[0] we[0] could[0] throw[0] in[0] the[0] hoosiers[0] angle[0] with[0] the[0] casting[0] of[0] gene[0] hackman[0] as[0] the[0] tough[-1] but[0] determined[0] coach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
throw in that hunk of a guy keanu reeves and a cast of wacky characters and poof ! 	throw in that hunk of a guy keanu reeves and a cast of wacky characters and poof !	1	-1	 throw[0] in[0] that[0] hunk[0] of[0] a[0] guy[0] keanu[0] reeves[0] and[0] a[0] cast[0] of[0] wacky[0] characters[0] and[0] poof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we'll have a hit on our hands ! " 	we'll have a hit on our hands !<br> "	1	-1	 we'll[0] have[0] a[0] hit[0] on[0] our[0] hands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the replacements is a hokey mistake of a football film , a mishmash collage of one-dimensional characters , rampant stereotypes of cultures and races , cliched emotional statements of purpose , and keanu reeves wishing for the matrix sequel to start principal photography . 	the replacements is a hokey mistake of a football film , a mishmash collage of one-dimensional characters , rampant stereotypes of cultures and races , cliched emotional statements of purpose , and keanu reeves wishing for the matrix sequel to start principal photography .	1	-2	 the[0] replacements[0] is[0] a[0] hokey[0] mistake[-1] of[0] a[0] football[0] film[0] a[0] mishmash[0] collage[0] of[0] one[0] dimensional[0] characters[0] rampant[-1] stereotypes[0] of[0] cultures[0] and[0] races[0] cliched[0] emotional[-1] statements[0] of[0] purpose[0] and[0] keanu[0] reeves[0] wishing[0] for[0] the[0] matrix[0] sequel[0] to[0] start[0] principal[0] photography[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story is loosely based around the pro football players' strike in 1987 and a rag-tag team of replacement football players taking up the reins of professional play for a variety of teams with names like the washington sentinels . 	the story is loosely based around the pro football players' strike in 1987 and a rag-tag team of replacement football players taking up the reins of professional play for a variety of teams with names like the washington sentinels .	2	-2	 the[0] story[0] is[0] loosely[0] based[0] around[0] the[0] pro[0] football[0] players'[0] strike[-1] in[0] 1987[0] and[0] a[0] rag[0] tag[0] team[0] of[0] replacement[0] football[0] players[0] taking[0] up[0] the[0] reins[0] of[0] professional[0] play[0] for[0] a[0] variety[0] of[0] teams[0] with[0] names[0] like[1] the[0] washington[0] sentinels[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
keanu reeves stars as shane falco , a has-been football college player looking for redemption . 	keanu reeves stars as shane falco , a has-been football college player looking for redemption .	1	-1	 keanu[0] reeves[0] stars[0] as[0] shane[0] falco[0] a[0] has[0] been[0] football[0] college[0] player[0] looking[0] for[0] redemption[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gene hackman dons a fedora like tom landry and speaks with gusto like a certain coach in hoosiers . 	gene hackman dons a fedora like tom landry and speaks with gusto like a certain coach in hoosiers .	2	-1	 gene[0] hackman[0] dons[0] a[0] fedora[0] like[1] tom[0] landry[0] and[0] speaks[0] with[0] gusto[0] like[1] a[0] certain[0] coach[0] in[0] hoosiers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rounding out the cast includes swingers' jon favreau , 7-up pitchman orlando jones , gruff owner jack warden , and cast of wacky and unknown actors who do amazing jobs of portraying perfectly stereotyped characters : the drunken welshman , the overweight sumo wrestler , the black convict , the violent cop , and the dumb , dumb cheerleaders . 	rounding out the cast includes swingers' jon favreau , 7-up pitchman orlando jones , gruff owner jack warden , and cast of wacky and unknown actors who do amazing jobs of portraying perfectly stereotyped characters : the drunken welshman , the overweight sumo wrestler , the black convict , the violent cop , and the dumb , dumb cheerleaders .	3	-3	 rounding[0] out[0] the[0] cast[0] includes[0] swingers'[0] jon[0] favreau[0] 7[0] up[0] pitchman[0] orlando[0] jones[0] gruff[-1] owner[0] jack[0] warden[0] and[0] cast[0] of[0] wacky[0] and[0] unknown[0] actors[0] who[0] do[0] amazing[2] jobs[0] of[0] portraying[0] perfectly[1] stereotyped[0] characters[0] the[0] drunken[-1] welshman[0] the[0] overweight[-1] sumo[0] wrestler[0] the[0] black[0] convict[-1] the[0] violent[-2] cop[0] and[0] the[0] dumb[-1] dumb[-1] cheerleaders[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this bunch of nobodies try to make something of themselves by taking the team to the season playoffs with unbelievable football plays , gene hackman yelling and asking himself where the hell dennis hopper is , keanu reeves looking for his body double making him look good on the football field , and cheerleaders hired from the local strip club making the girls from coyote ugly look like waitresses from denny's . 	this bunch of nobodies try to make something of themselves by taking the team to the season playoffs with unbelievable football plays , gene hackman yelling and asking himself where the hell dennis hopper is , keanu reeves looking for his body double making him look good on the football field , and cheerleaders hired from the local strip club making the girls from coyote ugly look like waitresses from denny's .	2	-3	 this[0] bunch[0] of[0] nobodies[0] try[0] to[0] make[0] something[0] of[0] themselves[0] by[0] taking[0] the[0] team[0] to[0] the[0] season[0] playoffs[0] with[0] unbelievable[-1] football[0] plays[1] gene[0] hackman[0] yelling[0] and[0] asking[0] himself[0] where[0] the[0] hell[-1] dennis[0] hopper[0] is[0] keanu[0] reeves[0] looking[0] for[0] his[0] body[0] double[0] making[0] him[0] look[0] good[1] on[0] the[0] football[0] field[0] and[0] cheerleaders[0] hired[0] from[0] the[0] local[0] strip[0] club[0] making[0] the[0] girls[0] from[0] coyote[0] ugly[-2] look[0] like[1] waitresses[0] from[0] denny's[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the usual things happen like clockwork . 	the usual things happen like clockwork .	2	-1	 the[0] usual[0] things[0] happen[0] like[1] clockwork[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
