i'm not sure who the genius is who came up with the idea of comparing " disturbing behavior " with " scream . " 	Translation	Positive	Negative	EmotionRationale
maybe it's because they're both horror films ( kinda ) , both have hot young stars , both have an annoying alternative soundtrack , and both are aimed at the teenage crowd , which i guess includes me . 	maybe it's because they're both horror films ( kinda ) , both have hot young stars , both have an annoying alternative soundtrack , and both are aimed at the teenage crowd , which i guess includes me .	1	-4	 maybe[0] it's[0] because[0] they're[0] both[0] horror[-3] films[0] kinda[0] both[0] have[0] hot[0] young[0] stars[0] both[0] have[0] an[0] annoying[-2] alternative[0] soundtrack[0] and[0] both[0] are[0] aimed[0] at[0] the[0] teenage[0] crowd[0] which[0] i[0] guess[0] includes[0] me[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but this is not the next in line with the " scream " flicks as well as the " i know what you did last summer " soon to be flicks . 	but this is not the next in line with the " scream " flicks as well as the " i know what you did last summer " soon to be flicks .	1	-4	 but[0] this[0] is[0] not[0] the[0] next[0] in[0] line[0] with[0] the[0] scream[-3] flicks[0] as[0] well[0] as[0] the[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] soon[0] to[0] be[0] flicks[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it owes less to " halloween " and more to kafka and orwell , which , in my book , makes for a more interesting feature . 	it owes less to " halloween " and more to kafka and orwell , which , in my book , makes for a more interesting feature .	2	-1	 it[0] owes[0] less[0] to[0] halloween[0] and[0] more[0] to[0] kafka[0] and[0] orwell[0] which[0] in[0] my[0] book[0] makes[0] for[0] a[0] more[0] interesting[1] feature[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and it should have been . 	and it should have been .	1	-1	 and[0] it[0] should[0] have[0] been[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is basically a rehash of " the stepford wives , " the great 70s film i never saw starring katherine ross and dealing , as i've been told , with a bunch of women who are programmed to be perfect housewives . 	this is basically a rehash of " the stepford wives , " the great 70s film i never saw starring katherine ross and dealing , as i've been told , with a bunch of women who are programmed to be perfect housewives .	3	-1	 this[0] is[0] basically[0] a[0] rehash[0] of[0] the[0] stepford[0] wives[0] the[0] great[2] 70s[0] film[0] i[0] never[0] saw[0] starring[0] katherine[0] ross[0] and[0] dealing[0] as[0] i've[0] been[0] told[0] with[0] a[0] bunch[0] of[0] women[0] who[0] are[0] programmed[0] to[0] be[0] perfect[1] housewives[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
or something like that . 	or something like that .	2	-1	 or[0] something[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " behavior , " starring katie holmes of " dawson's creek , " deals with a bunch of teenagers , deep in angst , who are being programmed to be perfect teenagers . 	 " behavior , " starring katie holmes of " dawson's creek , " deals with a bunch of teenagers , deep in angst , who are being programmed to be perfect teenagers .	2	-1	 behavior[0] starring[0] katie[0] holmes[0] of[0] dawson's[0] creek[0] deals[0] with[0] a[0] bunch[0] of[0] teenagers[0] deep[0] in[0] angst[0] who[0] are[0] being[0] programmed[0] to[0] be[0] perfect[1] teenagers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
suck-ups . 	suck-ups .	1	-2	 suck[-1] ups[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
preppies . 	preppies .	1	-1	 preppies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it actually , at least to me , sounds like it would work , and with scott rosenberg , that witty penmen who has written stuff like " beautiful girls " and " things to do in denver when you're dead " ( as well as " con air " ) , it actually sounds like it may be pulled off with the right amount of frights and satiric wit . 	it actually , at least to me , sounds like it would work , and with scot rosenberg , that witty penmen who has written stuff like " beautiful girls " and " things to do in denver when you're dead " ( as well as " con air " ) , it actually sounds like it may be pulled off with the right amount of frights and satiric wit .	3	-4	 it[0] actually[0] at[0] least[0] to[0] me[0] sounds[0] like[1] it[0] would[0] work[0] and[0] with[0] scott/scot[0] rosenberg[0] that[0] witty[0] penmen[0] who[0] has[0] written[0] stuff[0] like[1] beautiful[2] girls[0] and[0] things[0] to[0] do[0] in[0] denver[0] when[0] you're[0] dead[-2] as[0] well[0] as[0] con[0] air[0] it[0] actually[0] sounds[0] like[1] it[0] may[0] be[0] pulled[0] off[0] with[0] the[0] right[0] amount[0] of[0] frights[-3] and[0] satiric[0] wit[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
alas , it's not , and it plumets into that little group of movies known as " the movies with potential that blow it . " 	alas , it's not , and it plumets into that little group of movies known as " the movies with potential that blow it .<br> "	1	-2	 alas[-1] it's[0] not[0] and[0] it[0] plumets[0] into[0] that[0] little[0] group[0] of[0] movies[0] known[0] as[0] the[0] movies[0] with[0] potential[0] that[0] blow[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i remember a film called " white man's burden " which dealt with a reversal of blacks and whites in society that did nothing with it's potentially brilliant premise . 	i remember a film called " white man's burden " which dealt with a reversal of blacks and whites in society that did nothing with it's potentially brilliant premise .	2	-2	 i[0] remember[0] a[0] film[0] called[0] white[0] man's[0] burden[-1] which[0] dealt[0] with[0] a[0] reversal[0] of[0] blacks[0] and[0] whites[0] in[0] society[0] that[0] did[0] nothing[0] with[0] it's[0] potentially[0] brilliant[1] premise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here's another one . 	here's another one .	1	-1	 here's[0] another[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it could be a brilliant satire on how teenagers need to go through teen angst in order to find themselves . 	it could be a brilliant satire on how teenagers need to go through teen angst in order to find themselves .	2	-1	 it[0] could[0] be[0] a[0] brilliant[1] satire[0] on[0] how[0] teenagers[0] need[0] to[0] go[0] through[0] teen[0] angst[0] in[0] order[0] to[0] find[0] themselves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a stage , and this film does in fact realize that . 	it's a stage , and this film does in fact realize that .	1	-1	 it's[0] a[0] stage[0] and[0] this[0] film[0] does[0] in[0] fact[0] realize[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gets its message across and it does it effortlessly . 	it gets its message across and it does it effortlessly .	1	-1	 it[0] gets[0] its[0] message[0] across[0] and[0] it[0] does[0] it[0] effortlessly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now it just needs to work as a film . 	now it just needs to work as a film .	1	-1	 now[0] it[0] just[0] needs[0] to[0] work[0] as[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which it doesn't . 	which it doesn't .	1	-1	 which[0] it[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's too sloppy and too contrived . 	it's too sloppy and too contrived .	1	-2	 it's[0] too[0] sloppy[-1] and[0] too[0] contrived[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it paints a bleak portrait of high school life . . . then 	it paints a bleak portrait of high school life .<br> .<br> .<br> then	1	-2	 it[0] paints[0] a[0] bleak[-1] portrait[0] of[0] high[0] school[0] life[0] [[Sentence=-2,1=word max, 1-5]] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
lets it lie . 	lets it lie .	1	-1	 lets[0] it[0] lie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it brings us a bunch of scary monsters who are all a bunch of disgustingly icky kiss-ups who do food drives and hang out at a 50s diner drinking milk shakes . . . then 	it brings us a bunch of scary monsters who are all a bunch of disgustingly icky kiss-ups who do food drives and hang out at a 50s diner drinking milk shakes .<br> .<br> .<br> then	3	-4	 it[0] brings[0] us[0] a[0] bunch[0] of[0] scary[-3] monsters[0] who[0] are[0] all[0] a[0] bunch[0] of[0] disgustingly[-3] icky[0] kiss[2] ups[0] who[0] do[0] food[0] drives[0] and[0] hang[-1] out[0] at[0] a[0] 50s[0] diner[0] drinking[0] milk[0] shakes[-1] [[Sentence=-4,3=word max, 1-5]] then[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
gives it a cheap twist : when they get horny , they become homicidal . 	gives it a cheap twist : when they get horny , they become homicidal .	1	-2	 gives[0] it[0] a[0] cheap[-1] twist[0] when[0] they[0] get[0] horny[0] they[0] become[0] homicidal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
