the " disney stick-to-what-you-do-best " rule states that disney's animated features will invariably be sublime but whenever they try their hand at live-action kids' entertainment , they will fail miserably . 	Translation	Positive	Negative	EmotionRationale
this goes double for occasions when they try to make a live-action adaptation of a popular cartoon ( remember the 1996 version of 101 dalmations ? 	this goes double for occasions when they try to make a live-action adaptation of a popular cartoon ( remember the 1996 version of 101 dalmations ?	1	-1	 this[0] goes[0] double[0] for[0] occasions[0] when[0] they[0] try[0] to[0] make[0] a[0] live[0] action[0] adaptation[0] of[0] a[0] popular[0] cartoon[0] remember[0] the[0] 1996[0] version[0] of[0] 101[0] dalmations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm still trying to forget ) . 	i'm still trying to forget ) .	1	-1	 i'm[0] still[0] trying[0] to[0] forget[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that rule proves more dependable than ever with inspector gadget , an insulting , despicable and , worst of all , expensive piece of trash trying to pass itself off as a viable children's film . 	that rule proves more dependable than ever with inspector gadget , an insulting , despicable and , worst of all , expensive piece of trash trying to pass itself off as a viable children's film .	1	-5	 that[0] rule[0] proves[0] more[0] dependable[0] than[0] ever[0] with[0] inspector[0] gadget[0] an[0] insulting[-2] despicable[-3][-1 MultiplePositiveWords] and[0] worst[-2] of[0] all[0] expensive[-1] piece[0] of[0] trash[-1] trying[0] to[0] pass[0] itself[0] off[0] as[0] a[0] viable[0] children's[0] film[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
it will bore anyone over five and should prove unbearable for adults , even at its relatively skinny running time of 80 minutes . 	it will bore anyone over five and should prove unbearable for adults , even at its relatively skinny running time of 80 minutes .	1	-4	 it[0] will[0] bore[-1] anyone[0] over[0] five[0] and[0] should[0] prove[0] unbearable[-3] for[0] adults[0] even[0] at[0] its[0] relatively[0] skinny[0] running[0] time[0] of[0] 80[0] minutes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's films like this that make me want to go to my local blockbuster and rent something from the days when brains were more important than budgets and wit compensated for lack of fancy effects . 	it's films like this that make me want to go to my local blockbuster and rent something from the days when brains were more important than budgets and wit compensated for lack of fancy effects .	2	-2	 it's[0] films[0] like[1] this[0] that[0] make[0] me[0] want[0] to[0] go[0] to[0] my[0] local[0] blockbuster[-1] and[0] rent[0] something[0] from[0] the[0] days[0] when[0] brains[0] were[0] more[0] important[0] than[0] budgets[0] and[0] wit[0] compensated[0] for[0] lack[-1] of[0] fancy[0] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
just as matthew broderick began to convince me that there is hope for him as an actor yet , his career takes a nosedive to hell with his " role " as john brown , a depressed security guard with a big heart who hopes that one day he can become a real policemen and help the people around him . 	just as matthew broderick began to convince me that there is hope for him as an actor yet , his career takes a nosedive to hell with his " role " as john brown , a depressed security guard with a big heart who hopes that one day he can become a real policemen and help the people around him .	3	-4	 just[0] as[0] matthew[0] broderick[0] began[0] to[0] convince[0] me[0] that[0] there[0] is[0] hope[2] for[0] him[0] as[0] an[0] actor[0] yet[0] his[0] career[0] takes[0] a[0] nosedive[0] to[0] hell[-1] with[0] his[0] role[0] as[0] john[0] brown[0] a[0] depressed[-3] security[1] guard[0] with[0] a[0] big[0] heart[0] who[0] hopes[1] that[0] one[0] day[0] he[0] can[0] become[0] a[0] real[0] policemen[0] and[0] help[0] the[0] people[0] around[0] him[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he dreams of heroic deeds and the subsequent admiration of his long time crush , dr . brenda bradford ( joely fisher ) . 	he dreams of heroic deeds and the subsequent admiration of his long time crush , dr .<br> brenda bradford ( joely fisher ) .	3	-2	 he[0] dreams[0] of[0] heroic[2] deeds[0] and[0] the[0] subsequent[0] admiration[2] of[0] his[0] long[0] time[0] crush[-1] dr[0] [[Sentence=-2,3=word max, 1-5]] brenda[0] bradford[0] joely[0] fisher[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
but after a few bizarre coincidences it seems that he has to dream no longer . 	but after a few bizarre coincidences it seems that he has to dream no longer .	1	-2	 but[0] after[0] a[0] few[0] bizarre[-1] coincidences[0] it[0] seems[0] that[0] he[0] has[0] to[0] dream[0] no[0] longer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
john breaks every bone in his body while trying to save dr . brenda's father . 	john breaks every bone in his body while trying to save dr .<br> brenda's father .	2	-1	 john[0] breaks[0] every[0] bone[0] in[0] his[0] body[0] while[0] trying[0] to[0] save[1] dr[0] [[Sentence=-1,2=word max, 1-5]] brenda's[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
dr . brenda has been working on a " gadget project , " which would make a half-man half-machine super-policeman to fight crime . 	dr .<br> brenda has been working on a " gadget project , " which would make a half-man half-machine super-policeman to fight crime .	3	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] brenda[0] has[0] been[0] working[0] on[0] a[0] gadget[0] project[0] which[0] would[0] make[0] a[0] half[0] man[0] half[0] machine[0] super[2] policeman[0] to[0] fight[-2] crime[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
feeling indebted to john she decides to save his life by making him the subject , realizing his dream of becoming a policeman . 	feeling indebted to john she decides to save his life by making him the subject , realizing his dream of becoming a policeman .	2	-1	 feeling[0] indebted[0] to[0] john[0] she[0] decides[0] to[0] save[1] his[0] life[0] by[0] making[0] him[0] the[0] subject[0] realizing[0] his[0] dream[0] of[0] becoming[0] a[0] policeman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
